,UKF243,UKF248,UKF255,UKF259,UKF260,UKF296,UKF313,ZH8812bulk
HALLMARK_ADIPOGENESIS,0.0030879387899703952,0.01431462043418708,0.021378865822456457,0.0038693163174334188,0.00914891449361843,0.026229098364059972,0.04874522140447265,0.13212154192216405
HALLMARK_ALLOGRAFT_REJECTION,0.017611743834837462,0.059776982726168014,0.10162733938000028,-0.012895738937197148,0.019045193116708773,0.0568867547056734,0.05216857739946609,0.07428098530534513
HALLMARK_ANDROGEN_RESPONSE,-0.0235497551556599,0.04795230056675186,-0.05912425880153418,0.013041368216508155,0.05049246255416436,0.04359378869009841,0.09326014393568077,0.08387316633820567
HALLMARK_ANGIOGENESIS,-0.019509712766473064,-0.01813128456067015,0.015252550765719648,0.025900621258751793,-0.03413371364627657,0.026490930274612554,0.023185819163782113,0.15756242399704543
HALLMARK_APICAL_JUNCTION,0.02894036429571274,0.03786992906954087,-0.006662105800674137,0.025261741274419297,-0.010488475802373417,0.04459699102728501,0.055198617111490496,0.11815252810843785
HALLMARK_APICAL_SURFACE,-0.020413043270845088,-0.007997700456529155,0.0010693392393915473,0.03453053633280828,0.04128554561007475,-0.054455486704958284,0.0606752729466919,0.08091534325147216
HALLMARK_APOPTOSIS,0.055119560367806616,0.044804903229670616,-0.05750050995244738,0.03191749208101125,0.022463337270123125,0.01683199384130065,0.001586859779175228,0.06349532366049379
HALLMARK_BILE_ACID_METABOLISM,-0.022972782607866997,0.005384754572596313,0.02599494996123787,0.011609897277461494,0.05520663099886889,0.029524433518231988,0.03622173401981678,0.04003837329526144
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.02369918211220922,-0.0020979201426534967,0.026424638600734292,0.013044184529259291,-0.034134402426037186,0.021481815934203174,0.05229332303235151,0.04998933539052602
HALLMARK_COAGULATION,0.025352322813487097,0.02873029438707889,-0.0013360273519635135,-0.024019539507287586,-0.015912396346273127,0.057130173660147256,0.03748249011763593,0.13727779697553205
HALLMARK_COMPLEMENT,-0.030078967512062196,0.013999736762075868,-0.01822771644782229,0.012650492169778083,0.02456113929197388,0.06704906578307916,0.0893088997714236,0.13362117960279374
