,MGH258,UKF243,UKF248,UKF275,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH916T1
HALLMARK_ADIPOGENESIS,0.029625889771317537,0.10646814671602961,0.04426665895297437,0.01093505169386005,0.09257210522456481,0.14620662394507128,0.17932314327446622,0.14653405693485336,0.1231449219597284,0.10628061984047951
HALLMARK_ALLOGRAFT_REJECTION,-0.07148092305936816,-0.0646518760670124,0.08044595776097958,-0.03375329231482759,0.09655904161002435,0.10617638519560574,0.04217158538036543,0.09604462247046235,0.14646643190224942,0.07529919064441469
HALLMARK_ANDROGEN_RESPONSE,0.006914701394610043,0.07215997813421765,0.026407856924081347,-0.01799287506804006,0.1189574160572454,0.11323707167963025,0.1483428651072059,0.10004268845809151,-1.9370304411633724e-05,0.06247791446525997
HALLMARK_ANGIOGENESIS,-0.0652149641774095,0.09479141139644415,0.06568699801660545,0.016582050505090158,-0.0011178320196770955,0.11404307834078263,0.012691691023202284,-0.14166420124798854,-0.06458738154771779,-0.0474879628726584
HALLMARK_APICAL_JUNCTION,0.04030351488171249,0.054142075738350025,0.07457950150154818,0.0015209368727319573,0.1002151090127433,0.13881903422437727,0.16708202616880502,0.10019470860419326,0.12010234746921244,0.10626589407871251
HALLMARK_APICAL_SURFACE,0.06355497384477268,0.06988293349502923,0.05809498756108385,0.036368581935800656,0.0914449955766008,0.11267182523991447,0.17048609481620575,0.14920087479487726,0.1225977309537765,0.05836017676874485
HALLMARK_APOPTOSIS,0.0369284924183844,-0.02623607259487956,0.07181589952006091,0.06231214749499088,0.020512849234026034,0.008365864419619364,0.013047852969306632,0.05260081778070338,-0.017728374731015326,0.04000675184655409
HALLMARK_BILE_ACID_METABOLISM,0.07760889301119006,0.10833782311631636,-0.04345168169441826,0.03293432315365579,0.04677964992964754,0.0780079310877949,0.15794021762538238,0.11107435442331269,0.016046438539936803,0.09977335429634498
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.034265707611215133,0.12450306242859882,-0.05279280138724031,0.03459144436470104,0.09248788980119328,0.09696482223466892,0.08195156011437227,0.13575350015485962,0.009895794219454992,0.08568307352255804
HALLMARK_COAGULATION,-0.04283549673606409,0.02423617080749434,0.08821496817688097,0.009266874653391792,0.07684011690706685,0.09446135495343122,0.184096539146386,0.1491759371966531,0.15779525189172575,0.09994335844993683
HALLMARK_COMPLEMENT,-0.052211974127249386,0.019434554450831868,0.03824861800363713,0.06721648494516225,0.063559471303259,0.10884488745213851,0.01382381270944262,0.08612860330352658,0.16770798508070253,0.08524376511366369
