,UKF255,UKF266,UKF275,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,-0.05115004838018453,0.07282013162460754,-0.0002335395578589316,0.20077579722825178,0.11243798436968004,-0.0005026551078599127,0.11783579113637521,0.10531652668138242,0.029224498654945547
HALLMARK_ALLOGRAFT_REJECTION,-0.1515870450300328,0.03506378486445751,0.04736831050643781,0.09576504909331923,0.07851742713621239,-0.03997794993353067,0.004331638180730267,0.04803778926319873,-0.008666754956205351
HALLMARK_ANDROGEN_RESPONSE,0.04920447575794942,0.06180933441662929,0.06108073611706561,0.15431868571537288,0.0960273423040693,0.01095821737308467,0.028132386179485495,0.10179805116922132,0.06290319387175879
HALLMARK_ANGIOGENESIS,-0.07659001752019569,0.04995278722076089,0.09463471869342531,-0.08473335953692776,-0.0660999050909029,-0.02005446768404775,-0.05404442423224428,0.005262900549988719,0.05242575300907586
HALLMARK_APICAL_JUNCTION,-0.01699415179043952,0.08144113752991533,0.04953196399765651,0.20092906515025657,0.10074696711576785,0.06903771825477967,0.12456991490779043,0.08932469296201394,0.06408990315103111
HALLMARK_APICAL_SURFACE,-0.03824808299815532,1.5061525868113591e-05,-0.006035190084934954,0.15913423695955467,0.052640257054597434,0.008222704116763305,0.07646069826861503,0.08249669415057259,-0.0074483845222401085
HALLMARK_APOPTOSIS,0.007787483595166013,0.002144584819934677,0.00797747854589896,-0.05756231679789564,0.0023278501012496105,0.008000895095392965,-0.04670918183556634,0.028789250558182326,0.050349829890149286
HALLMARK_BILE_ACID_METABOLISM,-0.015279010009243981,0.03425736971487662,0.056282413292101104,0.1237122858626922,0.06917947017725719,-0.014295099215362692,0.043641822700408235,0.0661977813593139,0.056806865289706826
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.10362578830430817,0.08992014591118007,0.06597419037065903,0.1982091151744635,0.13519556666978474,-0.007918238791182567,0.07454683688169214,0.10452703488829473,0.05401361995044186
HALLMARK_COAGULATION,-0.10107184297603682,-0.0033854812730476063,0.06184714675029721,0.15737425623057566,0.09463457451475739,0.013524610194904614,-0.07420028429131754,0.06662653826255635,0.1069047338576014
HALLMARK_COMPLEMENT,-0.02515566371826954,0.04516409157206399,0.05027401161115372,0.12656061432183263,0.0719859103047432,0.008100554225662051,0.11366045346829633,0.09013241545565606,0.026726631268757482
HALLMARK_DNA_REPAIR,0.016708290930518704,0.108114456418801,0.05786343629355965,0.21160943419465905,0.08614490405900616,0.026828438977132833,0.19414691974444276,0.0808366027286586,0.052777891999682906
HALLMARK_E2F_TARGETS,-0.07271749545288311,0.07612377069703015,0.09760813441911581,0.13050872973905372,0.037581103423827526,0.040500933410922,0.08823482191178185,0.04157924532552855,0.030115379729765506
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.03655438226208137,0.04422163215884979,0.05006210945146857,-0.018513510834184156,-0.018969712403423374,0.025737068109382182,-0.04879087186188292,0.033940859499711415,0.11316759019475703
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.04606152433167272,0.020461695259041398,-0.039896795298702395,0.11396800413286867,0.09523194973385453,0.04059718819337066,0.1842242371458491,0.1265832885651758,0.09052291831992008
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.03384282803013041,0.09619208412769575,0.056450268798005555,0.18285376721945606,0.07760390689790983,0.001957090214137349,0.04250989160884568,0.0407145564601948,-0.027644396918460948
