,UKF269,UKF275,UKF304,ZH8812bulk
HALLMARK_ADIPOGENESIS,-0.05767097055576559,-0.05438348946918661,0.0682294076015074,-0.06215429851540037
HALLMARK_ALLOGRAFT_REJECTION,-0.021405117497878018,0.02090926462854302,0.08126314361766641,0.01870954688001511
HALLMARK_ANDROGEN_RESPONSE,0.041436319987133256,0.042242029003151625,0.072978754380433,-0.03066354296694093
HALLMARK_ANGIOGENESIS,-0.03265552288075166,0.030307155897026136,0.05899530421395595,-0.14847650736476117
HALLMARK_APICAL_JUNCTION,-0.03984798468450542,0.032841324281375185,0.09204724398676631,0.018644730953228376
HALLMARK_APICAL_SURFACE,-0.00891195895378075,0.004561213549277023,0.056286322574697366,-0.035860191365537246
HALLMARK_APOPTOSIS,-0.03584122295871006,0.06087661594936688,0.059115793949467275,-0.061132521857002305
HALLMARK_BILE_ACID_METABOLISM,-0.004993166316662059,-0.00418199686336845,0.08102473558216969,0.006437488933951223
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.03939263003833714,0.028784306570734546,0.06933093649319165,-0.012434829747005481
HALLMARK_COAGULATION,0.01660449385242172,-0.039195293888268784,0.08518639713040678,-0.07470394257121926
HALLMARK_COMPLEMENT,-0.0715377636071147,0.024053683536449703,0.07308145767757461,-0.0200167516820909
HALLMARK_DNA_REPAIR,-0.06564540784806981,0.005215216397604966,0.10291537432625478,-0.025898619172722084
HALLMARK_E2F_TARGETS,-0.019952454326597976,0.001750670964427481,0.02580891162145346,-0.039330997136593514
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.050308508595743893,0.007509029730406263,0.07247651327447595,-0.07351914783689743
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.05714806257149571,-0.03572884433768957,0.04402721866706887,-0.04941615832462354
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.07206571616365884,-0.0038392835182509896,0.05988855764375129,0.0014169408295440543
HALLMARK_FATTY_ACID_METABOLISM,-0.005839418174917065,0.02045984776754729,0.007976730901784253,0.04487243279054027
HALLMARK_G2M_CHECKPOINT,-0.01657892964017575,0.018160808358418674,0.0011015424113242304,-0.018591410139266438
HALLMARK_GLYCOLYSIS,-0.06922347146274188,-0.052543313872000855,0.027157830997443216,-0.014323473819697934
HALLMARK_HEDGEHOG_SIGNALING,-0.07786348804772919,-0.02983739394798067,-0.016417950666819846,-0.021195236760156784
HALLMARK_HEME_METABOLISM,-0.06057749904705829,-0.03758879191206902,0.05161854519168234,-0.010091459442666427
HALLMARK_HYPOXIA,-0.07680872423386978,0.062134801292976605,0.03227909766461441,-0.0009073249210861884
HALLMARK_IL2_STAT5_SIGNALING,-0.0012862100958404327,-0.004544105669214171,0.09231820461142892,-1.5364822498206144e-05
HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.03461132536825419,0.058162694992087954,0.06776297461402563,0.05282575108066915
HALLMARK_INFLAMMATORY_RESPONSE,0.03513199082569077,0.017542441890459608,0.020235567120540966,-0.052200705175942476
HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.02299637357668583,0.015259281472782518,0.12169502763993184,0.0630335686114353
HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.04482323750091732,0.03855364592063755,0.07702463102787499,-0.07238903298958725
HALLMARK_KRAS_SIGNALING_DN,0.02070244078578705,-0.0367800310709331,-0.0013115537949877378,-0.10686415561285523
HALLMARK_KRAS_SIGNALING_UP,-0.09327068331822816,0.018690191898168427,0.022698434529509003,-0.053378948539674016
