,UKF243,UKF259,UKF269,UKF275,UKF313,ZH1007inf,ZH8811Abulk,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,-0.013184380381915297,-0.020788348991172316,0.18376889855465958,0.05448415467950383,0.0885749133472199,0.11693901004674243,-0.0067278169942512804,0.13324819210743472,0.03388424365708754
HALLMARK_ALLOGRAFT_REJECTION,-0.053958813461912294,0.003203039516106605,0.18751959741189386,0.040882013402870204,0.05094243382522051,0.059430336530166994,0.05956745985672341,0.07738040991334022,-0.010730600486548305
HALLMARK_ANDROGEN_RESPONSE,0.0427207203329375,0.03496789161660706,0.18228762407220545,0.11870011767105264,0.014450410288275187,0.14512935290129095,0.016132757862830544,0.03231807112040978,0.001992579558222152
HALLMARK_ANGIOGENESIS,-0.02848949074732897,0.017335933675428607,0.18388610609571399,0.05376441766817904,0.01668801507559081,0.12520361793882057,-0.01531810917000272,-0.07808753167609676,-0.03502855991513812
HALLMARK_APICAL_JUNCTION,0.02715673488026172,0.02427294509962938,0.21085766963925545,0.12906621932575507,0.06800382967332357,0.10168692015381146,-0.020622898675789203,0.10043069454723959,0.013665675192395454
HALLMARK_APICAL_SURFACE,0.0034121304773291794,0.018704364832061816,-0.10325555667873283,-0.010001667444162934,0.053905709934038475,0.0627464872220432,-0.042549433684456794,0.08242579818697668,-0.07447661579244282
HALLMARK_APOPTOSIS,-0.013141367671896168,-0.011618378445086555,0.08752684620015344,0.09945358872888427,-0.054724368568213604,0.07530094509043868,-0.023406111492647375,0.060999242619715933,0.09685507323229305
HALLMARK_BILE_ACID_METABOLISM,-0.024142920737009774,0.045281276211858845,0.19625762189398277,0.0783016704074251,-0.0009748258300735517,0.010625930375943653,0.004443351572182351,0.07603628626724461,0.07163234873059292
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.0012790645826533662,-0.011692834752297616,0.13233466153238016,0.08514275755634843,0.038625479032269976,0.10376628312841933,-0.0016131219101419682,0.09432169336293202,0.048881478363326715
HALLMARK_COAGULATION,-0.03307743969399951,0.033827996679787746,0.17798399679126778,0.07812678493145826,0.1429167089246592,0.13467830448496534,-0.01905379779215343,0.06597836400525424,0.040106360735235866
