,UKF296,ZH8811Bbulk,ZH916bulk
HALLMARK_ADIPOGENESIS,-0.021705277628679777,0.0563967143188618,-0.0097858963571517
HALLMARK_ALLOGRAFT_REJECTION,0.019753006862867455,0.047903582319600645,-0.006039398549189953
HALLMARK_ANDROGEN_RESPONSE,-0.015825418466298972,0.0673428145754608,-0.0007793146374872114
HALLMARK_ANGIOGENESIS,0.045417207627164724,-0.062319121282632665,-0.03490796946786754
HALLMARK_APICAL_JUNCTION,0.003549517309382412,0.031206352050389637,-0.027676068779827468
HALLMARK_APICAL_SURFACE,-0.022120228592193203,0.062206768591441884,0.026096911022548765
HALLMARK_APOPTOSIS,0.02078630089317748,-0.015534274226372087,-0.04565359084227517
HALLMARK_BILE_ACID_METABOLISM,-0.006061582630450406,0.04184028105187659,-0.013957961070450798
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.003604747926754541,0.0659858630924581,-0.0013487736444963811
HALLMARK_COAGULATION,0.027477099689387326,0.06185867422924079,-0.07936777975853133
HALLMARK_COMPLEMENT,0.0051283468852843265,0.07028238869208434,-0.0029813163768802322
HALLMARK_DNA_REPAIR,-0.0006768641330701843,0.05736687748275577,0.02110242860431745
HALLMARK_E2F_TARGETS,-0.04172412770406208,0.051556319870119154,0.00951562448138167
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.04168601100079498,-0.041327048999501764,-0.05228531528402023
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.053800625867641984,0.0429462133773747,-0.016478297223670314
HALLMARK_ESTROGEN_RESPONSE_LATE,0.017896537382577713,0.07326387144730663,0.05652068391364739
HALLMARK_FATTY_ACID_METABOLISM,0.010021222326200377,0.04185663464469863,0.004331246374627989
HALLMARK_G2M_CHECKPOINT,0.010800606465569068,0.08257482565936079,-0.025228113915959305
HALLMARK_GLYCOLYSIS,-0.019992610609881504,0.0008595002571786911,-0.009816022571442387
HALLMARK_HEDGEHOG_SIGNALING,-0.03338416248144386,0.018790061195605955,-0.059082574905792024
HALLMARK_HEME_METABOLISM,0.03498698041428716,0.054974062081435314,-0.011440014713950793
HALLMARK_HYPOXIA,-0.035767550666514616,-0.0646954851505782,0.0381118099675131
HALLMARK_IL2_STAT5_SIGNALING,0.021297002428132508,0.06525851315544261,0.010873793496045473
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.04905530871339141,0.07280898468985948,-0.02009366778501848
HALLMARK_INFLAMMATORY_RESPONSE,-0.033180546042931865,0.008279378602247641,-0.05646026124417067
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.003811022379746318,0.0648884329987524,0.06072000001857057
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.022602215814495438,0.025004943445330823,-0.019856901244707046
HALLMARK_KRAS_SIGNALING_DN,0.0282696975317153,0.05917084824537614,0.04027636834620812
HALLMARK_KRAS_SIGNALING_UP,-0.07484313728112871,0.0547639919930621,-0.04688764460795803
HALLMARK_MITOTIC_SPINDLE,0.03278883764105124,0.05236848384641457,-0.019997488103335348
HALLMARK_MTORC1_SIGNALING,-0.03646468790261696,-0.0010619904906118674,0.02591537319835996
HALLMARK_MYC_TARGETS_V1,0.02265219543625892,0.07332918167927277,0.045899540754657936
HALLMARK_MYC_TARGETS_V2,0.02663851252851489,0.08470052617915207,-0.04685715221513775
HALLMARK_MYOGENESIS,0.02308038456481775,0.06569871874798956,-0.03711901967145257
HALLMARK_NOTCH_SIGNALING,0.03664136442467435,0.03972224469028606,0.014489681204264394
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.056673327371490216,0.0589623600828949,0.08428021570148522
HALLMARK_P53_PATHWAY,0.03231133294687169,0.04456204157768081,0.03638258325494482
HALLMARK_PANCREAS_BETA_CELLS,0.010637768324621431,0.08089841192894928,0.01971393101354396
HALLMARK_PEROXISOME,-0.018307242682558456,0.04584228949098449,-0.015913508598959753
HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.04954301290421109,0.07257171564212588,-0.013028856929709759
HALLMARK_PROTEIN_SECRETION,-0.008361608202473182,0.042841646340260366,-0.025690613459308637
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-0.04411284027099984,0.03429534005931244,0.07082009040249038
HALLMARK_SPERMATOGENESIS,-0.02119880147162504,0.030087817627170645,0.00017719186321905753
HALLMARK_TGF_BETA_SIGNALING,0.013009002432707334,0.027216281200947674,0.0037486820307699
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.03518502248034472,-0.04780812871291879,0.030733829742900693
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.007696267501874915,0.05100252059279376,-0.02712031255884709
HALLMARK_UV_RESPONSE_DN,0.0005653826503437904,0.02911355459734821,-0.00624592966407029
HALLMARK_UV_RESPONSE_UP,-0.053803730762670664,0.06059452080020788,0.05089957045640349
HALLMARK_WNT_BETA_CATENIN_SIGNALING,-0.025541517436036016,-0.029023661286611074,-0.007367948860156728
HALLMARK_XENOBIOTIC_METABOLISM,0.00961165839135988,0.04285223135849361,0.03136326172645549
