,UKF248,UKF251,UKF259,UKF260,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.04776469416572631,-0.0007167772949159252,0.05383056043576077,-0.04397904160643742,0.002738677271571087,-0.013045237882514384,0.008264526757528626,0.02878322529924074,0.09876507247503524,0.14090305390668997,0.022907126368461584,0.06599497100390066,0.13747495433001258,0.08855994060875079
HALLMARK_ALLOGRAFT_REJECTION,0.04865661297627489,-0.004105760905930683,-0.014245695780361547,0.023801923647281783,0.006780512211237469,-0.0065915407304506105,-0.05075667955240196,0.030504243291671288,0.05523094564712416,0.09375881029852794,-0.04611854198354556,0.03461452416139291,0.04041020272513735,-0.00010219956985211972
HALLMARK_ANDROGEN_RESPONSE,0.058546720436007234,-0.027809404922568493,0.00014781149265299202,-0.002108818400041379,0.0402086973081227,0.025308689939358607,0.0107679253925596,0.011748819579174523,0.1251030208816431,0.14166886410315388,0.026397154661894483,0.07414123001371034,0.06274588665275942,0.057813359582230946
HALLMARK_ANGIOGENESIS,0.010946473146896873,-0.026063624573365356,-0.005783521144870364,0.0031217731768690637,0.040300705445793644,0.013334092541182157,0.018767662536322532,0.019458506289806714,-0.06583427378829891,-0.07215411591220887,-0.0650609624740038,0.011385612702767412,-0.11683353465453793,-0.029622083546023362
HALLMARK_APICAL_JUNCTION,0.03951997499284139,0.003243352162331531,0.06101561136655389,0.011905074132963985,0.02913662606006667,-0.01918562361938937,0.029531880295319606,0.08242374822390626,0.07926008953850829,0.1609177948475833,-0.018651646369507648,0.12371775771975917,0.05513024589835209,0.07774488735741368
HALLMARK_APICAL_SURFACE,0.01639737146389897,0.00580623152898581,0.0583780272982782,-0.003816092156046078,0.10262884973307629,-0.09015580951136672,-0.07359965487988426,0.022074827856227868,0.08200478163998677,0.1354675718927758,0.004154304108622006,0.015363801764960798,0.016106728224326627,0.0201786515899676
HALLMARK_APOPTOSIS,0.06972466996151097,0.002050508595936098,-0.002755989416941446,-0.01488021675790805,-0.021392626958428584,0.05902360403461762,0.041531341268512614,0.008294181506598606,-0.14819564712332672,0.004207723134601684,0.008736528468382219,-0.0035463085056384905,0.07899423629764193,0.005312476402311652
HALLMARK_BILE_ACID_METABOLISM,-0.05381927153094503,-0.0396569959733606,0.04580992110134983,0.05074194017643532,0.03383548126121304,-0.03223807792561448,0.060233157123487466,0.041551446977190806,0.09377641518405927,0.10160338843389298,0.03765698210016218,0.0794910720503771,0.15705104687997967,0.13748689930542127
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.023585971848544406,0.0024398636320361227,0.03488179078998797,0.024929780382550226,0.04503566762312952,0.008149418326917813,-0.0971713305118715,0.048266138344237514,0.13027224688616182,0.14708613972055012,0.053117160555459335,0.001039129051484647,0.13737661757587544,0.13384483952029003
HALLMARK_COAGULATION,0.07912292428121545,0.0361628142010633,0.02996039987858801,-0.01995188175985779,0.002499343397987251,0.007646463250815865,-0.05999740507227753,0.030350554780139007,0.007990837364900893,0.12386519131660804,-0.012796005044693902,0.006290352796753584,0.026358514399388237,0.06313403630752577
HALLMARK_COMPLEMENT,0.0670188812729668,-0.019192524723636844,-0.015903978176157376,0.013967191370331169,-0.012998308580043087,0.003152746778585835,0.04715401766923849,0.052193176710530045,0.07961337915968002,0.08714365606720074,-0.02731397804829974,0.08087828711818122,0.1108580550501483,0.015759182692454264
HALLMARK_DNA_REPAIR,0.038262245451520197,0.016048026673432338,-0.0015671285693952377,0.016699430955161947,0.07240968688400265,0.005228941536698097,-0.02667535461503622,0.13704196532088772,0.1548803989770378,0.1562727596773571,-0.03389756632072528,0.10482294543195214,0.16688677729126217,0.14254024910996776
HALLMARK_E2F_TARGETS,-0.005427772117690045,0.045265865890049536,0.02113625101504863,0.004181412754397511,0.05655658293950913,0.01332984177105118,-0.032371871934040376,0.09586942111432255,0.07442547214880191,0.1282982448647011,-0.02429605275914742,0.06711419704808205,0.15644141171057943,0.12624077203482292
