,ZH1007nec,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,-0.025048048374021588,0.01935650882372397,0.07396834089703684,-7.739209849070103e-05,0.02395468797506518
HALLMARK_ALLOGRAFT_REJECTION,-0.021789632993823076,0.0422718214456703,0.024365890011811015,-0.004601956886629452,-0.031724434587342185
HALLMARK_ANDROGEN_RESPONSE,-0.04455777820068255,0.021077500232994123,0.00412703944364693,0.009871573791043106,0.013080441027099378
HALLMARK_ANGIOGENESIS,0.018984275977946257,0.08501531134746361,0.08906303161491474,0.030878599074922578,-0.012809626366440388
HALLMARK_APICAL_JUNCTION,-0.026000452138944526,-0.0036372274783685026,0.03541143634403879,-0.013397862035684225,-0.008262906703104754
HALLMARK_APICAL_SURFACE,0.026777519757223197,0.022215469132340293,0.029578018967401757,-0.04041669190993689,0.04813310954192624
HALLMARK_APOPTOSIS,-0.02913619620778644,0.028119227526591982,0.043707560569037886,0.028917084304895223,0.08049262583470648
HALLMARK_BILE_ACID_METABOLISM,0.014051336406000595,0.001652513449742703,0.01174329385809097,-0.020874297322372802,-0.012952101006731193
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.0065234645245827024,0.020823506542368784,0.05953624337108581,0.02127902167645395,-0.0002951589854520542
HALLMARK_COAGULATION,-0.04709430778880296,0.05100732176985576,0.07014567441832233,-0.019481021086384474,0.030817844140431563
HALLMARK_COMPLEMENT,-0.02137132190235827,0.054780567306718535,0.06655800138284283,0.016482152938672345,0.03013740985125319
HALLMARK_DNA_REPAIR,-0.043982603116222374,0.0007887014575975873,0.038243507280393337,-0.019299192615283733,-0.040441012660923786
HALLMARK_E2F_TARGETS,-0.04929556565515274,0.09418585800819182,0.04765222610136488,-0.00457592681855701,0.02921085450558604
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.010607879532841138,0.023292673464709576,0.06797705706718166,0.020475260333127437,-0.00494304652479014
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.02946393828724984,0.0006906659663309905,0.05188096481728221,0.01675424208655316,-8.339716820491941e-05
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.025346610423240542,0.032535333276485,0.03579949532452524,0.011595532457830944,-0.009674234956607394
HALLMARK_FATTY_ACID_METABOLISM,-0.0027090501178112653,-0.010996391509059155,-0.0750538959642524,0.015299376327158621,0.025762898354673172
HALLMARK_G2M_CHECKPOINT,-0.025066051258178245,0.08791731741357045,0.025332687233002082,0.03111006994188071,0.006647267925734113
HALLMARK_GLYCOLYSIS,-0.01763649133538364,0.03864510051911,0.04779485691455118,0.0057312576231121305,0.02782683273467111
HALLMARK_HEDGEHOG_SIGNALING,0.09634456760752354,0.0358251109088648,0.02369540202394705,-0.005979496452619371,0.10319502186035955
