,MGH258,UKF251,UKF269,UKF275,UKF296,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH916bulk
HALLMARK_ADIPOGENESIS,-0.008921892328612341,0.009777287819337382,0.09967479108438312,-0.027003062673813017,-0.005787812668580665,0.051459622943743566,-0.02740842383601593,-0.05321502858022698,0.07700773928772277,0.019426709691880192
HALLMARK_ALLOGRAFT_REJECTION,0.00018558697118261554,0.009111727387343185,0.0958672446907206,0.0446117007975412,-0.0015175338390217726,0.026691925063100717,0.08874618950719551,-0.05402399043388843,0.024267390334688395,-0.02059226594420774
HALLMARK_ANDROGEN_RESPONSE,0.03936266242972233,0.02972520382364668,0.06403228788891058,0.03794814901152375,0.0033998059820326745,0.03954095966952689,-0.01217937359130764,-0.013181974590926229,0.09053238836784917,-0.051510674387620546
HALLMARK_ANGIOGENESIS,0.03687679359596581,-0.0574761582845705,0.06725505185424839,0.09125327541156714,-0.04866644464762526,-0.0252005957709244,-0.04920581693804757,-0.006189086583870137,-0.015889779887242113,-0.07707070413553292
HALLMARK_APICAL_JUNCTION,0.037710341254268365,0.04666606601592364,0.10309498811941441,0.08286104655367439,0.017866321750001746,0.018432436976135693,-0.016042347260051517,-0.020862456482995558,0.08418904690314052,-0.04068043543441966
HALLMARK_APICAL_SURFACE,0.11284549540560926,0.041933402106501844,0.010117107443573858,0.0112136204140437,0.05921457753459278,-0.005368112647776763,-0.023966677982172876,-0.06483445366390268,0.13331953512760888,-0.053039758858692644
HALLMARK_APOPTOSIS,0.02254147413491787,-0.039588694217662375,0.0015807358535471967,0.12889804372246183,0.02093614276255601,0.06721301931993667,-0.05661251674958436,0.02771538455132706,0.05771015140269132,0.002792387198250443
HALLMARK_BILE_ACID_METABOLISM,-0.01998428725505521,0.039554653096132424,0.038331360602356486,0.02511191580187374,0.0022275309025171163,0.008762515193020258,-0.014959641865293116,0.023926814861740132,0.08639290412186096,0.03031744470906439
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.049655351126274075,-0.00538871917903988,0.05875448137847126,0.029328156721278042,-0.015008563330409157,0.008670534998606615,-0.013323802420266194,-0.05426466631909881,0.052819486732626104,0.029651776000900795
HALLMARK_COAGULATION,0.04500523950654299,-0.057002423062741774,0.05245644781361599,0.05837235602141527,-0.014829846833782107,0.050287701316797564,-0.05886749950880459,-0.029858333133294473,0.029451165441464245,-0.035212634436423744
