,MGH258,UKF251,UKF255,UKF259,UKF266,UKF275,UKF296,UKF313,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1
HALLMARK_ADIPOGENESIS,0.10885079927028837,0.0008720074537390862,0.27399954020090533,-0.012097025090221038,0.13957098349013752,0.01818834124169913,0.014673789254542787,0.0926265552038895,0.0114063993781126,0.2201204886423004,0.3220110106221556,0.02658846735587041
HALLMARK_ALLOGRAFT_REJECTION,-0.0909374367521222,-0.012103726818651057,0.19180649081190101,-0.0244306843278337,0.2714259030093404,0.07810002021851982,0.019518281296349797,0.09400999631599796,-0.05738099669963105,0.15673922575095048,0.140675392713125,0.006138132347062916
HALLMARK_ANDROGEN_RESPONSE,0.13656396252937486,0.014437770731414503,0.09618084268360459,-0.044119822259501076,0.24090765509968926,0.10020618614988251,-0.0049518148599916375,0.08059971018110089,0.06766682153662881,0.22157393745026566,0.2609320460951465,0.02760387732569887
HALLMARK_ANGIOGENESIS,-0.08489641253941488,0.1016000793762978,0.17159639595831314,-0.012518230574599231,0.3168476291481558,0.056903664568076245,0.029355196473960517,-0.007762908665174741,0.04586469047859765,-0.07024236153636554,-0.23356879880556844,0.02030579445934616
HALLMARK_APICAL_JUNCTION,0.15697731925540467,0.008520316770368384,0.2547479868703089,0.0177408418125074,0.33149087372669633,0.14471755927465202,0.07496872772947723,0.16797015009187324,0.08879410305806919,0.18362455317695958,0.3116399528237351,0.08769595859792177
HALLMARK_APICAL_SURFACE,0.1321387078518106,-0.015985991011756222,0.1916668660507598,-0.009719471528424785,-0.06933392968682366,0.043578939109873094,-0.02779746099780137,0.181078803306164,0.017052329143036116,0.16145936430455277,0.3195332581933362,0.07260673384159394
HALLMARK_APOPTOSIS,0.01089592171193149,0.029904152190658704,-0.045592535210026854,-0.04565266927196126,-0.07799804034457215,0.12791519766375714,0.017609881983435192,-0.0510553718961187,0.03845660460337968,-0.19431031541191976,-0.17804199682232877,-0.04827673779078204
HALLMARK_BILE_ACID_METABOLISM,0.1372338666464014,0.01174466943620846,0.2500073754113631,0.01118944470596427,0.21778716404106016,0.07393776900066604,0.03036711774358366,0.003341310950021083,0.03364841187586198,0.2155221358260371,0.32588278417533045,-0.020257629513109627
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.13307519236189816,0.02701311362099693,0.22955581320349858,-0.018214622490447453,0.250866884642978,0.06928446964380672,-0.021562731543803802,0.10157199657193623,0.007009871593245629,0.21752193033558606,0.33502281854476645,0.005654441663197554
HALLMARK_COAGULATION,-0.1295341248176163,-0.019580346138954822,0.2209375198173441,-0.029453284589692177,0.21010722397802667,0.054478309015633705,0.0686874583632721,0.13988522483762103,-0.03714020338796633,0.10770899438996323,0.167493563678542,-0.07176231281980575
