,UKF248,UKF251,UKF259,UKF275,UKF296,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.03798206504478573,-0.012940860128494314,0.03585657943162508,0.044492010605335475,-0.0069185602669742455,0.047863281072920774,0.0654451919997802,0.138999920326148,0.12107212580829742,0.08976887960467671,0.12730888097314727
HALLMARK_ALLOGRAFT_REJECTION,-0.033013718665034775,-0.013842320401785511,-0.02053632735146711,0.024774646036063486,0.01310232231704572,0.03505293882561843,0.05369294517917891,0.07660159911976565,0.03029132403571792,0.049063050179484306,0.006227069900617142
HALLMARK_ANDROGEN_RESPONSE,0.07790668459027515,-0.03882674270446587,-0.043009912897743086,0.06882334681739141,-0.0036415252568668018,0.08598065769564957,0.05439192611381466,0.08836399412054852,0.09344305907825419,0.0002494447913596814,0.09744935364965929
HALLMARK_ANGIOGENESIS,0.025595569665985845,0.05747013310158637,0.028758380253513672,0.07771120841183367,0.004438433565082885,0.007310658234648597,0.022589878168378267,-0.04986192898141662,-0.10095321069992652,-0.04989952807951336,0.000525626975672633
HALLMARK_APICAL_JUNCTION,0.054188748149718136,-0.07079367893281835,0.03008135392826519,0.10495061750630068,0.04087191924841808,0.07623714680128947,0.05180549597868672,0.11895119924097025,0.14457872714675207,0.05643815242203717,0.11983975478646411
HALLMARK_APICAL_SURFACE,0.05294763394478791,-0.0434879000748332,-0.006060562424804151,0.010472436369561956,-0.05764866722690514,0.04955159266884447,0.044495820692315786,0.07568952184749585,0.122027886173363,0.03901068836592456,0.05216211257322606
HALLMARK_APOPTOSIS,0.06068816693821704,-0.029696871357523056,0.0043989079807482435,0.10476021528011178,0.029960824283503662,-0.014338510138684271,0.031160726001941582,-0.11281393795233338,-0.06187479947076252,0.009778080308420839,0.011388988359854023
HALLMARK_BILE_ACID_METABOLISM,-0.02564385439951759,0.057918684233505414,0.021379930240379298,0.09207468373893529,0.05919765997326853,0.0034762716064505785,-0.008790989379237417,0.10684363719070565,0.15503453317611493,0.08686650380508787,0.16069805190740788
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.006522587786406847,-0.0033677351465198255,-0.0011138541000664617,0.10595009159969121,0.010745012662305447,0.034948828128379315,0.05194310774738731,0.09869977205420462,0.10877167719230652,0.04096954779140254,0.11378009248249897
HALLMARK_COAGULATION,0.042722342408931975,-0.011685230410228092,-0.002853849299682892,0.0658632930115636,-0.008960716263206398,0.0762468362865301,0.0510818964751823,0.0815583771548035,0.05451919516688666,0.0358407263841037,0.01931915740128581
