,MGH258,UKF243,UKF248,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
HALLMARK_ADIPOGENESIS,-0.03254954316563637,0.004697552941073874,0.04962939733084133,0.040227817889379985,0.043005257816802506,-0.04667269694067711,0.04363332442065275,-0.010664580223838031,0.12206969524229393,0.09324161817394225,-0.03652435066806044
HALLMARK_ALLOGRAFT_REJECTION,0.053770117401271314,0.08595721261815942,0.04871948545422395,0.08393476035020923,0.049175836710718505,-0.06003109455795374,0.04718528198345833,0.027292956015054853,0.016945464373426977,-0.061538006604272624,-0.054659350556061914
HALLMARK_ANDROGEN_RESPONSE,0.0363197763306996,0.08696115911312285,0.01391751289349298,0.0972271079863061,0.08305954049151157,-0.02380612438195948,0.047499596680571986,-0.0008682184068361527,0.078810289018307,0.08069059505191054,0.007066903035661241
HALLMARK_ANGIOGENESIS,0.025454080138130747,0.09372340558714533,-0.013794856128596539,0.01894818312363868,0.07674204720290785,0.05404686883253155,0.01294105786904874,0.0688543774554478,-0.04391308680377917,-0.003661504056497939,0.11071527816774918
HALLMARK_APICAL_JUNCTION,-0.00030297428750955996,0.04863001059050833,-0.0054692171742800055,0.06698912231990214,0.06664837861586233,0.0035595623267961965,0.03357085317986122,0.0038564209202994427,0.09424049785420936,0.06868152969517717,-0.04298808441205541
HALLMARK_APICAL_SURFACE,0.036706882421554135,0.04309625484627803,0.023615275670650825,0.013630471697245662,0.07365678882985559,-0.0182614694443997,0.024830558971854887,-0.03402924959777935,0.0463440139677668,0.1406402494369083,0.06245824422027706
HALLMARK_APOPTOSIS,0.006644339992241216,-0.021597629234122902,-0.018728395954526453,-0.04968078791529852,-0.09151318745037397,0.10343118985124995,0.016320808120790207,-0.045506903295956996,0.028662283485526543,0.02813427035150598,-0.03731470966774401
HALLMARK_BILE_ACID_METABOLISM,-0.022766218582455307,0.0680954413453073,0.06831172705884163,0.07739720495691381,0.10764764604820533,-0.03308142862256097,0.048339568152706375,0.05821040197396054,0.11634720058610615,0.06555597804193829,0.026995504202441477
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.0005120405119764387,0.06138996514167261,-0.031124209131383092,-0.027084438454267674,0.08353166680456103,-0.030823758303465253,0.04292862979957266,0.03083009579990396,0.12937621700200333,0.09930857076716991,0.03335083007469788
HALLMARK_COAGULATION,0.05847746168832642,0.0011959506755929244,0.02089813723947339,0.07218430799444957,0.02831760633292985,-0.01670236826717799,-0.028027671777760662,-0.021211831804180317,0.037973744226931776,0.0346214850758593,-0.03353925696242118
HALLMARK_COMPLEMENT,0.029805474056905586,0.07363341406744248,0.022779441336248655,0.017135233922469247,0.05807540179579818,-0.006671072929077933,0.02617311752229263,0.016352442337509696,0.10762521276368404,0.08926344748331953,0.03639597118106781
HALLMARK_DNA_REPAIR,0.05015588725687696,0.10654405979658002,-0.0035876295599898073,0.039447108486730914,0.06351504360534581,-0.03898092458500998,0.05747042149661681,0.00029758652477106836,0.09693197683944757,0.09311427053522248,-0.07837904591444803
HALLMARK_E2F_TARGETS,0.03352344396596676,0.05778109482516407,0.03917199340355871,-0.012055834562325386,0.09252186310415109,0.027614073783565254,0.0029420558160633266,0.010781267189591727,0.12481675954086907,0.06433005739800726,-0.0008327986820984441
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.003059071654188688,-0.042819584163104676,-0.018345757924159448,0.0515153044742614,0.08021198385508614,0.06819300546362367,0.052663373609802264,0.023074632127682345,0.02134334537205656,-0.0001722274708807707,-0.0030358401660801598
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.001544147414806172,-0.05884023741355151,-0.041455118068017924,0.052210277116049995,0.039366257896252754,0.03072959109772477,0.02128175041881097,-0.037313010846897005,0.1474168426188598,0.10180443593870464,0.014126360900591708
