,UKF248,UKF313,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1
HALLMARK_ADIPOGENESIS,0.07207386900614202,0.06442000382115781,0.0759820013967812,0.12195349265946587,0.13065458660412615,0.05367480842938298
HALLMARK_ALLOGRAFT_REJECTION,0.05727818256529916,0.07062250328510195,0.09719113805236038,0.13080068008559032,0.08700514956333237,0.04645534904259443
HALLMARK_ANDROGEN_RESPONSE,0.06180051894804345,0.09886811639258461,0.05943900025066733,0.12648715074566072,0.10427081745397115,0.004720536937256359
HALLMARK_ANGIOGENESIS,-0.04203427722541174,-0.0669512437228418,-0.07827726326525254,0.0771549521176126,-0.13370591988127142,0.011637563346383861
HALLMARK_APICAL_JUNCTION,0.06394491295662717,0.08885969422094846,0.06041688034318125,0.10667713688106262,0.11465211435266451,0.11713339823880932
HALLMARK_APICAL_SURFACE,0.0682166557524982,0.07579969816419227,0.028124946406946603,0.12222428409520097,0.08444193599164883,0.029017762689392552
HALLMARK_APOPTOSIS,0.022654188688473614,-0.023370348342240697,0.04392885453869372,-0.02564042621038327,-0.02199268469688322,-0.04654971017994152
HALLMARK_BILE_ACID_METABOLISM,0.012500061839211813,0.00799916875620439,0.04009502750499861,0.1374424768565201,0.13016939484996284,0.06799867906958453
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.033789429566646635,0.09691810549100512,0.09959215990602656,0.127770164040645,0.1405560584000361,0.05680473094735809
HALLMARK_COAGULATION,0.04146975823805528,0.05848413885342044,0.005024660756460582,0.12886797828608085,0.0798808187949743,-0.05891134850962777
HALLMARK_COMPLEMENT,0.0821350733380046,0.06573256895871048,0.038907267879821565,0.12364025869898485,0.06511363786231536,0.056598309809440424
HALLMARK_DNA_REPAIR,0.08421623719066343,0.07111463532152192,0.06909407908676533,0.14007445937579613,0.14130531358130102,0.11250415598809817
HALLMARK_E2F_TARGETS,0.04552988392765246,0.10915259434172704,0.04552717850681368,0.12067885043790852,0.10006107708111829,0.13284732396121968
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.00925184927924838,-0.014356686803144426,0.028823028478149285,0.03223477346653241,-0.04313138611705874,0.0005810823861852634
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.03718399222661541,-0.05062452453582682,-0.02079132130218104,0.08099386016547291,0.04798741034651285,0.07507220290991073
HALLMARK_ESTROGEN_RESPONSE_LATE,0.020787012414471263,0.06698235770225955,0.027645525035061003,0.1470883466813461,0.10811928641661447,0.007597876886676899
HALLMARK_FATTY_ACID_METABOLISM,0.005982051096111009,-0.018313495397329543,-0.006067138253904507,0.07220367593001802,-0.009422351290439016,0.03188715436620419
HALLMARK_G2M_CHECKPOINT,0.03111272172532244,0.08948371699824983,0.06853879780891946,0.1297460912741414,0.04200482001947136,0.056221529958948885
