,UKF259,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.03668864656995634,0.24719464664482366,0.02289629237704398,0.11112770157746629,0.03491772700982727,0.057446854617938754
HALLMARK_ALLOGRAFT_REJECTION,-0.013493274714005422,0.08663006905166272,0.05496904340665564,0.012323064734245407,-0.02771433775917236,-0.0478099701049124
HALLMARK_ANDROGEN_RESPONSE,0.0478690671211922,0.11134303900741963,0.04341859416505129,0.08185549432988415,0.05756688140779608,0.030133658246674397
HALLMARK_ANGIOGENESIS,0.01863877561398176,-0.0742587429690692,-0.03270990239865767,-0.046538620542552776,0.043796076148875485,0.09549708886038417
HALLMARK_APICAL_JUNCTION,-0.037386186295914246,0.23203047311427297,0.05427903914279905,0.10997417143823458,0.0553223375656332,0.03759146065669496
HALLMARK_APICAL_SURFACE,0.037975213642717456,0.22590532476691774,0.04476852309097987,0.07677847163554952,0.058130337274857585,0.024074373847936384
HALLMARK_APOPTOSIS,0.04888493972976988,0.04949285013490709,0.015274221451957531,-0.05647266720954923,0.010551555741788114,0.0501791039309017
HALLMARK_BILE_ACID_METABOLISM,-0.03344874726838878,0.2121285159050391,0.020849671557870868,0.10075065292473159,0.006769377016336475,0.008441327044208085
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.0076567068988831425,0.1689470359846422,0.07957047505117291,0.11946557356779276,0.09294036341318324,0.020350175161765374
HALLMARK_COAGULATION,0.02158827678701566,0.1391932845567978,0.026146981095274316,0.0632179768924311,0.02135095405901526,0.08458940657711118
HALLMARK_COMPLEMENT,-0.004042567696573221,0.07771161314631786,0.08101915698903298,0.08115841249193397,0.06336293417672675,0.1051413876259742
HALLMARK_DNA_REPAIR,0.057448476248569615,0.23262919896256778,0.13550398067489333,0.10863545178228666,0.08065777124656053,0.017636206070108934
HALLMARK_E2F_TARGETS,0.0050066617259416895,0.16778351995911653,0.09426543584662782,0.07111722193243315,0.05417692883612808,0.032773200414820854
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.041251219397352254,0.08979876504817025,-0.04526835710065454,-0.02243640384462167,0.03580191805097675,0.04858454762139726
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.05732805758599936,0.10955002088475843,-0.03874055321678859,0.08794182253969594,0.06536166131286204,0.06166600229937674
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.014542162330573415,0.19297967702167307,0.0015710331486450896,0.10955939304315156,0.05313990412013541,0.036263291303415573
HALLMARK_FATTY_ACID_METABOLISM,0.014299236170071282,0.048032655160423654,0.04758357314947544,0.015373881033057516,0.08609934902957735,0.07523841871443593
HALLMARK_G2M_CHECKPOINT,0.004174645702052382,0.08185957666200214,0.028772715266338005,0.002418285999941989,0.0821186939933565,0.045774093707157716
HALLMARK_GLYCOLYSIS,-0.007619849465351062,0.10595136739987812,0.021481343195347884,0.08478280318129697,0.10830762948603513,0.06372590178551082
