,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.070819038635578,0.05991803819405305,-0.002649123258046621,-0.03180818239514675,0.010993831515246563,0.04046307826372458,0.12884868708334857,0.013119985262061342,0.12499768535933015,-0.05030777327042886,-0.004726440106728257,0.05668947585984214,-0.007040189028828324,0.019745611683233504,0.06772387628183214,0.04093576860978602,0.04745136159239231,0.004867915324820221,-0.03230196568287549,0.03712156054495287
HALLMARK_ALLOGRAFT_REJECTION,-0.06780714746297327,0.013030554530690215,-0.019386789773198812,-0.03022059430395172,0.023499241279609374,-0.045311816296091455,0.1671994895323932,0.10956464388132127,0.028367123478214254,-0.04583904266232239,-0.06066704201558721,-0.0244418239586724,0.007059375413997272,0.0066616962788396,0.02837811179330736,0.007146266719387346,0.11709775863542146,0.006406887135867767,-0.03561811571661616,-0.0331692262075708
HALLMARK_ANDROGEN_RESPONSE,0.106090085761095,0.04063010562106215,0.0027883679993652654,0.028082816303684952,-0.002643301581137592,0.030821460567181973,0.11438073460093139,0.09436618255275261,0.06565210974783359,-0.007197456313359259,-0.03731001635072133,0.02113005542990682,0.013143194267089564,0.008695375301566475,0.04062941055791674,0.06929544264000896,0.04221627107459687,-0.014865080936122464,-0.019742710163830352,-0.009036444292322272
HALLMARK_ANGIOGENESIS,-0.00630509800625761,-0.023434315733869737,0.016482670681294834,0.06326646687454192,-0.042401573215552595,-0.02563127999153634,0.17417216070526076,-0.03640015877208344,0.1544001544829382,0.014923678771983539,0.03544360710906532,0.01460160341536009,0.024726930943977956,0.09142004956577905,0.00789108506845993,0.04158093199876465,0.053801369093825616,0.013729878396182378,-0.028475436287867535,-0.027491407220399732
HALLMARK_APICAL_JUNCTION,0.07129986704203883,0.08184780628715906,-0.032700593663812956,0.00010610000076141941,-0.018111774883227544,-0.003825785297653057,0.1506109883541934,0.018340534914822754,0.10514493492094526,-0.04429799297725488,-0.010801417660438446,0.08228146968089549,-0.002573942042895589,0.01830374642245508,0.08121542440026981,0.0873486788042848,0.04738521843738961,-0.005807315702643541,-0.025022884634943753,-0.04741789885966643
HALLMARK_APICAL_SURFACE,0.03584924211340854,0.04112581352163675,-0.028889299620893708,-0.05823010530508657,-0.025030454992935693,0.0383983880826233,-0.0293416551459912,0.01671741051291002,-0.014296093928507453,-0.023081316202504126,-0.06633366841779297,0.036220952267450895,0.03666044617797437,0.041903376771309106,0.048648084282569844,0.05611420630442752,-0.011930763676734677,0.05588817998922255,-0.0612996276186269,-0.03358326118572402
HALLMARK_APOPTOSIS,0.011305742255053812,0.03737783877613517,-0.007218522478175151,-0.03776034993522662,-0.05222361753378601,0.00861214781696243,0.077736814683995,-0.02272651199285972,0.049449061291339205,-0.02796112714876832,-0.015234311929180379,0.026993397137578343,0.060723972292267996,-0.07579918931013611,0.031647851330536464,0.04523306471462102,-0.015456678167959037,0.006898402471533438,-0.037533308640174415,0.03483719707234924
HALLMARK_BILE_ACID_METABOLISM,0.04877927145801474,-0.055293011040201616,-0.017000123154456644,-0.05612226593775655,0.04292244105046258,0.004744046039824801,0.16512486944769816,0.05411765568553239,0.07580094935004247,-0.011656390283523686,-0.052290928984179474,0.012707885295012293,-0.03094838522196213,0.055641682120489366,0.05331938485479218,0.06361510699140575,0.06315708712889426,0.006404067631680564,0.028738515316875084,-0.013941230002587795
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.09295706826607524,0.03213103337259299,0.0010890558060856754,-0.01802920536973957,0.01766759635567196,-0.009884888941788865,0.07116648305220225,-0.038710131636737526,0.048428017178131846,-0.04850502080651048,-0.011982246582469986,-0.0033278192090984192,0.013354712887672721,0.0321470648421078,0.08044662293554682,0.02288505140824292,0.02980104186511422,0.056680383309514824,-0.019938105847275685,-0.0004616545606195633
HALLMARK_COAGULATION,-0.10681666637190199,0.06524859244900244,-0.013226030246880417,-0.03641975584538245,0.0020653593349611228,-0.0012131686466615435,0.14982316979717095,0.05330307062628515,0.055899593577373285,-0.015080381776384112,-0.04680893170548026,0.008430067672583816,0.00336060118236778,0.04597092971316805,0.05174617041097601,0.06464808879637521,0.04424329354732589,0.03589287781153373,-0.060428645457097994,0.07103961776910978
