,UKF243,UKF251,UKF259,UKF275,UKF296,UKF334,ZH8811Bbulk,ZH881T1,ZH916T1
HALLMARK_ADIPOGENESIS,-0.06522405294296163,-0.050131068761409804,-0.031371922735253396,0.05254716702930674,0.016627972781968293,0.0062762370113699124,0.08739858684761154,0.01752051403604714,0.014328250715328483
HALLMARK_ALLOGRAFT_REJECTION,0.04973216007695401,-0.00829218754451873,-0.08301872399597884,0.05964028384344933,-0.012231848137836796,-0.012968577302557543,0.027671184097990145,0.10172648673007835,-0.059722549417690056
HALLMARK_ANDROGEN_RESPONSE,0.01683510736653796,0.025168973050543927,0.10145765940699968,0.027738306224116556,0.032906624622802,0.029436594057063295,0.0916027238000462,0.07785882149201191,0.05182707481507196
HALLMARK_ANGIOGENESIS,-0.06549264935685223,0.026532082104034835,0.08867671922571259,0.0678637224296385,0.04890432086545499,0.1423367632829492,-0.09999788757882459,0.10769967445005808,0.015820786603771952
HALLMARK_APICAL_JUNCTION,-0.011934957828854578,-0.04241215131332635,0.007228389688022399,0.0842070787691144,0.0241500215108812,-0.003295252464261489,0.09939769982892911,-0.05774495327479161,0.0032564528886216563
HALLMARK_APICAL_SURFACE,-0.08353874141878494,0.059074119328614665,-0.030278711372070503,0.014239367204768458,-0.07948839770627843,0.0033496815656766646,0.0941921370662805,0.04615912931662327,0.013413072310592926
HALLMARK_APOPTOSIS,0.010094911335401916,-0.004946844234569025,0.06736188715967326,0.008988913464296073,0.0025088934392917027,-0.10326179137793823,-0.06411802022091008,0.06803271924754481,0.03908320941965502
HALLMARK_BILE_ACID_METABOLISM,-0.07262578303711592,0.0242357263173755,-0.04073446707217672,0.08210581269848904,0.06197862124004497,0.04704701371316624,0.0922225562070816,-0.00042640010712746994,0.034849400471597375
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.06568565167145915,-0.02441374529397805,0.04037773496347984,0.026743016435946947,0.05769888562633744,0.017470614973661484,0.09910742738985583,-0.0711904240342395,0.10328291828152675
HALLMARK_COAGULATION,-0.01671809357970964,0.02427581744739657,-0.03343876730611121,0.06320760138578599,0.05402966553485534,-0.028619187715050873,0.06319956688649944,0.11132939783365585,0.008852477715680783
