,UKF248,UKF313,ZH1007inf,ZH1019inf,ZH916T1
HALLMARK_ADIPOGENESIS,0.11797601545124264,0.03989591518624412,0.16624595727769398,0.07454158806384409,0.1211546172285163
HALLMARK_ALLOGRAFT_REJECTION,0.09395760605005506,0.03637138616238795,0.1885021376734754,0.1752132993624583,0.15020010932137975
HALLMARK_ANDROGEN_RESPONSE,0.1033807207288721,0.08310045533139619,0.11018305591714896,0.05392703427764651,0.19179583267904984
HALLMARK_ANGIOGENESIS,-0.006111429087621073,0.01956768219628699,0.15133256555482508,0.026343101298450848,0.062354873259759025
HALLMARK_APICAL_JUNCTION,0.2104490023594075,0.040032823145224446,0.24414762837654533,0.0933120350626631,0.27039390577108935
HALLMARK_APICAL_SURFACE,0.13667418292125655,0.04932137280147467,0.1303850876860862,0.037484245178340085,0.2344876165660345
HALLMARK_APOPTOSIS,0.08894196670045336,-0.051518992674797974,-0.019014353214501012,0.024352066366845598,0.06154254950720931
HALLMARK_BILE_ACID_METABOLISM,0.03856921397870749,0.06816438349127202,0.08434457623706651,-0.02938328235496161,0.016930284291462712
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.056055040659352844,0.06493214170285268,0.11359479068298194,-0.041763017395751716,0.057913202369920924
HALLMARK_COAGULATION,0.20681926555042626,-0.011033596151053189,0.185916381376848,0.14297174194047932,0.2630338115838025
HALLMARK_COMPLEMENT,0.022198125020875828,0.030186350379981356,0.14853086477533262,0.12138948038410989,0.04828446619789238
HALLMARK_DNA_REPAIR,0.10287534190043762,0.059567469059600836,0.2194878105108827,0.10917191053635016,0.1229972722459292
HALLMARK_E2F_TARGETS,0.08019479199535981,0.08308192504645268,0.1297678209861468,0.068896772411435,0.1108332254543621
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.20245556783398688,-0.08280185761027356,0.26462394293625396,0.16678688589309706,0.23743643785939292
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.08677196572145729,-0.05827014127739998,0.08231122407701738,0.05026038570638751,0.1002733335619153
HALLMARK_ESTROGEN_RESPONSE_LATE,0.04597397988187653,0.08372564002035512,0.027726340299437807,0.10766609196811434,0.0045757238335648025
HALLMARK_FATTY_ACID_METABOLISM,-0.006594942291361788,-0.10638078727256971,0.027642349366184715,0.038889164660359764,0.04693202064809484
HALLMARK_G2M_CHECKPOINT,0.03812943527792541,0.11811091004795227,0.10214277732026507,0.05791232110347081,0.10795562790129377
HALLMARK_GLYCOLYSIS,-0.011594692826412204,-0.029079279681152412,0.13022343041864867,0.030667781464692245,0.08108665153344957
HALLMARK_HEDGEHOG_SIGNALING,-0.0037566171352350426,-0.12151887392238266,0.08567910528372755,0.035025524437279645,0.1313425387289397
HALLMARK_HEME_METABOLISM,0.09891196113409148,0.023994566205942924,0.08484560427713689,0.05932353826288972,0.09168335079176106
HALLMARK_HYPOXIA,-0.11263870853955876,-0.08881416318062707,0.2371466385555415,0.027877047473916932,0.06535876811223999
