,UKF248,UKF255,UKF259,UKF260,ZH1007nec,ZH1019T1,ZH8811Bbulk,ZH916T1
HALLMARK_ADIPOGENESIS,0.028288323255622957,0.13918444975563396,0.03438631948744489,0.08583743598126922,0.0071360511579288,0.11839860799482371,0.08826796781791549,0.037325495379742744
HALLMARK_ALLOGRAFT_REJECTION,0.04966607211858587,0.011929490284781592,0.04974621160534148,0.028005057526871956,-0.050432437142486006,0.04885250395015929,0.026422007083043538,-0.005177615252509518
HALLMARK_ANDROGEN_RESPONSE,-0.0026927588915279495,0.08796721387837851,0.04496773189033261,0.03932589969258233,0.006191732079777925,0.07920441544799711,0.02286599066079864,0.050670754518990786
HALLMARK_ANGIOGENESIS,-0.046601248186983524,-0.02717237694752609,-0.06801293459365379,-0.03316288938867306,-0.2011535425747149,-0.06705930491853074,-0.12081368824612237,-0.019945563415810805
HALLMARK_APICAL_JUNCTION,0.055073627957775095,0.11332991166853464,0.025372221245093123,0.04456958114128506,0.01781501706577966,0.10537116306905661,0.09369013086915136,0.0432487335039774
HALLMARK_APICAL_SURFACE,-0.011690870509529118,0.0653686074918353,0.06608236490399183,0.05339725798600482,0.027531027603324272,0.03247016952618043,0.042657730578899565,0.06069147362286146
HALLMARK_APOPTOSIS,0.0452942834613124,0.048736691947581984,0.05155796876687817,-0.08210022021650959,-0.018327478049769606,0.0905861859074123,-0.05899030459096659,-0.02026420219845615
HALLMARK_BILE_ACID_METABOLISM,0.012696049279586513,0.07792578809580476,0.032152160116755917,0.05653252358703431,0.11771304570077086,-0.030706305535492175,0.09839311868685408,0.03494598411583306
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.011723475818346454,0.10730529420202321,0.0227509895887974,0.022037660300791496,0.07972077817538303,0.11544482013445731,0.06917543715579538,0.060766207069822886
HALLMARK_COAGULATION,0.05463440334821737,0.041471149765299926,0.07945265672379846,-0.060759751187880795,-0.05576602910147564,0.10107935809057587,0.02437941175926824,0.03603062781111828
HALLMARK_COMPLEMENT,-0.012413248618219613,0.07711677360950484,0.010477474702409567,0.025745926956177934,-0.038838088427206624,0.10817138890654054,0.020313093834658274,0.046300476684402445
