,ZH881T1,ZH916T1
HALLMARK_ADIPOGENESIS,0.009921884331230953,0.07704764109790972
HALLMARK_ALLOGRAFT_REJECTION,0.03255745550659779,0.11594626880046835
HALLMARK_ANDROGEN_RESPONSE,-0.00023715195787703207,0.10018909286598404
HALLMARK_ANGIOGENESIS,0.07510194913065837,0.03653609454891873
HALLMARK_APICAL_JUNCTION,0.03761687226318186,0.1317092681865119
HALLMARK_APICAL_SURFACE,0.07412270778838562,0.10883648800245456
HALLMARK_APOPTOSIS,0.025616738631292556,0.06039555099243536
HALLMARK_BILE_ACID_METABOLISM,0.001868512915236996,0.026855543147771967
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.01454935912150928,0.007131299084509131
HALLMARK_COAGULATION,0.015630274694979008,0.12489189428499806
HALLMARK_COMPLEMENT,0.008025519213477534,0.008904261571402667
HALLMARK_DNA_REPAIR,0.00925663805171641,0.05512276532911233
HALLMARK_E2F_TARGETS,-0.018867186220587955,0.04900050740647742
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.06716370923767576,0.13190666262239517
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.040584779289401525,0.07414904023872411
HALLMARK_ESTROGEN_RESPONSE_LATE,0.05030134275134564,-0.03790862194796875
HALLMARK_FATTY_ACID_METABOLISM,0.010421777797192442,0.009799519136139556
HALLMARK_G2M_CHECKPOINT,0.01804243998943287,0.010170897099653962
HALLMARK_GLYCOLYSIS,0.04938454329356906,0.009169173231260727
HALLMARK_HEDGEHOG_SIGNALING,0.044973727872854405,0.02756287096786907
HALLMARK_HEME_METABOLISM,0.03142847403028506,0.04346176249499952
HALLMARK_HYPOXIA,0.10867819507231423,-0.008761533204572299
HALLMARK_IL2_STAT5_SIGNALING,0.025681080992295907,0.035061724793347175
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.05869178752648766,0.01585467918661031
HALLMARK_INFLAMMATORY_RESPONSE,-0.023715282861328037,-0.022096085244639584
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.04477379547281432,0.1119163944301313
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.03247935677480782,0.04341793627463711
HALLMARK_KRAS_SIGNALING_DN,0.033517683250242715,0.02580743580420117
HALLMARK_KRAS_SIGNALING_UP,0.035561699996976774,0.10312541956353181
HALLMARK_MITOTIC_SPINDLE,0.008355052501489917,0.09336412474054821
HALLMARK_MTORC1_SIGNALING,0.09127824485983696,0.023850178482513397
HALLMARK_MYC_TARGETS_V1,-0.007912922921079008,0.06517756844052121
HALLMARK_MYC_TARGETS_V2,0.003979778262945192,0.027214107935396335
HALLMARK_MYOGENESIS,0.010544138954937901,0.14300576251450672
HALLMARK_NOTCH_SIGNALING,0.04690116691724297,0.10804206793235328
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.006837442508509929,0.05088404742723135
HALLMARK_P53_PATHWAY,-0.0194693823621691,0.027527254548237484
HALLMARK_PANCREAS_BETA_CELLS,0.008173144341789744,0.01632297489217547
HALLMARK_PEROXISOME,-0.025558840980463255,0.010222852415304389
HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.026366158605349736,0.10470021695668631
HALLMARK_PROTEIN_SECRETION,0.010179785050549473,0.04325965549424033
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-0.026478565607259506,0.026404743116239186
HALLMARK_SPERMATOGENESIS,0.011864542330915983,0.02180346155116584
HALLMARK_TGF_BETA_SIGNALING,-0.06257440298155138,0.11927142640915202
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.04351872507806411,-0.07705436022163814
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.06434785295139557,0.07589130933799716
HALLMARK_UV_RESPONSE_DN,0.05149895464920048,0.10611352434124778
HALLMARK_UV_RESPONSE_UP,0.02957256407578982,0.005639490623453065
HALLMARK_WNT_BETA_CATENIN_SIGNALING,-0.011078449217566073,0.08942115747243476
HALLMARK_XENOBIOTIC_METABOLISM,-0.009856394869865708,0.028536673917971114
