,ZH1007inf,ZH1019T1,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.14406952016435903,0.07639222736351908,0.09686348762778324,0.10902850723257732
HALLMARK_ALLOGRAFT_REJECTION,0.09585097488836887,0.11781407778228306,0.11107937711317095,0.05124934427549041
HALLMARK_ANDROGEN_RESPONSE,0.17749036753713923,0.10210599597246554,0.11884210992714278,0.13019786794540697
HALLMARK_ANGIOGENESIS,0.15579565862849717,-0.05675523111801237,0.0615856144881862,-0.032445376925146444
HALLMARK_APICAL_JUNCTION,0.21275313347763303,0.13097514065063712,0.13853022532260667,0.10875259936594626
HALLMARK_APICAL_SURFACE,0.11659979743475186,-0.09751080413538894,0.10196948140354972,0.10844631985649617
HALLMARK_APOPTOSIS,0.006090345162613489,0.05655569917482859,0.1278674065403955,0.09419956567774482
HALLMARK_BILE_ACID_METABOLISM,0.1067189657463926,0.01511091051466502,0.03970144790630261,0.061530467308661775
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.08916538806621464,-0.04381455019631613,0.04293908675247566,-0.012286111371968
HALLMARK_COAGULATION,0.11298851228361764,0.13280017965814012,0.15382539483769067,0.08037422332588952
HALLMARK_COMPLEMENT,0.13120026996306242,0.10575772515234298,0.05480411073179095,0.06219732089080736
HALLMARK_DNA_REPAIR,0.1901077947154404,0.11922962790168151,0.06472480415817222,0.023722724140404307
HALLMARK_E2F_TARGETS,0.1028209621957394,0.06433289616165416,0.03200000711909549,0.06087611589494847
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.254490834695104,0.1044950858503479,0.1454711976763018,0.052625017855630694
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.15268845650719773,0.0054316201596715935,0.06632324523834365,0.05523601705034275
HALLMARK_ESTROGEN_RESPONSE_LATE,0.034487866923199974,-0.047011432017798484,0.024236970299867967,0.04176403187021673
HALLMARK_FATTY_ACID_METABOLISM,0.09478368934778324,-0.0013122066239185633,0.025340153991641707,-0.009333563575829559
HALLMARK_G2M_CHECKPOINT,0.13028471281281265,-0.016559467743600374,0.048290559776830236,0.0026870861636995643
HALLMARK_GLYCOLYSIS,0.14705493045518225,-0.057044832486141346,0.05220235810899025,0.03260812139805366
HALLMARK_HEDGEHOG_SIGNALING,0.09340294072980954,0.08234933883745581,0.045963129793286595,0.06208180324106736
HALLMARK_HEME_METABOLISM,0.15348670566119613,0.07964968427273418,0.08069277441274823,0.07032684037630123
HALLMARK_HYPOXIA,0.17807538124149203,-0.1017812506932014,0.0025656787597120806,-0.08819298847529218
HALLMARK_IL2_STAT5_SIGNALING,0.10445179856753115,0.1327697140474739,0.07496271493721374,0.034441626921918926
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.07278594164301584,0.07718106328687992,0.06791156422802944,0.015229520577699399
HALLMARK_INFLAMMATORY_RESPONSE,0.11016189178872442,0.05417180560992385,0.06481892161627917,-0.0063619530182000275
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.05974271487393745,0.07483846503165079,0.10461830916883318,0.10113638227242343
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.14244283197253513,0.10424530669382302,0.12285636944851226,-0.027215037956066283
HALLMARK_KRAS_SIGNALING_DN,0.12017259634212324,0.032259536547424375,0.07063817594838576,0.150462033379112
HALLMARK_KRAS_SIGNALING_UP,0.123631659121185,0.174783345193722,0.16598119056692953,0.12276930270707863
HALLMARK_MITOTIC_SPINDLE,0.14477535673501232,0.034889647932856885,0.09153725560318028,0.10246360342409978
HALLMARK_MTORC1_SIGNALING,0.18990248197287848,-0.021730058162574385,0.03652452590324145,-0.04192840219680355
HALLMARK_MYC_TARGETS_V1,0.16426660310952074,0.06759169666581362,0.03361273216452075,0.049532514884262226
HALLMARK_MYC_TARGETS_V2,0.1317144606192006,0.015144306133583417,0.053881930056556705,0.003993278116177562
HALLMARK_MYOGENESIS,0.18695037111758353,0.10701107260496379,0.1510501379946578,0.14732159507035814
HALLMARK_NOTCH_SIGNALING,0.1781684208016567,0.0664485725623035,0.07531283051120702,0.044688144629065785
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.12807229527642777,0.0648301396063058,0.029677849414493456,0.06392842746503544
HALLMARK_P53_PATHWAY,0.13903988045227528,0.04347105933939445,0.027247305986332584,0.006279606263944579
HALLMARK_PANCREAS_BETA_CELLS,0.19051339805290846,0.08705470545997039,0.025599803025105925,0.09559406336195535
HALLMARK_PEROXISOME,0.03878327878097253,-0.028065917719804198,0.047053361148461745,0.046512628405219636
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.20773273375726392,0.1064887055536416,0.11622672273998656,0.12693626127527133
HALLMARK_PROTEIN_SECRETION,0.20433239780696855,0.02994714489660715,0.08150019239032748,0.07404062330649047
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-0.08969802704028622,0.05051274331547053,0.05557155558638216,-0.053674140961636675
HALLMARK_SPERMATOGENESIS,0.10620195686111594,0.006914317650506557,0.02392386486806068,0.084381778625067
HALLMARK_TGF_BETA_SIGNALING,0.17810733805999257,0.13693440511406296,0.15851903474281873,0.1222213601848759
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.15606978049373205,0.09532467803356032,0.004136926355672719,-0.04793845981997704
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.18761144534317906,0.10924537387009883,0.07658132883562035,0.03160101691420761
HALLMARK_UV_RESPONSE_DN,0.18199702625141245,0.04972863425625133,0.1273161864943636,0.1040447436414958
HALLMARK_UV_RESPONSE_UP,0.19138087431412618,0.04832962816134856,0.044607149317967075,0.029892771732085946
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.1396392386262879,0.017988826133933104,0.10112792206577488,0.012980964938812867
HALLMARK_XENOBIOTIC_METABOLISM,0.09995008600372343,0.00981905660498927,0.06560448546956119,0.03472259880069882
