,ZH8811Abulk
HALLMARK_ADIPOGENESIS,0.1116627495227936
HALLMARK_ALLOGRAFT_REJECTION,0.06566563443957302
HALLMARK_ANDROGEN_RESPONSE,0.10310251799113619
HALLMARK_ANGIOGENESIS,-0.06939385082560764
HALLMARK_APICAL_JUNCTION,0.10234326015822479
HALLMARK_APICAL_SURFACE,0.05593286268290231
HALLMARK_APOPTOSIS,-0.0736738671920319
HALLMARK_BILE_ACID_METABOLISM,0.09482474116267534
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.088218123599147
HALLMARK_COAGULATION,0.06729424172308163
HALLMARK_COMPLEMENT,0.039953793944840096
HALLMARK_DNA_REPAIR,0.11527695705097522
HALLMARK_E2F_TARGETS,0.04437344840192975
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.05885159516876089
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.08405952360528639
HALLMARK_ESTROGEN_RESPONSE_LATE,0.07409620848440505
HALLMARK_FATTY_ACID_METABOLISM,-0.011698001900658879
HALLMARK_G2M_CHECKPOINT,0.06351656509701224
HALLMARK_GLYCOLYSIS,0.017079309450785708
HALLMARK_HEDGEHOG_SIGNALING,0.009195334990227434
HALLMARK_HEME_METABOLISM,0.10366943345823779
HALLMARK_HYPOXIA,-0.02953598408331601
HALLMARK_IL2_STAT5_SIGNALING,0.06701705292924474
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.017612926117388898
HALLMARK_INFLAMMATORY_RESPONSE,0.018922603634414142
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.11706418771140356
HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.0026502456580678123
HALLMARK_KRAS_SIGNALING_DN,0.08822367641133323
HALLMARK_KRAS_SIGNALING_UP,0.09827217004461568
HALLMARK_MITOTIC_SPINDLE,0.10529602790380584
HALLMARK_MTORC1_SIGNALING,-0.03267213017568527
HALLMARK_MYC_TARGETS_V1,0.10266713730415808
HALLMARK_MYC_TARGETS_V2,-0.006381541166563734
HALLMARK_MYOGENESIS,0.11376704169271672
HALLMARK_NOTCH_SIGNALING,0.0812400662746451
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.12304391808077253
HALLMARK_P53_PATHWAY,0.10155352737153296
HALLMARK_PANCREAS_BETA_CELLS,0.0917903439152483
HALLMARK_PEROXISOME,0.08811371356105772
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.11259243215282852
HALLMARK_PROTEIN_SECRETION,0.08810217871198411
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.10692004248301232
HALLMARK_SPERMATOGENESIS,0.11285375996441985
HALLMARK_TGF_BETA_SIGNALING,0.08670556286128309
HALLMARK_TNFA_SIGNALING_VIA_NFKB,-0.027418851317596898
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.10779710442376571
HALLMARK_UV_RESPONSE_DN,0.09551685695694265
HALLMARK_UV_RESPONSE_UP,0.09403256179518704
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.08516318907930945
HALLMARK_XENOBIOTIC_METABOLISM,0.09603716088057859
