,UKF248,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.017591592281074212,0.05722534462584517,-0.07554253599910787,0.04679739392043592,0.06336117006012534,0.0589214394057747,-0.03773989000339792,0.04506427892184777,0.05670792194232296,0.060765013749425556,0.0447254725138621,0.17024749556235538,0.07832593045644114
HALLMARK_ALLOGRAFT_REJECTION,-0.015222813455861248,7.000997171190713e-05,-0.011490852233260958,0.07228096750209498,0.04503970637001213,0.07447913390237387,-0.04198044226708287,-0.01557278067080847,0.042257642911717984,0.13129125518992443,0.013971536326592126,0.060576244263581644,-0.0295639208893258
HALLMARK_ANDROGEN_RESPONSE,0.01035802469075317,-0.006708728529799226,0.012248874602714548,0.08595129449583212,0.09067951679614056,0.0326011746524477,-0.03299691580752808,-0.04259685860914745,0.015571458883493075,0.03465875173384544,0.023819122452968137,-0.012911356411794308,0.05865857800040121
HALLMARK_ANGIOGENESIS,0.009875459243851302,-0.07262756365993162,0.06679375174558337,0.029079910606523374,-0.07711708781586137,0.09342393405754035,-0.013674836817063963,0.002900720212478725,0.004160759500538287,-0.09131186581300925,-0.02085678416079441,-0.19122096790342072,-0.05412538844455272
HALLMARK_APICAL_JUNCTION,-0.0038181696066752653,0.04534773594898515,0.02983545116879287,0.06535828779543355,0.05599155407852156,0.07196537298732197,-0.06284590599075286,-0.034783461316337146,0.035948186698035414,0.08231001553456935,0.04225711218643319,0.05196846399658797,0.07627233264903059
HALLMARK_APICAL_SURFACE,-0.0018184451485468932,0.039094445507549425,-0.08317202216968832,-0.021004174134305154,0.019051488980287492,-0.07381433356880956,0.04991894262996598,0.01733643005337354,0.14830453107077562,0.14047023524750804,0.07086533775666665,-0.008795553980775687,0.03905947396734171
HALLMARK_APOPTOSIS,-0.014216762170302264,0.012067588717909012,0.12682478948424789,0.052527693299297275,0.010987895233594043,0.03083161894615864,-0.04380801708366599,-0.02105499342377858,0.03619222067344944,0.03344347386405954,0.022288442031649414,-0.01663375689760385,0.08062350117196869
HALLMARK_BILE_ACID_METABOLISM,-0.010918602566113312,0.04684043236754854,-0.07660308778323226,0.042076818119099,0.02988359678497074,0.0451193728499162,-0.012954610037949645,-0.026111391858132816,0.09702866709568887,-0.0011663194743540182,0.06410538174800662,0.19224929265214752,0.10141766945620471
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.04901634273606695,0.02180770020553305,-0.03845575736600965,0.09497977850436437,0.008242921236317724,0.02467262579208127,-0.06366398058915136,-0.0339604375678925,0.10434180153292148,0.0692306908769042,0.054968199074232324,0.10426767813092408,0.12062734006942614
HALLMARK_COAGULATION,0.025556507293418806,0.10541729576562461,0.10601400958238426,0.07899039520241193,0.11804185872563068,0.09488004976070104,-0.04693652767812552,-0.03047860711136033,0.07634318971629966,0.16616882097682256,0.06369407411527042,0.003518167550477707,0.08256148967281388
HALLMARK_COMPLEMENT,0.022665650354948524,0.01012263789398095,0.026115387083956304,0.05359424935670398,-0.0467870371214216,0.017010971307928217,-0.05481994479871844,-0.034059175518394005,0.0733394873874118,0.10791260708162241,0.02508483349998386,0.11519210936572669,0.044773141667576524
HALLMARK_DNA_REPAIR,0.017568241430368944,0.041814545920095425,0.033650395125442406,0.09423232255439407,0.10719399989304855,0.04235755209728557,-0.05618740136919448,-0.00705326234976971,0.09179666269485923,0.036691312354090025,0.03904780605699712,0.15996597289455208,0.12214305198599788
