,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
HALLMARK_ADIPOGENESIS,0.0211657996447081,0.03330401368609151,0.12055665402946333,0.04506749426635289,-0.02955635090798011,0.022710365838329655,0.07184052269980054,0.07155063218631286,0.05469201614093122,0.019889504625658503,0.11117658941484906,-0.004179426945273719,0.22395982535576736
HALLMARK_ALLOGRAFT_REJECTION,0.023944627760929448,0.07329758997442054,0.08321550685698367,-0.07049401540748959,-0.12135629752567612,0.06107317640635389,0.06740110926094832,-0.2143569045598348,0.0003183457557358118,0.007586262625066266,0.0765598959614459,-0.025400369335391887,0.014584327833584964
HALLMARK_ANDROGEN_RESPONSE,0.004694251701486182,0.12339024526180647,0.12381606342255355,-0.040386904841322804,-0.11748228644133918,-0.004339329077377014,0.02374420250810974,-0.13115049763291095,-0.029555912903101705,0.05465954248181242,0.04711448662132356,-0.0644236983824435,0.11550594321025137
HALLMARK_ANGIOGENESIS,0.033221039051136964,0.0055224544178239555,-0.09160719378477865,-0.0630736597349495,-0.14594037180669725,-0.1519970568075402,0.09402724695065869,-0.23229568922821023,-0.08089438216960147,-0.0680388765115225,-0.012570558841115603,-0.12165703653102294,-0.13748212491632805
HALLMARK_APICAL_JUNCTION,0.025073931259549365,0.023152065240374553,-0.01173880646838537,-0.04413700314840844,-0.1048572494180376,-0.0692087406420498,0.05194139374989891,0.05966576133800332,-0.04001258494511511,0.048194939770987696,0.08701917820027484,-0.0074152782279139845,0.20367293168141132
HALLMARK_APICAL_SURFACE,0.04672151301007642,0.03363405152274789,0.08251528008648806,0.05105109821430853,0.13899885019440278,0.08402337723775222,-0.05370981558719417,0.20135935636371452,-0.031386055774363736,0.002902333013675576,0.07333991311654697,0.1107341379679312,0.10577227404106065
HALLMARK_APOPTOSIS,-0.040008584185721834,0.08485521253683923,-0.021871154228451675,0.042451974745580844,-0.04000019413354111,-0.054348405560263234,0.025696777167553937,-0.05941958413786683,0.04009321114219942,0.04338307511115129,0.017965158248508774,0.04731022139597475,0.09023457637181591
HALLMARK_BILE_ACID_METABOLISM,0.022425745189041394,-0.01182685963289898,0.03896152388284181,-0.007946655561607494,-0.15770626349120062,-0.015814286004145486,0.09266584955902565,-0.049191017265959036,-0.014296162859461514,-0.035669051403247366,0.08121998508393138,-0.05118285774813971,-0.011941719207970736
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.010788636735476803,0.05503428688734843,-0.005475703263988098,-0.11957162918229301,-0.12866432096390779,-0.14958361242552462,0.08950990725464239,-0.20533951656979674,-0.07582955884216103,0.040330330322329196,0.033880180291055335,-0.03128595850220207,-0.033677404127860654
HALLMARK_COAGULATION,0.02073010127437764,0.030657465575105947,0.008145029129643211,-0.09979091611449721,-0.14374458648775004,-0.0723707612987619,0.10953788519370097,-0.2609140786798694,-0.01771307063453936,-0.005220439546644415,0.05894265940911887,-0.034740352678373415,-0.06834643894372897
HALLMARK_COMPLEMENT,0.022036078735906156,-0.004674393475736455,0.06036759839600233,-0.012267097100201033,-0.08849256109370188,-0.08122204138358076,0.036590355340448306,-0.13757885011641993,0.07112307518980208,-0.013139106031960291,0.04270896516064189,-0.013139833838199277,0.23068073554271687
HALLMARK_DNA_REPAIR,0.01774470207211625,0.15583960060644064,0.08671785862032841,0.000609988936264095,-0.0661966568932829,0.009224074549863232,0.09489974679034327,0.15769427004946318,-0.012102087272222664,-0.011854943732812134,0.09077415371044976,-0.06775497157661746,0.22424880066079134
HALLMARK_E2F_TARGETS,0.017433299530640076,0.03797122286853725,0.08491557104120076,-0.10190471350117818,-0.11370672102114865,0.0011283637257189117,0.03747348450376983,0.19747703522459675,-0.03475377420511772,-0.040432348196570045,0.04989995310074434,-0.07177318409042133,0.1230753136499428
