,UKF251,UKF259,UKF260,UKF304,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,-0.007312484015599054,-0.03307507021563894,0.061097852511490705,-0.02710713130643303,0.127387029353069,-0.02001748816094706,0.08160556896445195,0.09363673494578362,0.14973871641283787
HALLMARK_ALLOGRAFT_REJECTION,-0.005135453505542784,-0.016673831824230087,0.12475191170957083,0.06108580631329959,0.11165622526683065,0.027842643507316942,0.08145252435971007,0.05036923353236629,0.07745804923594778
HALLMARK_ANDROGEN_RESPONSE,-0.03935517514852255,0.001561332304956301,0.0019362428677683508,0.02848461134610111,0.184849041071079,0.06762301399917879,0.07833409375618415,0.06812707936038664,0.08565103577763933
HALLMARK_ANGIOGENESIS,0.015676899711429566,-0.022714419211000043,-0.04997598839954851,-0.005747846050839987,0.012017402545292797,-0.07578234105709206,-0.002404309924151486,-0.04470626591421864,0.09663482330478965
HALLMARK_APICAL_JUNCTION,-0.033428436489672385,-0.010659335736399243,0.06130169729937242,0.06570782607493066,0.13828512582936323,0.09990113411777843,0.05989690256209394,0.09782759773765842,0.11376769199909853
HALLMARK_APICAL_SURFACE,0.003955329383086043,-0.013751707932508205,0.0007298122895417523,0.017166522477453268,0.05770213760370673,-0.0828320503416906,0.004166271074942129,0.09283475414356937,0.125277236675947
HALLMARK_APOPTOSIS,-0.028245934977486148,-0.00763084924386254,-0.025846851060547692,0.05048653290157785,0.006557882523413235,0.02688024195416053,0.016086176447049197,-0.012069999835329666,0.0005475821806642139
HALLMARK_BILE_ACID_METABOLISM,0.019010633400665236,-0.027936408113431482,0.11370550103306604,0.06001736366677479,0.05159888312203375,-0.0018831798068426851,0.009251690469795104,0.058833560653095626,0.0800545129807976
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.03550251988284295,0.03168977446986912,0.03297746199689595,0.07158639673934333,0.0841648195778862,-0.10372433898097998,0.07848298843601834,0.05786252392250103,0.08324634116722397
HALLMARK_COAGULATION,-0.026514029570179662,0.021114083586846723,0.08314555004390961,0.04121122478270241,0.12702360430953313,0.036149873020841446,0.03055812995960925,0.060989984963439506,0.07030534959479938
HALLMARK_COMPLEMENT,-0.012442761494870313,0.05103565522880642,0.05187788209065867,0.038975828288926234,0.09321406199676754,0.05562562196125672,0.025036519207844565,0.05628379692244063,0.1171858955185394
HALLMARK_DNA_REPAIR,0.0045641971614553455,-0.037300846312099054,0.03552267114530546,-0.01757352584082516,0.13021808415984104,-0.015301490973529125,0.08331132598755372,0.09429456406560038,0.0988999548949321
HALLMARK_E2F_TARGETS,-0.03650816444654586,0.012513013590864954,0.07068656147172604,-0.054654420471861385,0.05526628101191638,-0.0011357571055659232,0.04640639517036357,0.09928891616364142,0.13050778756635528
