,MGH258,UKF251,UKF260,UKF296,ZH1007nec
HALLMARK_ADIPOGENESIS,0.059756990940152514,0.016225355553151605,0.009531613263006332,0.052712168422649974,0.08360745804393083
HALLMARK_ALLOGRAFT_REJECTION,-0.051832599086409845,0.06570127642583387,0.07528486246014063,0.016030102042671492,-0.03833173161511522
HALLMARK_ANDROGEN_RESPONSE,0.10006690999063875,0.023685541336023075,-0.009435324899306865,0.029216877931994147,0.040849540104330236
HALLMARK_ANGIOGENESIS,-0.004363230519910022,-0.0038711279885070863,0.03490197145739681,0.05975675117888476,-0.11765756953139929
HALLMARK_APICAL_JUNCTION,0.0695728772272988,-0.00819659092395951,0.0586077565464238,0.06319844889472173,0.08476923470212978
HALLMARK_APICAL_SURFACE,0.03773649705051527,-0.034806657583346313,0.010694432453123065,-0.039714020044847205,0.05376376602633559
HALLMARK_APOPTOSIS,0.020826007560814788,0.0007510582386085013,-0.03582491479099981,0.010629393297574955,0.049257086727108525
HALLMARK_BILE_ACID_METABOLISM,0.06646312666467953,-0.033463049732024866,0.020421460307190366,0.05060135253825378,0.1164021595729951
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.10193571180493585,0.007701203139877838,-0.0037184072104105054,0.05629378727819847,0.09630058272371239
HALLMARK_COAGULATION,-0.04739310413140141,0.07414928589297505,-0.016056044005875448,0.03371237695901167,0.08463299146530939
HALLMARK_COMPLEMENT,-0.03003867232740866,0.027266910120441867,-0.005192403406372963,0.046774851310646876,0.01716857026220101
HALLMARK_DNA_REPAIR,0.0939371739726253,0.016374276839053393,0.023084256510272304,0.050256144629711653,0.18166427579844963
HALLMARK_E2F_TARGETS,0.07014909740359791,0.0026424744604842476,0.007036517284674013,-0.0019648637850778346,0.12388398044439626
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.06538120578031732,-0.012007831625575387,0.030058416470745766,0.030002263582463523,0.08822475581448734
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.028849500092933928,0.051387642653443893,-0.02755648579558393,0.04039012282131686,0.011301697651948737
