,UKF243,UKF248,UKF251,UKF275,ZH916bulk
HALLMARK_ADIPOGENESIS,0.022736454371574084,-0.01940337621413885,0.020889141990068878,0.006962323355922105,0.03665790630708917
HALLMARK_ALLOGRAFT_REJECTION,0.005039437707638292,-0.048136119559078955,0.06370048105396235,0.019353701338974343,-0.03146329014928109
HALLMARK_ANDROGEN_RESPONSE,0.02228432370424128,-0.03895323131598572,0.02123980611354556,0.035258183900144395,-0.025446770811482333
HALLMARK_ANGIOGENESIS,0.020433501102437076,-0.05973808944718386,-0.005459985587840641,-0.005693188550625751,-0.002223472826411312
HALLMARK_APICAL_JUNCTION,-0.013035850484399177,-0.00872690559687289,0.03976116113996291,0.07588642738481716,0.012149139078139302
HALLMARK_APICAL_SURFACE,-0.0988525506524095,-0.011121832474404344,0.039555478061931,-0.04207061902066322,-0.07684088571598793
HALLMARK_APOPTOSIS,0.013954161342188461,0.005564797537592122,-0.004849268514187416,0.0263187217525885,-0.01971157491746441
HALLMARK_BILE_ACID_METABOLISM,-0.010531042409753853,-0.019066646953551734,0.02743855431356266,0.022130222894386865,0.08596997082831291
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.027674678600195513,0.002856843107751315,0.02729361662194844,0.014194760626047485,0.08442719386075255
HALLMARK_COAGULATION,0.032978913945660084,-0.019416459929996407,0.0002528962332260953,0.011537972817283547,0.008146463982039482
HALLMARK_COMPLEMENT,0.004340430793750973,-0.0513366444285122,0.030891585201946962,0.05589190793111591,-0.006095559521617854
HALLMARK_DNA_REPAIR,-0.012019686408456489,0.009744082236331714,0.014317170667594994,0.04917593277109908,0.09072826970759804
HALLMARK_E2F_TARGETS,-0.027974177742776538,-0.013951427706786897,0.06572075538412701,0.04218883698153429,0.10214359026626418
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.06458299986350335,-0.017940220587516865,-0.021113859067166344,0.04859454069501369,-0.008974546463242276
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.03156448327584715,0.018511551547355645,-0.022272019132515634,0.039355990781663214,0.03506941747556718
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.015094016317788679,-0.019245833732572784,0.0005834766947014617,0.040367039572546067,0.07558693028474883
HALLMARK_FATTY_ACID_METABOLISM,0.054076332967688726,-0.019972336537039566,0.002446626738230398,0.0019983712180398133,0.03727608896280995
HALLMARK_G2M_CHECKPOINT,0.052527334445711595,-0.04370940487366939,0.038720330713443926,0.021257739012908575,0.04083828775525212
HALLMARK_GLYCOLYSIS,0.05512746192018356,0.02613770226855957,-0.013640948457166412,0.03428920895535712,0.019418977834337967
HALLMARK_HEDGEHOG_SIGNALING,0.05033159771621508,-0.02645017235296135,-0.03630910237785589,0.0292352446592877,-0.09628928226184834
HALLMARK_HEME_METABOLISM,0.023080738828762253,-0.04318456748309885,-0.0015799036277367767,0.05433959031991901,0.023624818502328407
HALLMARK_HYPOXIA,0.08641785689100628,0.025107280639082637,0.018810486724706393,0.04025912362305226,0.09727385507859133
HALLMARK_IL2_STAT5_SIGNALING,0.11166712341805721,-0.03554941710440374,-0.05396457469111025,-0.010723675940176383,0.043606748759807655
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.05606382736877432,-0.07237819602229598,-0.023120842113358037,0.04193445791391334,0.009612626344157646
HALLMARK_INFLAMMATORY_RESPONSE,0.014655254039620754,-0.04301620751390821,-0.014493840861987742,0.02513867173402997,-0.050294348938829656
HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.05417935674940499,0.0005481065484986077,0.04937860482829788,0.0012860242642443833,0.04271580389195511
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.01623310539609299,-0.016126158489708428,0.01892146586108894,-0.04211985285987866,0.02903833219666702
HALLMARK_KRAS_SIGNALING_DN,-0.04790488089313159,0.012152516990085186,0.0386195605704279,0.03468952112388401,0.05576861433015071
HALLMARK_KRAS_SIGNALING_UP,0.04269131507300155,-0.03935990322234134,-0.020486850957957232,0.034232711658582195,-0.10148392647904639
