,ZH1019T1,ZH881T1,ZH916T1
HALLMARK_ADIPOGENESIS,0.02337337745776398,0.010412582379087789,0.10465397287113808
HALLMARK_ALLOGRAFT_REJECTION,0.12303796073698399,-0.09013372194849777,0.001775745296629809
HALLMARK_ANDROGEN_RESPONSE,-0.022952072874960434,-0.07272842453261487,0.07226217571200418
HALLMARK_ANGIOGENESIS,-0.003921480340064075,-0.11087781012181397,-0.09390814324264593
HALLMARK_APICAL_JUNCTION,0.07651125863015412,0.033656435547370654,0.0627923164743575
HALLMARK_APICAL_SURFACE,0.04405681706717526,0.11469717573063194,0.04282945134937576
HALLMARK_APOPTOSIS,-0.0414840045829741,-0.047263435369917714,-0.004205570443576459
HALLMARK_BILE_ACID_METABOLISM,-0.030201216776495697,-0.010633880924378064,0.1208309187419839
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.008759085178931796,0.04384740260010806,0.11204511812543108
HALLMARK_COAGULATION,0.04563992993866213,-0.08646571543685702,0.007036145672680313
HALLMARK_COMPLEMENT,0.06155170283688675,0.05281248089984918,0.07339752219757402
HALLMARK_DNA_REPAIR,0.07324779955565434,0.06005660113255527,0.12522355937850901
HALLMARK_E2F_TARGETS,0.016211035153139788,0.048269576283162495,0.09348815581157868
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.041603326888369756,-0.08593860143610495,-0.025070766606821424
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.09017055400082216,0.08499414291355936,0.12300279329524748
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.030265705221859205,-0.03924260947753461,0.07938530143400056
HALLMARK_FATTY_ACID_METABOLISM,-0.0043097710234914965,-0.04597642447220191,0.12618823494096337
HALLMARK_G2M_CHECKPOINT,0.03260048584758886,0.018679435105977117,0.11301417481640766
HALLMARK_GLYCOLYSIS,-0.02528861703175681,0.055938487467559694,0.13060145289921782
HALLMARK_HEDGEHOG_SIGNALING,-0.09090235961279658,0.07408900333573916,0.10501324704927244
HALLMARK_HEME_METABOLISM,0.07646422615331543,0.03854550577996554,0.12409120910545436
HALLMARK_HYPOXIA,-0.017945722025293317,-0.08398240507381158,0.048729151925230654
HALLMARK_IL2_STAT5_SIGNALING,0.07420050985150314,-0.0004698291951623877,0.11739504366687306
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.09002388201871384,-0.07274465644946762,0.055687226287140075
HALLMARK_INFLAMMATORY_RESPONSE,-0.0078675454988125,-0.007867532909083484,0.017056838606495275
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.08956989233046185,0.0025170371710211575,0.06037796842961434
HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.014736125374221136,-0.08628841210918946,0.04264320844399382
HALLMARK_KRAS_SIGNALING_DN,0.039909201230750764,0.11358472641359185,0.10207289392273691
HALLMARK_KRAS_SIGNALING_UP,0.11231207511812562,0.022415687877881237,0.05602877620368457
HALLMARK_MITOTIC_SPINDLE,0.06868440885248295,0.07008354476232825,0.12781733394516204
HALLMARK_MTORC1_SIGNALING,-0.0017800155986396316,-0.02462635488075456,0.11950562569945085
HALLMARK_MYC_TARGETS_V1,0.08285917837588166,0.06842561505966699,0.1309443744152693
HALLMARK_MYC_TARGETS_V2,0.01695950463917684,0.06312925706644439,0.0638282070146105
HALLMARK_MYOGENESIS,0.028378443022077388,0.07101760484282661,0.01558107077776165
HALLMARK_NOTCH_SIGNALING,0.05150519514371422,0.07402534832586219,0.135941852149424
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.034445737150518574,0.10956637249938485,0.12418975287051656
HALLMARK_P53_PATHWAY,0.04011919593429715,0.05002203677413548,0.11179762930711358
HALLMARK_PANCREAS_BETA_CELLS,0.013131685732969803,0.09666612920513795,0.13883242986326963
HALLMARK_PEROXISOME,0.14338987145103055,0.09355718869829435,0.09673659615455153
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.03802099748472146,0.1039515416415303,0.05344254876344481
HALLMARK_PROTEIN_SECRETION,0.10556298194507649,0.03415787229904988,0.13541574053563107
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.04390950244239008,0.053806893997253025,0.06132581859423338
HALLMARK_SPERMATOGENESIS,0.026988466692753364,0.08797276605556313,0.13986204666742832
HALLMARK_TGF_BETA_SIGNALING,0.12353560529172654,0.008918425717854377,0.018242611348695828
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.07236132629105722,-0.021087056928831803,0.053758163131545286
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.037819297355260066,0.060048259692413626,0.11945714365182998
HALLMARK_UV_RESPONSE_DN,-0.0031247528725487418,-0.0025489379921001883,0.008735847095674503
HALLMARK_UV_RESPONSE_UP,0.06315651610760138,0.08363991079822444,0.12541637231211175
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.024604591155547667,0.046945322169371466,0.05618410152503473
HALLMARK_XENOBIOTIC_METABOLISM,0.016549543446878718,-0.005034088175276381,0.08356633955532762
