,UKF243,UKF248,UKF255,UKF259,UKF260,UKF313,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk
HALLMARK_ADIPOGENESIS,-0.0005760008928079267,-0.11679428607082079,-0.05612077835671668,-0.08517174187506192,-0.09605879022019767,-0.09853606420152489,-0.029600330459633218,-0.04504314611374774,0.011023138906041724,0.029646418510464356
HALLMARK_ALLOGRAFT_REJECTION,-0.14885032328235268,-0.08189018974325162,-0.044239982318575385,-0.0839771976578678,-0.10431480069025703,-0.10458557056491924,-0.03410613022397314,-0.21855778266169865,-0.04020079746716428,0.006448672640111742
HALLMARK_ANDROGEN_RESPONSE,-0.015496347647351971,-0.08773308292594292,0.036685214327882035,0.0983812863810251,-0.045030887710769,-0.08819279890403489,0.008726607516629544,-0.06791368480828369,0.03992898600866141,0.06267548537955615
HALLMARK_ANGIOGENESIS,-0.01392087171523779,0.05031933775686742,-0.06809925940108458,0.07216508068782795,0.061623988416059795,0.043707735557870414,0.11659444830865853,0.21390895265669155,-0.06391630306832245,0.04527068352462061
HALLMARK_APICAL_JUNCTION,-0.05495552962361016,-0.11603653750228171,-0.12272983890746034,-0.07551610681671596,-0.07395108263261908,-0.13223764125133475,-0.025283068939056425,-0.045989510060616426,0.06244010250387474,0.03118397165632785
HALLMARK_APICAL_SURFACE,-0.03933232112444452,-0.15182903834175485,-0.17073898147843078,-0.14172256239211928,-0.043873174380542085,-0.10269853831659245,0.052054096485563396,-0.23534939394045268,-0.01834957473588296,0.06788594069573559
HALLMARK_APOPTOSIS,-0.09251846225184569,-0.03410283791146554,0.09423535777388105,0.03818747090757883,0.030398028798735238,0.027794138170988872,-0.051253500477920697,-0.03397465815722258,0.03296951767121082,-0.005134130251803431
HALLMARK_BILE_ACID_METABOLISM,0.024643904977306855,-0.08979893379818041,-0.12591039190030293,-0.10329990483268282,-0.0032392773764982575,-0.06390348060821072,-0.02372129203863875,-0.22069415715947027,-0.010994370159465043,0.045199671685742356
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.06323222986579782,0.00945119059698404,-0.06725513708098461,-0.04339774255834787,-0.11227122296207806,-0.07246395296329596,0.0025222197291786355,-0.1497927654498674,0.04893637204066102,0.04791623318738873
HALLMARK_COAGULATION,-0.02551515326016218,-0.1687916526815391,-0.0472796373928641,-0.14210603928503593,-0.06680526558062569,-0.06510245548574069,-0.0445007818798403,-0.10258592507932172,-0.038678847786488856,0.017341311367671718
