,UKF248,UKF269,UKF313,ZH1019T1,ZH8811Bbulk
HALLMARK_ADIPOGENESIS,0.10799569735927683,0.07463343355891817,0.10769493745191466,0.025886211012426358,0.07092196668020083
HALLMARK_ALLOGRAFT_REJECTION,-0.0002143210324719968,0.06406588883344681,0.10339421957886269,0.02426344873452575,0.046949511673599814
HALLMARK_ANDROGEN_RESPONSE,0.07720735053038344,0.09725560984929578,0.04937636568310589,0.01124397734655299,0.04399210900583172
HALLMARK_ANGIOGENESIS,-0.00038605544305292427,0.08761030976072261,-0.02633656729321417,-0.05332788936595976,-0.1115644921745726
HALLMARK_APICAL_JUNCTION,0.10116339400049021,0.06769713207429738,0.10996695913661976,0.06354514322833625,0.08151199789810643
HALLMARK_APICAL_SURFACE,0.11161964151185327,-0.04856642579381927,0.11722685349921153,-0.03113268870934724,0.07041834790273557
HALLMARK_APOPTOSIS,0.05233921460428519,0.03568386430764087,-0.0160600906285054,0.0031431804753679162,-0.05239348913174699
HALLMARK_BILE_ACID_METABOLISM,0.04587782635517116,0.08015336614235961,0.0010936915160587452,0.04137774367446987,0.11495358043482702
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.002370993767027584,0.08762849389079118,0.10303929187896228,0.019660201985363574,0.10132460870694383
HALLMARK_COAGULATION,0.09298922006365354,0.09173376727461963,0.09407631116621856,0.10876350611874809,0.014887761767314241
HALLMARK_COMPLEMENT,0.01795684954886894,0.09053355556844486,0.0696807636392396,0.03202599885563276,0.03480042532831383
HALLMARK_DNA_REPAIR,0.09112135592840152,0.07696054491983803,0.13361945941918457,0.0030068330608025886,0.11225016829815786
HALLMARK_E2F_TARGETS,0.05219067934909886,0.08844625247529216,0.11313083310351503,-0.0648219313859075,0.05137448994147906
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.08333376422456787,0.09517524450067857,0.01766482033212247,0.0856768981081488,-0.030290482980595442
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.08875926526627118,0.09323209687989482,-0.041601390647539364,0.10150798478215498,0.04043826246561858
HALLMARK_ESTROGEN_RESPONSE_LATE,0.05543505094504519,-0.04655345429890187,0.08472622349880246,-0.06315373449495051,0.07118722665882625
HALLMARK_FATTY_ACID_METABOLISM,0.025961121310877022,0.03286607462998649,-0.01966605376114818,0.12728928076577498,0.04342183629817621
HALLMARK_G2M_CHECKPOINT,0.08173610785964104,0.08928746304945163,0.08950669636003696,-0.04228563705333488,0.010970889198339532
HALLMARK_GLYCOLYSIS,0.04607027407564147,0.07468397774262879,0.06566842284914254,0.06131033546119102,0.10986396548252633
HALLMARK_HEDGEHOG_SIGNALING,0.05527298499243712,-0.03995964935368752,0.011244597591699846,0.09601107928353804,0.015055263326622307
HALLMARK_HEME_METABOLISM,0.11693859706902156,0.08471439142708455,0.09722812854240548,0.08837302406924254,0.09289791206794175
HALLMARK_HYPOXIA,-0.04415762747352125,-0.04194836046088753,-0.09799196458696867,0.04662019790981256,-0.016217200470563888
HALLMARK_IL2_STAT5_SIGNALING,0.06306602728723586,0.0722949382641388,0.015485969511141059,0.022179571614525342,0.07781114109060042
