,ZH1019inf,ZH8812bulk
HALLMARK_ADIPOGENESIS,0.11996211784543716,0.04441542448715824
HALLMARK_ALLOGRAFT_REJECTION,0.07095387738549967,0.010646652474084271
HALLMARK_ANDROGEN_RESPONSE,0.06175681566260347,0.040124436377607556
HALLMARK_ANGIOGENESIS,-0.10866616897846991,-0.029651204477388973
HALLMARK_APICAL_JUNCTION,0.08537974295871238,0.03520563866688904
HALLMARK_APICAL_SURFACE,0.0924039634403097,0.072419329772367
HALLMARK_APOPTOSIS,0.04323157063671887,-0.012128097074092053
HALLMARK_BILE_ACID_METABOLISM,0.11199062203881288,0.005797189617037518
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.1017123139783878,0.07975377926349425
HALLMARK_COAGULATION,0.07166256341603625,-0.017494916541405357
HALLMARK_COMPLEMENT,0.04562548729715305,-0.010295479513907841
HALLMARK_DNA_REPAIR,0.08540697351780774,0.04681497123290955
HALLMARK_E2F_TARGETS,0.0677760151042096,0.05960521745229448
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.0012475923864683758,-0.02458314609520458
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.050360939943159155,-0.015923171397541326
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.0075463223396985985,0.04521597774304679
HALLMARK_FATTY_ACID_METABOLISM,0.014526984656823554,0.042967174779804655
HALLMARK_G2M_CHECKPOINT,0.08067034056297918,0.0718273639800908
HALLMARK_GLYCOLYSIS,0.03961490768664411,0.046275168171828904
HALLMARK_HEDGEHOG_SIGNALING,0.014569648647945571,0.0293537901793089
HALLMARK_HEME_METABOLISM,0.035963592538666274,0.02508053124028082
HALLMARK_HYPOXIA,-0.0037167328702878855,0.04079213955046836
HALLMARK_IL2_STAT5_SIGNALING,0.058270356274647925,0.05809119141760763
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.006114774650444921,-0.006463849206216495
HALLMARK_INFLAMMATORY_RESPONSE,-0.017030968095527538,0.016948318434324323
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.04986743374880138,0.1346177116491838
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.004493811239813265,-0.03212233777313456
HALLMARK_KRAS_SIGNALING_DN,0.04114539863768949,0.00957200102399795
HALLMARK_KRAS_SIGNALING_UP,0.041090728879050395,0.02367904771427261
HALLMARK_MITOTIC_SPINDLE,0.039596672511453074,0.060485814046662034
HALLMARK_MTORC1_SIGNALING,0.04511576675937597,0.07785433944188123
HALLMARK_MYC_TARGETS_V1,0.11105324223219623,0.05325083171281251
HALLMARK_MYC_TARGETS_V2,-0.000301169506702066,0.020322772124067908
HALLMARK_MYOGENESIS,0.06035324963805942,0.037247212705636155
HALLMARK_NOTCH_SIGNALING,0.1097992296810725,-0.009679593561429004
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.09943704816038658,0.055336059985169085
HALLMARK_P53_PATHWAY,-0.0035948689649494127,-0.013445280662414528
HALLMARK_PANCREAS_BETA_CELLS,0.016195690963207093,0.03768153625120009
HALLMARK_PEROXISOME,0.046250973478019354,0.028432289335358327
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.09903832434116364,0.06512790930480561
HALLMARK_PROTEIN_SECRETION,0.0630454029166066,0.03541796563869461
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.012387144373307452,0.07275564811797326
HALLMARK_SPERMATOGENESIS,0.014208348964011729,0.08086554139545532
HALLMARK_TGF_BETA_SIGNALING,0.06367903799727223,0.05610834246510035
HALLMARK_TNFA_SIGNALING_VIA_NFKB,-0.05148033767696873,0.03084108495901054
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.023046578921420997,0.02160939563349143
HALLMARK_UV_RESPONSE_DN,0.003694837545516168,-0.034229744549143695
HALLMARK_UV_RESPONSE_UP,0.11625232376034782,0.05679562223365024
HALLMARK_WNT_BETA_CATENIN_SIGNALING,-0.020051312799423713,0.08170430532682921
HALLMARK_XENOBIOTIC_METABOLISM,0.10764269220052793,-0.019083516501896398
