,UKF248,UKF260,ZH1019T1,ZH8811Abulk,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.05565115396411444,0.0030607821940577306,0.017987046538953444,0.032357194006922295,0.07157810138915165,-0.006931268338302225
HALLMARK_ALLOGRAFT_REJECTION,0.052691785470508595,-0.022762642908378584,0.046118793206697484,0.09730198796895609,0.04563064297986476,-0.015790132271793104
HALLMARK_ANDROGEN_RESPONSE,0.057999240362695825,-0.007593814250864013,0.05564045990103943,0.002130058719287477,0.052742401766241793,-0.030261413952214596
HALLMARK_ANGIOGENESIS,-0.07641324170001572,0.04532320923211238,0.030219635745220977,0.02187762926829758,-0.057167200953949455,-0.04398792549715542
HALLMARK_APICAL_JUNCTION,0.036575243711477703,-0.016454213041572272,0.030004405114799394,0.04205210403001359,0.07329081783678686,0.014785757089689837
HALLMARK_APICAL_SURFACE,0.07157163762806638,0.01873976163100433,0.031561982523588196,0.03234984574886167,0.07145655424793308,0.013692069815305059
HALLMARK_APOPTOSIS,0.0011019186486038652,0.03934659067527064,-0.06561530808636891,-0.05466628903545532,-0.00017378564151995627,-0.07212469911851768
HALLMARK_BILE_ACID_METABOLISM,-0.028341877695658876,-0.03611109939406669,-0.02669347826521097,-0.0396484390363685,0.08266098062456588,0.00844588653611237
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.057979885709609935,-0.030852502850006815,0.05366682677156425,-0.005631859013316075,0.07817651755158518,-0.06326550910947995
HALLMARK_COAGULATION,0.043660675887617975,0.029858661193061017,0.009766610295670127,0.06408112472984304,0.022074794560347458,-0.04510053873973847
HALLMARK_COMPLEMENT,0.006777098646646324,-0.031579226022036354,-0.02904107476947696,-0.02206810859880635,0.08705954782684229,-0.04819515599979789
HALLMARK_DNA_REPAIR,0.058254665202286414,-0.00012314394014078058,0.026484758543590965,0.043530117577428785,0.08234762365786716,-0.007495071979875019
HALLMARK_E2F_TARGETS,0.04144677016223557,-0.034689932097137825,-0.004514147737985061,0.0659277488345244,0.10796412830099156,0.009495588936523653
