,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,-0.02367777512709168,0.0646684044622336,0.0816253604745585,-0.07581867239129497,0.008799566705909988,0.05210731049124702,0.051731457525175925
HALLMARK_ALLOGRAFT_REJECTION,-0.025233226313976988,0.09906365699478344,0.1090808656337579,9.939794026672605e-05,0.011845752624417453,0.10858680558634681,0.019798332531669707
HALLMARK_ANDROGEN_RESPONSE,0.07742909860495274,-0.0004674253356991203,0.06484542048059824,-0.1193113910743501,0.02740991227948993,0.08143289794489034,0.051558256416312655
HALLMARK_ANGIOGENESIS,0.05181545982297343,-0.083015727081479,-0.016528153911828058,0.016690985793482185,-0.0007466156780458554,0.03948162568641733,0.09619971266427818
HALLMARK_APICAL_JUNCTION,0.06832185609890687,0.0777384586186825,0.12256881747238971,-0.08229352994022585,0.010092263136049155,0.05728671278530285,0.05981237967879786
HALLMARK_APICAL_SURFACE,-0.13737916317589402,-0.05859014299387074,0.08797186953743381,-0.1014352019933016,0.014791467478108899,0.051973729037278246,-0.06243880531762422
HALLMARK_APOPTOSIS,0.10002230439651107,0.044099310071581466,-0.008517502985270032,0.00795940262510126,-0.014982054263537388,0.11694816740010183,-0.014039640891595586
HALLMARK_BILE_ACID_METABOLISM,-0.010195369183843844,-0.028439873340318344,0.03426856114615413,-0.08378323398370686,0.02885758149561326,0.03034158512617041,0.012669418141587183
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.041201098728633846,0.03448017420566077,0.0759584469861149,-0.0929921788999107,0.052348565563767505,0.015598561804373367,0.03900730111979165
HALLMARK_COAGULATION,-0.1313071737319177,0.03651507297013031,0.15132030718018355,-0.03669548192763193,0.046781781996629926,0.11938373583578656,0.037897947503230105
HALLMARK_COMPLEMENT,0.1554617508629862,0.08577297807988454,0.11883882614400056,-0.06083190449699797,0.04090377454723907,0.0617935954827569,0.11927066784253483
