,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.12174616250115532,0.13299397321460582,0.22577227861096566,0.024914848630589844,0.088973328868078,0.10585636173216903,0.12217682098431103,0.25819928046480123,0.05879832556845306
HALLMARK_ALLOGRAFT_REJECTION,0.06162673842274235,0.1542396626291091,0.2030011866470046,0.04321738982483076,0.06907889187595455,0.14258845922003036,0.1815766383882406,0.36266589866815613,0.006286304071654953
HALLMARK_ANDROGEN_RESPONSE,0.05987255004910625,0.13099736126622014,0.1506300416978053,0.07364298682278234,0.11811113382243356,0.069414904301141,0.16702687715302797,0.35833763973970695,0.07217278828337334
HALLMARK_ANGIOGENESIS,0.07695593235145107,0.00477369230759207,-0.05621063195481698,0.03334970781680255,0.006532683912805266,0.15660532136947133,-0.01121349301691817,0.10579857881156395,0.03926600741869093
HALLMARK_APICAL_JUNCTION,0.15592651590431275,0.18667089310211174,0.2597748482602277,0.03958600095494619,0.10781538758858093,0.14557462472753357,0.1437667710403254,0.46272641204748804,0.09981476529790807
HALLMARK_APICAL_SURFACE,0.0769937282329037,0.15493046569639127,0.16849607234107372,0.040979955932185466,0.0658646176558987,0.06402007834680401,-0.012233951915208468,0.3989860068433537,0.1394811319396687
HALLMARK_APOPTOSIS,0.029748789559978648,0.052080217991453806,0.12000207005930102,0.09188225785801438,0.0394676976308066,0.07750910469924727,0.10072970845696193,0.13316302817802048,0.06516264253421662
HALLMARK_BILE_ACID_METABOLISM,0.1126763799809561,0.10797341213941204,0.15265744687182514,0.03989948043174268,0.09833775323452204,0.003610244617009543,0.043373959007551054,0.05830796459684053,0.02682429422135587
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.03005756666801981,0.05464837866167665,0.12597136959222557,0.03986260072215927,0.05808682926096099,-0.03755889571097646,-0.03872581824748412,0.10725079541897353,0.031095625970424423
HALLMARK_COAGULATION,0.1372880261201703,0.20888061128840943,0.25572656203777594,0.08062641019734441,0.14238612209074683,0.18549002435878875,0.1759294392350527,0.44316008559321246,0.12197389256567279
