,UKF248,UKF251,UKF260,UKF266,UKF313,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.07606645040602496,-0.0012874061714877021,-0.04469672284477134,0.03385194328124507,0.02742206837913763,0.1291468460866135,0.03156498568945731,0.09369713469563078,0.0735865652457915,0.1020484534679304,0.09527359355284534,0.03673846527925642,0.07617168330679618
HALLMARK_ALLOGRAFT_REJECTION,0.09004082917804375,0.06956003805477526,-0.012899782432251107,-0.017085704024407858,0.06167446725597483,0.0897282952117998,-0.07740037618940737,0.017971890840830673,-0.05122636347956896,0.08714685367994858,0.028431022056418797,-0.013729100977959366,-0.03248743019197596
HALLMARK_ANDROGEN_RESPONSE,0.09915747382120839,0.02680116713057488,-0.015150753889418543,-0.035735284945645616,0.03453679670809799,0.12163815461781187,-0.061618195635017824,0.10540976372704315,0.04915542856884273,0.1334212436902009,0.02424277488723132,-0.026229989336398935,0.10611655111584686
HALLMARK_ANGIOGENESIS,-0.033309634213446265,-0.029410069757728616,0.01967180136311522,-0.00454555148009969,-0.009406064640978254,0.10013834782511585,0.06009745788464538,-0.07602064041657307,-0.06995123034446354,-0.025961524549442384,0.0071567244908195046,-0.02553621239967752,0.0006653260751927251
HALLMARK_APICAL_JUNCTION,0.11136966132731291,0.041710089238413406,0.03172559989592701,-0.0025295888799106436,0.06853524880064958,0.1262163854621087,0.00018075074324607824,0.12289735465766609,0.08813549342609592,0.09829795043261853,0.04071220982056477,0.03861263316967891,0.10850531454490113
HALLMARK_APICAL_SURFACE,0.07342088975714213,-0.013635585088091132,-0.03273198902371589,0.05250856363917895,0.08180243583788935,0.0882083620695268,0.0173684121251812,0.11946386431681319,0.05246177364584441,0.14608680624991346,0.06218425327365305,-0.008461176173368308,0.0443247957627674
HALLMARK_APOPTOSIS,0.0471704894203046,0.03163879930989774,0.051351081338169534,0.038307407922839216,-0.042165846673630276,-0.00316292706460324,0.04325295274742166,0.03244975657759589,-0.0268109610386553,-0.04690461820608663,0.021133544792999327,-0.0370099704149038,-0.014922397545686226
HALLMARK_BILE_ACID_METABOLISM,-0.005541499340239346,-0.002985956727521435,-0.037403832318400235,-0.0010872313809976617,-0.005207775892559672,0.13254274117741227,0.009607895522561366,0.06542289219349236,0.03686423825970341,0.08477416371890423,0.04923093918024901,0.03386902432970534,0.05386834022012494
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.009122515580107451,0.06246665104602924,0.016759903822028945,0.003084792714151025,0.0850762743780657,0.08864135065306318,0.03895304885601832,0.042607664280722046,0.049330745320440766,0.14075562004934222,0.003882849165759796,-0.013452204534299992,0.056712732009643066
HALLMARK_COAGULATION,0.11341118316635732,0.03607202945905227,0.05397040145391955,-0.05142649579398734,0.04131686506400068,0.06572800686155288,-0.0036286975393138667,0.10036774943630042,0.0542421616067007,0.08676277226567466,0.05809699983749242,0.025649687389543534,0.061609346511526254
HALLMARK_COMPLEMENT,0.05695566181983966,0.07628187106354059,0.0230763414539978,-0.017779639897404616,0.03319174333868929,0.11688828400563737,0.015234960729489782,0.08318323570512418,-0.05815524622676334,0.09172950771573504,0.05982581909824162,-0.025319999994166252,0.04216209867730389
