,UKF251,UKF259,UKF269,UKF334,ZH8811Abulk
HALLMARK_ADIPOGENESIS,0.003833613594966214,0.043417933083643556,0.06718578070037369,0.03905368761263696,0.07461314727297802
HALLMARK_ALLOGRAFT_REJECTION,0.03135259931790552,-0.01546155597115857,0.16733400413082453,-0.042411546707991445,0.11527682236815798
HALLMARK_ANDROGEN_RESPONSE,-0.001090501316654546,0.012809887474722875,0.11602485944495725,-0.018520657218667937,0.09566341200260242
HALLMARK_ANGIOGENESIS,-0.08130496539878686,-0.02571391848067576,0.13593060217469993,-0.01280345672574044,0.056237193952363096
HALLMARK_APICAL_JUNCTION,0.09315621798112719,0.014087744063257367,0.11288591389704715,-0.03195173931778482,0.07019684495030445
HALLMARK_APICAL_SURFACE,-0.0032032404971389455,0.04188063084965064,-0.09766862133624843,0.009266651226459014,0.08420160931220176
HALLMARK_APOPTOSIS,0.007131518293151927,0.01867793588048835,-0.013284148390550879,0.02895256725717406,0.032576896918451524
HALLMARK_BILE_ACID_METABOLISM,0.1091401138065039,0.006981676062577858,0.07570636558956619,0.013333724265226372,0.06600923981160295
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.06013242853765089,0.03979751777660572,0.06050246821527806,-0.023685248178401442,0.06724697205339566
HALLMARK_COAGULATION,0.008028827727127812,0.0010797514461616798,0.14356662970598433,-0.02764500646427984,0.11813369076892928
HALLMARK_COMPLEMENT,0.007627222133919842,0.009010035690272828,0.12067286600349088,0.004098733185772868,0.06010330380859411
HALLMARK_DNA_REPAIR,0.040993005486224664,0.04098618969804037,0.10543150140108411,0.036462200357786134,0.09675393800826208
HALLMARK_E2F_TARGETS,0.02618111542097395,0.012518984959705624,0.10611447117215517,-0.04350067607011576,0.06982847676400508
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.016807522400189574,0.013480374702613982,0.1286137132025929,-0.03632016699695236,0.030604022725821762
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.04912416545927591,0.003723053708911458,0.055162005583492574,0.009210564636744276,0.020291344050788165
HALLMARK_ESTROGEN_RESPONSE_LATE,0.0004786591785007188,0.0069187949356466685,-0.04195687940968596,0.01629165046307995,0.09928090042277149
