,UKF255,UKF313,ZH8811Abulk,ZH881T1,ZH916T1
HALLMARK_ADIPOGENESIS,0.10642931726006845,0.024467485278744257,0.028328160924327182,0.0719338877814709,0.13187775379038677
HALLMARK_ALLOGRAFT_REJECTION,0.049630907753175454,-0.0010507564486252846,0.02495028621186003,0.02285268420754728,0.08317479970735496
HALLMARK_ANDROGEN_RESPONSE,0.0177279331568871,0.0011822611522561539,0.026823996955603505,0.08995161657322565,0.05334932404181839
HALLMARK_ANGIOGENESIS,0.09192020396738586,-0.03186103691380726,0.07973841816072705,-0.010504688226294131,-0.1176372265330409
HALLMARK_APICAL_JUNCTION,0.1236622825387583,0.0256187137491159,0.03367765437847263,0.09203094112930006,0.07748127518757633
HALLMARK_APICAL_SURFACE,0.06338471867368471,0.01984568920935718,0.06780918692964097,0.05668515782184373,0.061022918353537306
HALLMARK_APOPTOSIS,0.003215754569822292,0.006061612825962845,0.00019900074413374154,0.05757887406407819,0.06544287634427595
HALLMARK_BILE_ACID_METABOLISM,0.07019848492352672,0.05608699891580284,0.014451804058877332,0.09270088420872291,0.11377709205646525
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.10885487512566165,0.006096805350513235,0.04451832392572289,0.05237562120549179,0.08358274667595196
HALLMARK_COAGULATION,0.16845947649239634,0.027071332725017442,0.02861122797726399,0.03686900527946956,0.05387152300013481
HALLMARK_COMPLEMENT,0.12561071083651734,-4.4748660812778364e-05,0.10014000022184753,0.05751457362330867,0.1030599550699815
HALLMARK_DNA_REPAIR,0.07940503540102303,0.03353999989417977,0.041758500238519354,0.09593554541648246,0.10385282896957874
HALLMARK_E2F_TARGETS,0.1185774141633165,-0.01196967250418023,0.117270429773458,0.05772059484430943,0.08900521329926324
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.03495295314996475,0.00665822436222403,-0.030429584850745147,0.057399627466056584,0.01147514297459364
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.028580331189115786,0.0006150592563477902,0.02362920108684444,0.10489813539484685,0.06260192804040028
HALLMARK_ESTROGEN_RESPONSE_LATE,0.13850623933000944,0.010650497574842112,0.09432636560565814,0.04320930402114652,0.06662983961508004
HALLMARK_FATTY_ACID_METABOLISM,-0.06933604093365041,-0.03498815231090552,0.0097333933253491,0.04136781947463645,0.03204235418410118
HALLMARK_G2M_CHECKPOINT,0.09248660491241005,-0.0041886644329165714,0.1332977030260662,0.03374858201851119,0.08248764201121211
HALLMARK_GLYCOLYSIS,0.0013978168118181722,-0.018171033039978208,0.038646975411944805,0.0582309545021282,0.07518686406833439
HALLMARK_HEDGEHOG_SIGNALING,0.10139022607607756,-0.014211591273776816,0.05600553602938347,0.053989319396635135,0.05105913650684439
HALLMARK_HEME_METABOLISM,0.08257978101510008,-0.00262718665570038,0.05763837855513722,0.09064456115441183,0.09837105651351752
