,UKF251,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916inf
HALLMARK_ADIPOGENESIS,0.011267842353738499,0.07219143140111468,-0.04322524274252394,0.005815823303471148,-0.026619764552837794,0.06279695934640621,0.04402285107950957,0.04672674364463678,0.04922721404382207,0.053666742512375604,0.024618311295824775,0.1392164485011785
HALLMARK_ALLOGRAFT_REJECTION,-0.04107475718081501,0.03080246017230191,-0.08107282599242688,-0.023441405083744468,0.012735440092325315,-0.1281592894559632,0.012469279625910835,0.09504555815087343,0.018541901209942837,0.03997884417506177,0.06164945529793231,-0.035904982197243966
HALLMARK_ANDROGEN_RESPONSE,0.03135268135563986,0.13213322039899153,-0.06601047410398043,-0.04907613468917101,-0.02302870827728212,-0.05613622329241293,0.0065586982145879455,0.09509709105395213,0.0608050957097735,0.017559920480128482,0.06274601529238319,0.042356477010541856
HALLMARK_ANGIOGENESIS,-0.03400650854301315,0.06214697136160139,-0.14148060317124672,-0.06123274832415918,-0.01426638516731291,-0.08967018548496478,0.02354444022786021,-0.02829467424000495,-0.008052134930539138,0.05910499661218271,-0.05115585486998431,-0.08663792849452483
HALLMARK_APICAL_JUNCTION,0.001801533772639734,0.11312317011187271,-0.09122269371390312,0.014899016914837943,0.02681355009882783,0.06877768969435204,0.04265914727527685,0.07120397221366798,0.06659369991052547,0.05855227372899947,0.03911124846682542,0.19243656349876917
HALLMARK_APICAL_SURFACE,0.027390621411383747,-0.017899201366245513,0.08124262035265852,0.03243645038379573,-0.020746065252560116,-0.023152621672432257,0.10177088354016378,0.06658536354711098,0.09885999597994906,0.04286336514880004,-0.008101930699086343,0.061711394594733196
HALLMARK_APOPTOSIS,-0.06797361879809341,-0.011154717307654868,-0.025803887921178163,-0.03584564408713796,0.02936191690620693,-0.05557470655391509,-0.026720094761696574,-0.03422582255688502,-0.040374512014767425,0.01356218583838144,-0.012256577867151692,0.06739137819930903
HALLMARK_BILE_ACID_METABOLISM,0.04131902678185641,0.06956801928338159,-0.11134957915485857,0.04104535154051726,-0.009171240584267978,0.03160811652093704,0.026542043159753004,0.05795687059238792,0.09422459983387772,0.05517010678081638,0.03853507017189394,0.002890913328783804
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.04448288393148453,0.13551572297155776,-0.041250120410260493,-0.010836410677739045,0.020296311519736387,-0.047444367297526414,0.03532856156454785,0.07505201956545794,0.09087690631915706,0.05623123142921243,0.02456234143088695,-0.024028625770703145
HALLMARK_COAGULATION,-0.023820101920268004,0.06816554981087622,-0.08436665720443687,0.001527351724128686,-0.005850906905975848,-0.09785913894415761,-0.004747374020465147,0.07094325571558693,0.054989397399188795,-0.00641586884861145,-0.01569510398936414,-0.07644468959420862
