,UKF243,UKF248,UKF259,UKF334,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1
HALLMARK_ADIPOGENESIS,0.04304881237403494,0.028921526440588822,-0.05299150543889224,0.022677342261388928,-0.027974914581187213,0.03434604842530332,0.09180063443478415,0.02800624944596425,0.03955860327112597
HALLMARK_ALLOGRAFT_REJECTION,-0.13798380139070143,-0.001102304743619994,-0.07285795005433761,-0.0064157131440936216,-0.06221127851415405,0.00041116118275362083,0.03372383531402955,0.05593936785238645,0.14134415093562439
HALLMARK_ANDROGEN_RESPONSE,0.06350441359429027,0.05162152049027351,0.08574852348211064,0.05333546800154686,-0.07441934175410088,0.029998505188284095,0.06544513957046244,0.02848050134757819,0.055599192000913296
HALLMARK_ANGIOGENESIS,0.010591171504760685,0.07680813537541625,0.10758896654423747,0.10589820001366994,-0.07505334109460321,-0.04861520994607569,-0.08842434100794315,-0.037676580766022254,-0.026610965943270577
HALLMARK_APICAL_JUNCTION,0.030834862312223432,0.01477174469749084,-0.062885883904365,0.06863555757442127,-0.0331537278857978,0.044359245810234614,0.10456272504124833,0.01664555681708458,0.046045371419249435
HALLMARK_APICAL_SURFACE,0.04942579732198751,0.0077112065044042,-0.12349817259013636,0.0852666921416933,0.017664487653983103,0.018638011081043054,0.08647893444695398,0.09784230620982147,0.00832749886203054
HALLMARK_APOPTOSIS,-0.05838019931250422,0.06490723688840638,0.050854338678989724,0.005369874026186154,-0.05404690552633579,0.034153210560061674,-0.060601981999741816,0.02935901984150659,0.07948830567553276
HALLMARK_BILE_ACID_METABOLISM,0.04853637894995497,-0.010583165404423096,-0.11547436063865754,0.01649088494113932,-0.018215794323592674,0.044598458389242625,0.10041843213492566,-0.003222432577311872,0.014134344158991235
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.08934478150508968,-0.0697587259260303,-0.020966482578912538,0.0609968905603446,0.014235578587404662,0.08946818353241184,0.08888860355896491,0.02360264979591227,0.000269749759011959
HALLMARK_COAGULATION,-0.03737878843008791,0.036208515437857164,-0.10014265162916886,-0.007563455936542001,-0.07078145689448356,-0.005897144700846023,0.038789312937807456,0.031433163115359354,0.06883190209696458
HALLMARK_COMPLEMENT,-0.03132083247799195,0.058260269870664204,-0.060753219825172844,0.055968807102858543,-0.06829545603537832,-0.01760484271949649,0.033403924713677396,0.0030481780997713924,0.02817494763987229
