,ZH1007nec,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.03789666170025088,0.046833092550296745,-0.016525719747066972,0.043998778616891214,0.07757346474284472,0.019067376790669752
HALLMARK_ALLOGRAFT_REJECTION,0.14970677968015914,0.03628422942709703,-0.02051944167015828,0.0019777874131724576,0.006336451264912937,0.022918358906397655
HALLMARK_ANDROGEN_RESPONSE,0.08451740367122423,0.038342948098556234,0.008205070812749958,0.05865904597653865,0.012713059170088307,0.045847688424057106
HALLMARK_ANGIOGENESIS,-0.13642717857920286,0.012441232290037182,-0.04873753155992285,0.000123871825397278,-0.05947537536077527,0.01958270949058053
HALLMARK_APICAL_JUNCTION,0.08193740412644947,0.03151412151991499,0.0010328455780395348,0.0045225375098173395,0.024615022753060874,0.019383476177732766
HALLMARK_APICAL_SURFACE,0.08066621984358519,0.029324553781311172,0.02850195393952338,0.014952179980229687,0.007780829826173928,0.0682541169963159
HALLMARK_APOPTOSIS,-0.027314578117738807,-0.027524215908979445,0.01691271537272372,0.010125429747659726,-0.007327000765326613,0.009972073421617253
HALLMARK_BILE_ACID_METABOLISM,0.12318387700738244,0.046441136747751605,0.04403556172786929,-0.009808597319253478,0.08070818081095892,0.026839828814164666
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.07111671070473383,0.06822676717871873,0.04081926585949571,-0.009759908739338602,0.12480146277226586,0.013294214868647774
HALLMARK_COAGULATION,0.08515815810090542,0.01498712198512249,-0.01720764582643289,0.0058999729393873854,-0.011388617392617284,0.04683166413873357
HALLMARK_COMPLEMENT,-0.0018264689718067578,0.036547304282985305,0.024647218119093522,0.027686671919651833,0.08940956686604122,-0.006093913900110019
HALLMARK_DNA_REPAIR,0.13455069848006035,0.053640048372826044,-0.009958704150776498,0.0003622867600287215,0.0711302775470076,0.02287638409287139
HALLMARK_E2F_TARGETS,0.06643505251456862,0.02790866644702308,0.02334473561416762,-0.043916258387097805,0.07966377304945169,0.06755429995084246
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.007959921457241729,-0.038193102748968026,0.017956116119119223,0.029072848967682082,-0.04279174603411363,-0.028142854170698887
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.014536606610213446,-0.021240796640346376,0.01878566682198893,0.022892733153378027,0.08448043352483271,0.014070837726397091
HALLMARK_ESTROGEN_RESPONSE_LATE,0.06776393296021632,0.048988086834797814,-0.00014632806783281053,0.05618194412586359,0.07406637152270949,0.05301245254711563
