,UKF266,UKF269,UKF296,UKF304,ZH8812bulk,ZH916inf
HALLMARK_ADIPOGENESIS,-0.0008711377786037777,-0.07298605318192819,-0.04120872139919417,0.013008145387920196,-0.012750362371749098,-0.001055818371172839
HALLMARK_ALLOGRAFT_REJECTION,0.004512893669105112,-0.1128524471017093,0.0029484144121461053,-0.10845744667171661,-0.0577015159295572,0.026576787877720002
HALLMARK_ANDROGEN_RESPONSE,-0.10041071453535447,-0.07930160898196346,0.022528639913082626,-0.05181457893585268,0.0461968591716324,-0.0953075092852458
HALLMARK_ANGIOGENESIS,-0.10007070493094417,-0.07900395053649682,0.04081663734691516,-0.10535060829640575,-0.03417848591227956,0.03475926356923975
HALLMARK_APICAL_JUNCTION,-0.11612825625755577,-0.11147562341541874,0.0361937084787643,-0.08086704788012974,-0.035563775467214766,-0.09809781232330114
HALLMARK_APICAL_SURFACE,-0.0803011289701851,0.03273709322997335,0.004948726840607539,0.01749468516133967,-0.013862497702069562,-0.051199308277170355
HALLMARK_APOPTOSIS,0.051102164961892446,-0.008213930572108992,0.004510824649682747,-0.020484444448960668,0.01534875494435372,-0.0760886744661423
HALLMARK_BILE_ACID_METABOLISM,-0.11239536278382026,-0.10079392875170741,0.013219657185470472,-0.024238923649769237,0.036982327816218345,-0.08379240428146566
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.11692472146288177,-0.06961423503647028,0.028225879041702772,-0.07173584383743026,-0.019542614272156526,-0.1215322453425077
HALLMARK_COAGULATION,0.04304850615829309,-0.08637631946630579,-0.02445101375801063,-0.1151176328026609,-0.014515686336897366,-0.025734425394152025
HALLMARK_COMPLEMENT,0.007539405071226211,-0.14258758902773006,-0.019002933850210284,-0.10445979067883576,-0.007858657876865835,-0.1478693361569357
HALLMARK_DNA_REPAIR,-0.09514613564631051,-0.12447177059844815,-0.001175306824548633,-0.0002146417994056667,-0.01795558367497376,-0.08957160834629913
HALLMARK_E2F_TARGETS,-0.07227479161985464,-0.11552581387327975,-0.03461117624461591,0.03378209605838117,-0.01945721181545326,-0.08900091463513593
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.017578394108809303,-0.12798280411858126,-0.01593135087511418,-0.10608684113731294,-0.0007327265108721987,-0.08376235139349993
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.03926232642725143,-0.05683732608888647,-0.02928043570711388,0.07423355340432759,0.026988307705786037,-0.07205048943209762
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.03463432228938748,-0.03125442467532954,0.05654802263914079,-0.06648186866226896,0.01546056531759626,-0.09799982279472258
HALLMARK_FATTY_ACID_METABOLISM,0.003200978930406542,-0.07164019808227362,-0.02723439550265188,-0.002062333689647225,0.03646929014732231,-0.12363068370696331
