,MGH258,UKF243,UKF248,UKF255,UKF296,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf
HALLMARK_ADIPOGENESIS,0.06311024857527169,0.031537653320592766,0.043226763213016495,0.05646460120601601,0.047838181335434535,0.07812584407798917,0.1684924619146579,0.034884960165341455,0.06856438098099685
HALLMARK_ALLOGRAFT_REJECTION,-0.02422268929702793,-0.021364966622371175,0.017604270057976327,0.08515926783411534,0.016219418432426892,0.026877258613458136,0.05135888914197704,0.030100515769618447,0.08549689857659216
HALLMARK_ANDROGEN_RESPONSE,-0.03415296589287624,0.026414160385441723,0.03416178271866458,0.07924049105213123,0.04402973438254277,0.011110753179582355,0.09407941271013594,0.08104935107453279,0.10599048852302552
HALLMARK_ANGIOGENESIS,0.017221248447990226,-0.08529850843390223,-0.05460164128718719,-0.09061831443926813,0.013506353731372553,0.024190412859859116,0.005911002511980401,-0.09502431561244244,-0.02939093165098772
HALLMARK_APICAL_JUNCTION,0.011718138650778101,0.0015583065195203573,0.05365228494036949,0.04218704123853816,0.032576989860568666,0.0023619681155458787,0.13467866959386268,0.03456725804184831,0.0440419517971061
HALLMARK_APICAL_SURFACE,0.0477709933599453,0.04986739343741044,0.053653519229543686,-0.0008643518531384169,-0.025998453517231384,-0.012983317573452655,0.17596205851409852,-0.08197964965810996,0.06910157056912977
HALLMARK_APOPTOSIS,0.04215099405239718,-0.0601109069928011,-0.015656298936835573,0.02218678610609717,0.019595484951965003,0.08261052926661451,-0.04555226969878179,0.03165590419710477,-0.02712752624818308
HALLMARK_BILE_ACID_METABOLISM,0.040813278320026965,0.004455132606492544,0.04254451844652676,0.05083298165467938,0.044322917993571485,-0.05290054681894852,0.10366134047839294,0.025891145617238764,0.026217098313992982
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.0065890767697517885,0.07126705613911265,0.0006274656677375309,0.07488490734330984,0.05539213926165644,0.028161950030196017,0.12988444760176754,0.03189189874907644,0.07382193743452574
HALLMARK_COAGULATION,-0.014911514986594354,-0.061945300691564655,0.01000929233561285,0.08511753129379103,0.040253428567390316,0.0725320901816158,0.11072820314673662,0.0734733210577256,0.07198576581228885
HALLMARK_COMPLEMENT,0.05841584192628507,0.004137695103041992,-0.010251350206488733,0.047655593286120845,0.0745584395557917,0.04151886580851065,0.0897044006097496,-0.027414261573106845,0.0831653547960972
HALLMARK_DNA_REPAIR,0.01966935613107138,0.10515332814186747,0.04997179096918864,0.08055599633232226,0.07049629717057615,0.017112494183713522,0.1699044676323016,0.06552524059452279,0.10351297018869988
HALLMARK_E2F_TARGETS,0.023090630953915656,0.03544165990747366,0.04973051705679221,0.010440116954327294,0.03414255785456841,-0.07705298121259409,0.141168502799235,0.09317714567800517,0.037284470465062246
