,UKF248,UKF259,UKF313,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.023071127585223953,0.034103043969014826,0.0323217002285036,0.005694686880578516,-0.01013089545392116,0.030581200385651076,-0.07425935201945945,0.08787478439882151,0.09094457587253776
HALLMARK_ALLOGRAFT_REJECTION,0.03744907091389491,-0.025315143293642747,0.07639123981647229,0.039169693959483824,-0.002947248764398927,0.04282999433370917,-0.015458157314716689,0.05804087788505586,0.05259952740601534
HALLMARK_ANDROGEN_RESPONSE,0.02954112476018385,0.028852302649689163,0.03181730318433774,0.03696020678728111,-0.003566987165420855,0.0051779181446284395,-0.08608433794510074,0.08240330960899081,0.10858914349750233
HALLMARK_ANGIOGENESIS,-0.0302712702668243,-0.020450103980136754,-0.0029172163164207974,-0.019570892896316937,-0.045006690056723676,-0.01350047927835298,-0.014854552015481425,-0.04224992780574692,0.09784635974663466
HALLMARK_APICAL_JUNCTION,0.006215722827930173,0.04885782912389732,0.07401776034833639,0.03922490219568688,-0.008013424178691804,0.03186258403361016,-0.07833457700606387,0.0911791813309893,0.116372015911459
HALLMARK_APICAL_SURFACE,-0.01616842693090508,0.10067960730574606,0.08454883740875906,0.0535002540530018,0.000789950788715553,0.0411626986244991,-0.07707812872029153,0.03339997820412065,0.03640279584061176
HALLMARK_APOPTOSIS,0.050586414890488554,0.0009357898349149422,-0.0411383485939228,0.02244547501150049,-0.022416563857103163,-0.03953803840092621,-0.06837276312188162,0.024199952168568954,-0.02330367845760203
HALLMARK_BILE_ACID_METABOLISM,-0.038446310266997,0.08441805136062307,0.07508188464833787,0.0356151302068296,-0.042963705440274606,0.04208687505783315,-0.10800083944743409,0.06241665212155817,0.09765638524502471
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.05957210968890866,0.033610066446137996,0.054335540289224896,0.008658197407582897,0.015622604268474822,0.045117625998036606,-0.08300723300908842,0.07424914126566695,0.06552132082641006
HALLMARK_COAGULATION,0.04876885000173567,0.00691212152930034,0.05661583476760316,0.009239497684918115,-0.058985374090054596,0.049514448113683295,-0.09581092365812625,0.05567364396205545,0.07582364603084021
HALLMARK_COMPLEMENT,-0.027371358166170666,0.04682181864405434,0.019955805003268736,-0.04782378670896308,-0.001227431874975645,0.032427287080217124,-0.06189140498661208,0.07729415217996613,0.10681060306785417
HALLMARK_DNA_REPAIR,-0.00024432331396143737,0.015497671145322932,0.0654746512581933,0.003411228156140594,0.013780954043822019,0.047379640511967934,-0.08357867775827559,0.1113115650887574,0.08728912379244097
