,UKF248,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.03986447549884795,0.10579439033065047,0.05845903986447938,0.029270006029974368,0.03367152178456987,0.08581315438266374,0.051612992127434136,0.09496840898678784,0.17913320812699943,0.07606080064249089
HALLMARK_ALLOGRAFT_REJECTION,0.0366102749991721,0.0484477661414408,0.008561645739362635,0.10620217315482922,-0.05546387272776803,0.01316155572248879,0.07070717508045019,0.017399799543662713,0.09541283634068753,-0.04024319215231168
HALLMARK_ANDROGEN_RESPONSE,0.05059190472544126,0.08770769367625199,-0.005195464620153901,0.1030083486344897,0.024824992591687436,0.06474160541608061,-0.03389619447456707,0.010565428080283486,0.07865433975567239,0.0373056916709584
HALLMARK_ANGIOGENESIS,0.08116243142697678,0.050330044916722834,0.03541347023174254,-0.0030673337417787432,-0.061195223580139235,-0.014814917615578415,-0.0031597038670056524,-0.05448454714253323,-0.1045713239773319,-0.01215770702205864
HALLMARK_APICAL_JUNCTION,0.036248968997101116,0.06174460720290915,0.04554312267635396,0.03270066434847024,0.07733035653951058,0.06247713422673181,0.041181155413485916,0.030089923682957768,0.11075843578143364,0.06320858055330329
HALLMARK_APICAL_SURFACE,-0.009909355109362784,0.03845309109785104,-0.09128277126481035,0.1105000686552104,0.027464802792055914,0.07972526638338073,-0.046853530720541436,0.0193156088351837,0.0876997837422831,0.043904353487691
HALLMARK_APOPTOSIS,0.04070588166577674,-0.009099548424133963,0.041951888686405425,0.038330935078883535,-0.028707545278494024,-0.06253583107682831,-0.005046617375659237,0.009984631647188484,0.014595776868488406,-0.03561397453804611
HALLMARK_BILE_ACID_METABOLISM,0.008217812057875378,0.057080055753597835,-0.008869610874899026,0.034391736270154495,0.0946332511665148,0.09236572149695979,0.04322402906070869,0.0944917469465931,0.1709456640906686,0.09114419173958406
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.029891366174717403,0.08073152414113817,0.04100192490269586,0.09355010497301687,0.03131877800709004,0.08453774016415133,0.01543644581748164,0.06421538759181886,0.12936796358830382,0.12651953495341325
HALLMARK_COAGULATION,0.05093011604052747,0.008230342896718553,-0.04069518288058739,0.08234274859132175,0.010120415361618704,0.023536952458022307,0.04253777586126438,0.07562375053404397,0.0689023958924642,0.07878520281154464
