,UKF313,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.02568201858180288,-0.009752392842303854,-0.061765691669307954,0.052908722614391425,0.05203278296009535
HALLMARK_ALLOGRAFT_REJECTION,0.06057242084241295,-0.004851995614238798,-0.05443260156095086,0.02207807788787343,-0.05045826405346606
HALLMARK_ANDROGEN_RESPONSE,0.07892847265388063,-0.013753858318938597,0.027670017983315583,0.04448319838489587,0.05574641018558068
HALLMARK_ANGIOGENESIS,0.011659812132132947,-0.017741276865853008,0.029934216039957506,-0.0078913160250952,0.02295010707125831
HALLMARK_APICAL_JUNCTION,0.022667135561579302,-0.03522511926834405,-0.01184020402966625,0.037087875226846395,0.06756106975074767
HALLMARK_APICAL_SURFACE,0.08567663120575558,0.07856243881803417,0.003406047437522075,0.05011561507452832,0.07922482274783557
HALLMARK_APOPTOSIS,-0.07024873306220242,-0.03339316725322093,-0.02046413081901394,0.07598918270203102,0.09187020889381259
HALLMARK_BILE_ACID_METABOLISM,-0.011100938384895214,0.04082841384241467,0.020397247346032814,0.05462035697227532,0.0072318830878593645
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.07268519792126613,0.052725036135641105,-0.0025965350275005935,0.07782523492045679,0.04842649852615111
HALLMARK_COAGULATION,0.07178104286109094,-0.005928991699855006,-0.05729932477622899,0.029054872748860663,0.1149060623721506
HALLMARK_COMPLEMENT,0.024156746871729067,-0.014638664446364432,-0.03977175384851797,0.025227114241591127,0.045569100757886075
HALLMARK_DNA_REPAIR,0.05227627021490322,-0.014421803830093815,0.040319375734374524,0.050040048431316014,0.024227688941815678
HALLMARK_E2F_TARGETS,0.08449709701576134,-0.09443589527695719,-0.06649113935895969,0.04330891404253672,0.06861037593574458
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.03454059887249383,-0.03656997680997177,-0.04535560320829484,0.022147886550289445,0.07107115721016388
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.0052324334449563034,0.01312112155632608,0.0026042229204442592,0.06751837573203852,0.0468671223421043
HALLMARK_ESTROGEN_RESPONSE_LATE,0.05826026680510963,0.015942177399823707,-0.08975125999565498,0.07449888753347475,0.02496592550653921
HALLMARK_FATTY_ACID_METABOLISM,0.021830206685916214,-0.023345247284952183,-0.04058781830415863,0.0190699829939444,0.0459296048046095
HALLMARK_G2M_CHECKPOINT,0.09133272235066829,-0.02189628183447285,0.06948358293862761,0.05492992367501681,0.05880233755825331
HALLMARK_GLYCOLYSIS,0.038197319096047073,-0.0353702731899919,-0.018432327124963035,0.05456057562275821,0.03841881752140646
HALLMARK_HEDGEHOG_SIGNALING,-0.01825723609459847,-0.021006601290505404,-0.007442848828765878,0.03598429835366171,0.0808881060058435
HALLMARK_HEME_METABOLISM,0.07788380829369274,-0.024204297236084093,0.01062605497751029,0.047882437394975795,0.08712470660582546
HALLMARK_HYPOXIA,-0.04980308880513434,-0.029882990192519096,-0.04823373272196838,-0.05273712676160154,-0.05060900538285937
HALLMARK_IL2_STAT5_SIGNALING,-0.03514346598682443,0.005837449416551531,-0.020654379267722504,0.03694340140299664,0.01647584024002545
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.036593674748602055,0.00709513220764596,0.05858608436313903,0.048540190065850676,0.05529744732316179
