,UKF243,UKF248,UKF259,UKF260,UKF275,UKF313,UKF334,ZH1019T1,ZH8811Bbulk,ZH916T1
HALLMARK_ADIPOGENESIS,0.007928741370031987,0.08733171540782332,-0.00633349214879299,-0.016826754551175174,-0.013511139952215858,0.05638162125941664,0.01827015869990391,0.06721135140403271,0.07122203451540542,-0.00016401071913199036
HALLMARK_ALLOGRAFT_REJECTION,-0.09563090601443093,0.09300989143418636,-0.037385497605192844,0.02410149091560534,-0.06587213421817673,0.04836774116246033,0.11770269243579388,-0.02775907066032089,0.03295569981316813,-0.008677698879469809
HALLMARK_ANDROGEN_RESPONSE,-0.06832255660888316,0.06937358606665163,-0.002355969841193098,0.02942347002530986,-0.014011236134119923,0.05203265655126389,0.07211620945573692,0.028749316454137648,0.023969642670547037,0.0383158992723343
HALLMARK_ANGIOGENESIS,-0.053757732054665414,0.035152492567162366,0.009279600419337525,0.015172679357170836,0.04564404171148651,-0.010790996712514754,0.06388759326811058,-0.03204994736917688,-0.0765521567338525,0.022627051783917412
HALLMARK_APICAL_JUNCTION,-0.03696734108706814,0.11094248701613471,-0.013797042523833798,-0.007790779992965022,-0.00330144779115131,0.06645757993889898,0.03146655078938709,0.04454166495050522,0.044526986073306844,0.028049989211838797
HALLMARK_APICAL_SURFACE,-0.03482231523690071,0.07210097301163577,-0.04118865417956523,-0.0360568548009443,-0.03873025838212833,0.08161508294314801,-0.030856985239723023,0.07908947611111518,0.044902003395996024,0.05418675027443052
HALLMARK_APOPTOSIS,-0.008376200494354849,0.06680635000398338,0.007168461031784523,-0.020696793088596937,0.08144903086595971,-0.019570816773206972,0.0469338241089257,0.053836857419546566,0.046947083011410144,-0.02724178847166402
HALLMARK_BILE_ACID_METABOLISM,0.006483951511443559,0.0020433579830171408,0.013576499106704235,-0.01971292375013992,0.042549997999263345,-0.024461156419624108,0.014699652359216206,-0.01992629453010023,0.06277924264563017,-0.04303511189740609
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.05971564552650229,0.00808929918344317,-0.016906950110838887,0.007786123966939251,0.08461469152371785,0.04405638400951995,0.0035003277628346237,0.07149792713163093,0.0590733434567074,-0.0066387542444933155
HALLMARK_COAGULATION,0.05151124742328567,0.12233936166882606,-0.047552594342569705,0.04987315892921785,-0.0060504094608643715,0.08179723258014794,0.06132577324329192,-0.02657103486943195,0.07861348313027532,0.011042861590170556
HALLMARK_COMPLEMENT,-0.04489036023065495,0.09832133218533798,-0.03782704304467952,0.036688032771990516,0.049614318855613786,0.028739524875835327,0.06930746413926826,-0.00017275608052052843,0.07178980941711204,0.015450228598702622
