,UKF259,UKF269,UKF275,UKF313,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.03216603736913181,0.0718789103917129,-0.009348876966783411,0.006618324432812178,0.0784885454639571,0.002589963643514078,0.08231582307551699,0.010951476989141489,0.03798547843648859,0.11198634956337575,0.04070961001063525
HALLMARK_ALLOGRAFT_REJECTION,0.04459509104376961,0.11310959362042726,-0.012554668101957758,-0.00652558353875931,0.10794232428501266,0.04527988401475288,0.031266668781499925,0.05053128999672584,0.06577439223837125,0.15493267972896277,0.08313851150570928
HALLMARK_ANDROGEN_RESPONSE,-0.004313013891142923,0.0733229451165579,0.029054605960647732,0.027825335904668715,0.051759954408106254,0.05626920886104532,0.04875291699604658,0.001898063507202736,0.044040529753542564,0.1665200836239647,0.06653274472194402
HALLMARK_ANGIOGENESIS,-0.03489613015902476,0.12617779917091404,-0.03656544945468283,-0.006280469218770944,0.06483006908197614,0.057733553312731674,-0.011464795181064913,-0.05196086089487815,0.005565931809163358,0.039388260795107405,0.1079251139316571
HALLMARK_APICAL_JUNCTION,-0.0040236513976644964,0.15398456120543824,-0.013838636025336751,-0.0038709035958478435,0.031229967418561884,-0.007936177074760816,0.04865351630498651,0.031046847771748234,0.07082628371810062,0.1775134774276486,0.08862522364682945
HALLMARK_APICAL_SURFACE,0.04406029758015032,0.040037203922738566,-0.0020216158937038987,-0.006600171840977305,-0.022971070109382253,0.004746232168211857,0.0461032323826408,-0.044032776865172644,0.00781412910690442,0.17255232640061616,0.06976369173026953
HALLMARK_APOPTOSIS,0.03018132582707186,0.0443367957088943,-0.03997828400830594,0.07788084883654968,0.08268439597957639,-0.00921908112319615,-0.0024844605318579123,0.015745441861444227,0.023680310334653877,0.11546819754790202,0.05985096968298767
HALLMARK_BILE_ACID_METABOLISM,0.0310540660921428,0.11909103684626753,0.023832309962080515,-0.014560427451946526,0.06274637739476543,0.022052719223401483,0.07187167768001938,0.007655863092440424,0.014643618397746496,0.040174718988074974,0.029972881181817766
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.02539745061353723,0.012746413685665967,-0.006450184972509696,0.020255646842337487,0.05456482440654632,-0.0024043078083590646,0.055574595590719145,0.03824776730577208,0.008409274838653598,0.036836303087131296,-0.018653073257486552
HALLMARK_COAGULATION,0.03873604845785842,0.10118146976854192,0.006537391927191601,-0.015915733312367262,0.051006663615878536,-0.024609729483817566,0.047564292063917636,0.03290337225146866,-0.019508779298950656,0.19096772051407343,0.039469353823412184
