,UKF248,UKF259,UKF266,UKF269,UKF275,UKF334,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
HALLMARK_ADIPOGENESIS,0.052257784518135605,0.010196395088642972,0.026826594458718916,0.11364500985086239,-0.0038161875137012282,0.029085805280917587,0.07312303038615353,0.06635947429444924,-0.009270703892418592,0.025364262221458635
HALLMARK_ALLOGRAFT_REJECTION,0.03286996811013344,0.024765123034458422,0.05358539824887993,0.13413117464900778,-0.03911866770096674,0.05891403554429274,0.04064146500839232,-0.005251826448734268,-0.016653495900585624,0.06047418014560698
HALLMARK_ANDROGEN_RESPONSE,0.008146014475200318,-0.0041225729560360296,0.09793629634181741,0.08254043562815336,-0.04119244740450374,0.04344887409505593,0.04538914725151007,-0.00036323264504350793,0.01822208486004639,0.06948046011993533
HALLMARK_ANGIOGENESIS,0.03117789521552986,-0.07721411245569501,0.1030329439858178,0.10444373158769904,0.029357782630271854,0.11549431441733138,-0.04715688120926412,0.020558344328830174,0.0058312494494052475,0.04199228850521776
HALLMARK_APICAL_JUNCTION,0.03638343174969807,-0.016908962526399448,0.1030724484752184,0.10602940150520783,-0.012984754249689454,0.023435067143508344,0.1030258807030673,0.07338554270852701,0.025670696434326772,0.053711126627437496
HALLMARK_APICAL_SURFACE,0.01715184937005742,-0.0046358219432464385,0.0017484526635257415,0.02391535481228317,0.020779338981069286,0.009573232644886817,0.06302610158447741,0.07627782374243702,-0.0027309558283735804,0.03763090606467065
HALLMARK_APOPTOSIS,0.03509908736541466,-0.014368983254640564,-0.020018289206456708,0.04400482831999884,0.03132723278621288,-0.027675058820536603,-0.0750933242493252,0.04655542674595309,-0.06138097999285035,0.06355733464302991
HALLMARK_BILE_ACID_METABOLISM,-0.006089874856071324,0.000697227090899047,0.05430057766452728,0.11513754479460021,0.006454491216300627,-0.0017820791341423689,0.051813528762634606,-0.017908603731588008,-0.012166592750260783,0.023690265023647003
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.04471362721958962,-0.005120716397552171,0.1032622419872708,0.07951696776719121,0.032673642841074234,0.018545692665563034,0.06913248371010652,0.05757418906636164,0.034561017917532376,-0.01808371833246209
HALLMARK_COAGULATION,0.05233194014506477,-0.08229551041512732,0.03242621331188429,0.11894110384568697,0.0010706027734841115,-0.00948525276063241,0.03186673014726591,0.07202713229442628,-0.03625767161332961,0.06563644665348713
