,UKF259,UKF266,UKF269,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
HALLMARK_ADIPOGENESIS,0.03755920385554038,0.09603274472595787,0.11122528978365918,0.09577875282388396,0.1026132239533637,-0.03471427972350663,0.07184172078170868
HALLMARK_ALLOGRAFT_REJECTION,0.03260003404265064,0.11236912584681645,0.12741185708526037,0.004274059004883483,0.05974011839671324,0.0334832662446712,0.031924873280166265
HALLMARK_ANDROGEN_RESPONSE,0.08114148003233237,0.12316688888721483,0.12091781573854034,0.06221467143578477,0.13232709461327205,-0.031707063696227174,0.013285914341074321
HALLMARK_ANGIOGENESIS,0.06863737582622978,0.13834291730176349,0.13207444101823446,-0.06035612110093531,-0.11919695866555122,-0.045123980168894115,0.014548507269663323
HALLMARK_APICAL_JUNCTION,0.011391901741008795,0.13125951267407518,0.12613961526145553,0.07667851767294324,0.1271049853907835,-0.006091662479321398,0.0652863932317231
HALLMARK_APICAL_SURFACE,-0.04256880454000458,0.017240460079526117,-0.04102004101627468,0.0596655314583891,0.11445854834290696,-0.10719447517991955,0.07021871686004333
HALLMARK_APOPTOSIS,0.03679642171886438,0.005494014135783972,0.027656279883092643,-0.04250410703192501,0.007397997924468161,-0.02165982360003748,-0.03874208682859161
HALLMARK_BILE_ACID_METABOLISM,0.013406971772277856,0.10967694053871717,0.14185037475411252,0.058995046119834506,0.08250628962168356,0.013768595337902579,0.00044888776234884657
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.017088841755985226,0.12425080314908019,0.08879560229651327,0.09828710823815649,0.0937873901784956,-0.04242945399612894,0.07773211547424223
HALLMARK_COAGULATION,0.0012520990127340807,0.10987094472962533,0.13823687888948327,0.04091786412368685,0.06019752683274189,0.003307059287719445,-0.02798249062624802
HALLMARK_COMPLEMENT,0.06100502246440134,0.10019997663570773,0.1387044979596925,0.06575569776176476,0.08309262217671812,-0.03009411882999364,0.03372711283425292
HALLMARK_DNA_REPAIR,0.07902935279467767,0.14685640437110392,0.12032453044387768,0.09957227927103768,0.12341571612554067,-0.05403913762944587,0.12317078352335532
HALLMARK_E2F_TARGETS,0.03351184455083643,0.11955222477158332,0.11520855799620558,0.03008169423457908,0.07786654248291829,-0.010795198841161117,0.051266614010981544
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.08449829661697764,0.14511556906585985,0.14115523679465256,-0.06627628071329475,0.004159646874678457,-0.010278532428750913,-0.005741133584605183
