,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,ZH881T1
HALLMARK_ADIPOGENESIS,0.07269888484947282,0.012941056426148503,-0.00262079266780723,0.03540648141488071,0.06485229561612914,0.03722745985665192,-0.09872727566870122,-0.005217164611532196,-0.022083434668381467,0.06072899467823886
HALLMARK_ALLOGRAFT_REJECTION,0.020417894295501865,-0.00026789809674503785,0.043228397195268706,-0.002802102141116151,0.0006783655160531289,-0.08058819599301544,-0.07180018537544215,0.05137016644381806,0.021073552378578414,0.0029480817613952584
HALLMARK_ANDROGEN_RESPONSE,-0.03397158896419775,0.0309007866270734,-0.020292582552785432,-0.04964014539830646,0.07714831117182253,-0.04583661669620356,-0.08369727887241354,0.05052088297565221,-0.005124880730448446,0.05602190827147917
HALLMARK_ANGIOGENESIS,-0.07941504935229879,0.03193955674998359,-0.025635205876535644,-0.08427557712323253,-0.09630397685434305,-0.05099713082321753,-0.11690656499080489,0.0013287978491741618,-0.0015443305762678856,-0.0018829442426347846
HALLMARK_APICAL_JUNCTION,0.057196213837990215,0.02827541913233319,-0.00021903469426500093,0.04274322753284055,0.000654847386699201,-0.040263718128341126,-0.09116129013913159,0.0831134945629876,-0.007049292113241216,0.07579351150708263
HALLMARK_APICAL_SURFACE,0.07955598676474476,-0.0050987381659435204,-0.082399428019937,0.02841300373502753,0.06420851117132835,0.08234958000425138,0.13692311315194572,0.01831615300722647,0.010273325052282088,-0.015381305628345422
HALLMARK_APOPTOSIS,0.05841902583576079,-0.019224947125473218,-0.0009488654642656587,-0.04174228304259959,-0.0019444591982789002,0.017202882687550474,-0.04174373688229216,0.04626905343581406,-0.014280040714807034,0.01873184896875924
HALLMARK_BILE_ACID_METABOLISM,0.022742232692426992,-0.015874105677097516,-0.014057403851706219,0.004818674757215286,0.03308930682860267,-0.03625049507544822,-0.12715691113258634,0.033573454386093354,0.009518902015115351,0.03131615311448652
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.0398009798796247,0.011078078544966882,0.01572817241148366,0.008321094468194144,-0.030120457876003832,-0.0507779446939734,-0.03192406456900386,0.029348306127211864,0.018025745913632176,0.01460039217239217
HALLMARK_COAGULATION,0.06954218865357613,0.024674202277672898,-0.036691818046982023,0.03776001187097918,-0.03262009410650756,-0.06716978745444735,-0.09669762394756957,0.020946597167677893,-0.005098691918452465,0.02253100873353394
HALLMARK_COMPLEMENT,0.058115853873045374,0.0014695136150207368,0.0059663584661383065,-0.04312534468815881,0.06309926513235835,-0.02231166748313683,-0.04561205273898806,0.0708877342586987,0.08118670763172763,0.05447831373506352
HALLMARK_DNA_REPAIR,0.06708866630222189,0.04830831844262143,-0.012727984500552287,-0.05204306777961246,0.07758567537508518,0.0031086373646278956,-0.05598205616327101,0.09152545806646133,-0.009245863575255156,0.07174771091070804
HALLMARK_E2F_TARGETS,0.05370148963068849,-0.007968302828556314,0.038167315802394346,-0.015099385417232221,0.0826011151974533,-0.0711336326597732,-0.10635704289971457,0.04259598852244322,0.02695550672444913,0.03030839732980971
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.020037560240390384,0.013242310811815627,-0.06486705168013361,-0.04973213052884929,-0.11320308516692469,-0.05346283561001512,-0.06715955819310909,0.027507822889746385,-0.007494537136123933,0.004196748238956204
