,UKF248,UKF269,UKF334,ZH1007inf,ZH1007nec,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.06630861828530497,0.07803253211617774,0.051555117107639034,0.0718064418193994,0.02985770321715071,0.03238315549802708,0.016193444649598373
HALLMARK_ALLOGRAFT_REJECTION,0.01732678949785493,0.001634057426548829,0.014877890704665924,0.08335122940082115,0.06697520837978602,0.041364479447258386,0.008877197012441591
HALLMARK_ANDROGEN_RESPONSE,0.08044010143793995,0.03566962172061742,0.056202681343539666,0.08823575100760037,0.04722069310533798,-0.006026160613926913,0.06571198787687424
HALLMARK_ANGIOGENESIS,-0.07687114622954758,0.003849849439898121,-0.03903233308488657,0.006510739576495231,0.09268930370077935,-0.002610833255160107,0.01282920767300073
HALLMARK_APICAL_JUNCTION,0.05925296932456253,0.03158044349901926,0.0265836715503988,0.05423151831411821,-0.012939255974405192,0.014304500716543374,0.05007422622461775
HALLMARK_APICAL_SURFACE,0.04342643908275883,-0.00877427908377022,0.026201772292425686,-0.012335750262357814,-0.009094853077395226,0.026117455566653538,0.007383160806377569
HALLMARK_APOPTOSIS,0.046656087817406725,-0.026371761654739912,0.004602332008809979,0.0747075188407779,-0.06697380656171648,0.06026835970210258,0.024433453847605494
HALLMARK_BILE_ACID_METABOLISM,0.013389609516812232,0.032206494274402274,-5.2358750088990624e-05,0.135981879974838,-0.011127513037854173,0.024175069921137122,0.05025985305693447
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.04691967558554804,-0.0013982628867216574,0.011650769850723417,0.13691805522325431,0.0011555257626089757,0.05403555218908021,0.023270108885547276
HALLMARK_COAGULATION,0.07077066127876819,-0.009447049425093468,0.020580425067476472,0.024003826088332757,0.03881475045042182,0.0062136486465471175,0.048541852759457896
HALLMARK_COMPLEMENT,-0.022358030628391954,0.026187784859586144,0.01509795130740868,0.09802945630968934,0.03295928509507512,0.054961332293857385,0.04783892048936271
HALLMARK_DNA_REPAIR,0.0728933537232394,0.06307200615577463,0.04031147885749383,0.10608453246625794,0.0029251903974455455,0.037404777126984756,0.03010852251432355
HALLMARK_E2F_TARGETS,0.082626432941011,0.039243112951729046,0.04846696114345509,0.013226382409992417,-0.018526570164789015,0.034555747065680445,0.07159788843978072
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.02433552759598385,0.017028334947422747,-0.02357888122190604,0.01776948984728849,0.05686292049944549,0.02465828128006627,0.03361533390943427
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.014220884291089003,0.07482899264563095,0.06725250624203175,0.03732838329299157,0.03974033053036991,0.016671529996839324,0.050562826215053994
HALLMARK_ESTROGEN_RESPONSE_LATE,0.08018985768452333,0.01592959093206309,-0.014178248441893285,0.06561351983263217,-0.0657905533128846,0.06777959633462424,0.006217179042297141
HALLMARK_FATTY_ACID_METABOLISM,0.0109775883754784,0.008440603227632354,0.07391503690711594,0.06476629976822848,0.09278396205991564,0.01854519439646999,-0.020566557774592934
HALLMARK_G2M_CHECKPOINT,0.06516601293571322,0.02499722254074762,0.0015605644731931554,0.004251964563785457,-0.007205321117798975,0.03723559217674264,0.02852389949293542
HALLMARK_GLYCOLYSIS,-0.031133790770772083,0.051678001632145816,-0.0003482761433111329,0.11519605317426578,-0.021986280920038032,0.02485424157524839,0.017342940643830334
HALLMARK_HEDGEHOG_SIGNALING,-0.007246321723450822,0.03270654886259701,0.020063298257903962,0.06695173965959828,0.03840670259404467,0.018235072502726272,-0.03333742476354988
HALLMARK_HEME_METABOLISM,0.02853273020421377,0.05074519514913486,0.04768244150232594,0.08094235823874388,-0.004855232523288625,0.031945224032255554,0.050017940864420976
HALLMARK_HYPOXIA,-0.11540525072180416,0.006862667565015366,-0.04813554411688072,0.11317257801612272,0.0534550057338845,0.018321941720122498,0.018270668922133304
HALLMARK_IL2_STAT5_SIGNALING,0.03313645758649737,0.012380427220649911,0.050169230482269976,0.07408881341186431,0.10295800121420076,0.0173659845286191,0.008530172564643196
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.005217143137716861,-0.004101895222660393,0.01953991854082572,0.08139142579137455,0.005092947604402718,0.027914436362527762,0.03621624260804593
HALLMARK_INFLAMMATORY_RESPONSE,0.04092674414548994,0.02945824735955204,0.03377533800588618,0.1011647676768592,0.008622392868704197,0.051427252411424415,0.07468155068242348
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.05694490835148537,0.026069972926984535,0.05859875929917922,0.020291896888877458,0.018235039525581625,0.00026848264876610937,0.03895705437989052
