,ZH1019T1,ZH8811Abulk
HALLMARK_ADIPOGENESIS,0.06869685126392229,0.12696982296567774
HALLMARK_ALLOGRAFT_REJECTION,0.04639153476477299,0.043751713490863854
HALLMARK_ANDROGEN_RESPONSE,0.03786940313966287,0.07536658624317062
HALLMARK_ANGIOGENESIS,0.04203163154807916,0.007415109154590551
HALLMARK_APICAL_JUNCTION,-0.0012517386593909486,0.08320283088856359
HALLMARK_APICAL_SURFACE,0.11998119581915433,0.0931969750340941
HALLMARK_APOPTOSIS,-0.0835429582914208,-0.05311970219710059
HALLMARK_BILE_ACID_METABOLISM,0.11703575469309041,0.09580939828533923
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.12542690204836562,0.10492115978541898
HALLMARK_COAGULATION,0.0992064877151735,0.0645803962648695
HALLMARK_COMPLEMENT,0.10304466533944534,0.05644762355162522
HALLMARK_DNA_REPAIR,0.10690030012022317,0.10895121327522235
HALLMARK_E2F_TARGETS,0.04360534540612767,0.003983285501653896
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.053565388295999626,-0.008263186790161537
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.08672144566176843,0.07439085509928887
HALLMARK_ESTROGEN_RESPONSE_LATE,0.004942339684608075,0.08792486518908763
HALLMARK_FATTY_ACID_METABOLISM,0.10726328048692278,0.02852670807124374
HALLMARK_G2M_CHECKPOINT,-0.034744621543789156,-0.002798186298727995
HALLMARK_GLYCOLYSIS,0.028884947202018136,0.029901722354435167
HALLMARK_HEDGEHOG_SIGNALING,-0.05552222064184103,0.007315639245772925
HALLMARK_HEME_METABOLISM,0.08740312723811353,0.1181694742441788
HALLMARK_HYPOXIA,-0.014908374592105948,0.020060885225480968
HALLMARK_IL2_STAT5_SIGNALING,0.10693772243236521,0.05535861965589326
HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.004787547955051247,-0.03126059462119531
HALLMARK_INFLAMMATORY_RESPONSE,0.0026889086436217443,0.07243696935908521
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.08716134623823905,0.07640939318425924
HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.09248427170215899,0.019855731118515275
HALLMARK_KRAS_SIGNALING_DN,0.11146401841892666,0.0772930589351184
HALLMARK_KRAS_SIGNALING_UP,0.04860006891492929,0.08016691577331297
HALLMARK_MITOTIC_SPINDLE,0.07099973807100456,0.07364428898931805
HALLMARK_MTORC1_SIGNALING,0.02884106339458053,-0.007631917849019032
HALLMARK_MYC_TARGETS_V1,0.05527135895546132,0.12400732177555616
HALLMARK_MYC_TARGETS_V2,-0.025383335648189852,-0.003970074331892724
HALLMARK_MYOGENESIS,0.15014496312929743,0.10702471478356794
HALLMARK_NOTCH_SIGNALING,0.07451293831046812,0.10452541808583565
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.06687604389552687,0.12358807826323795
HALLMARK_P53_PATHWAY,0.0128171110219603,0.1023603514272038
HALLMARK_PANCREAS_BETA_CELLS,-0.0007767755138020975,0.09130552630385011
HALLMARK_PEROXISOME,0.018581926165109137,0.10255539892910288
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.07047927265548531,0.09671641449065453
HALLMARK_PROTEIN_SECRETION,0.054010527254889605,0.09939456851440231
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.009838794104344727,0.09266989218813626
HALLMARK_SPERMATOGENESIS,0.11068519202898867,0.07031986607500877
HALLMARK_TGF_BETA_SIGNALING,0.018292937950082893,0.09946871859115977
HALLMARK_TNFA_SIGNALING_VIA_NFKB,-0.09570861962802697,0.05261913800956973
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.028458562640563494,0.10613658052352513
HALLMARK_UV_RESPONSE_DN,0.0999801992694473,0.09293508909228888
HALLMARK_UV_RESPONSE_UP,0.09617954279472166,0.07429160878792848
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.0010415238554633058,0.10163882479248139
HALLMARK_XENOBIOTIC_METABOLISM,0.12162025355601407,0.14486204849338732
