,MGH258,UKF248,UKF259,UKF269,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH916T1
HALLMARK_ADIPOGENESIS,0.05351742940303003,0.03251201455744233,0.03530818272329682,0.10156251680786817,-0.013587249973528021,0.18656420439679264,0.05095214378271489,0.04747949572807318,0.07177117125085088,0.16433296735452493
HALLMARK_ALLOGRAFT_REJECTION,0.06193444180795935,0.04071799153976032,0.0036958485887481447,0.11061394469622428,0.020125785742679456,0.11720059372767752,0.04545927235494584,-0.001997405446771291,-0.010195906190050416,0.15365656316180015
HALLMARK_ANDROGEN_RESPONSE,0.07295824265284498,0.08422802486864076,0.0961932963668736,0.1069014178356864,0.2656005921947282,0.13386076381211096,0.006187828708490556,0.022550523656444277,0.05950080773917753,0.12414263540255578
HALLMARK_ANGIOGENESIS,0.07747743884589496,-0.02045252029902142,0.05700515779787612,0.12255095341677014,0.22128244040342004,0.09414098072816492,0.08801925159340701,0.0037207100149608363,-0.018541204465660505,-0.0110139327912914
HALLMARK_APICAL_JUNCTION,0.021058577172960193,0.08335250180212685,0.03800510824329287,0.14677604741423467,-0.027557214148898092,0.19652995208268845,0.047467521245414195,0.03264880476263593,0.06724843134746186,0.1834271616959941
HALLMARK_APICAL_SURFACE,0.0019502395002811434,0.048800585753774564,-0.031440377495714676,-0.08117720757085893,0.05960574413672411,0.10292579404373987,-0.013817401515927741,0.051935902088377284,0.11214907797454608,0.18212378442582014
HALLMARK_APOPTOSIS,-0.03405384903770723,-0.022579457479607497,0.0212909778179131,0.020397950850117256,-0.09523594940428755,0.08613227848071851,0.036343895926902216,-0.008650164628217993,-0.05119806329221644,0.09921740778931497
HALLMARK_BILE_ACID_METABOLISM,0.018145543530276344,0.015029422194065169,-0.01788824372170343,0.0968271722621154,-0.03473189970395023,0.1790719892410091,0.06463579507136753,0.06577567377735517,0.08420039674871209,0.06616722205344225
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.03333764600800851,0.02225406732169034,0.04736118052406097,0.04311093874352017,-0.011053474327693465,0.15302425900422742,-8.4763809205245e-05,0.11774073290501186,0.10008042834104008,0.08255038143159328
HALLMARK_COAGULATION,0.04450052991454059,0.027424899461249652,-0.0013930463656307472,0.07615861466616518,0.10891572591625918,0.0778808058726106,-0.07556543488068791,-0.03665178209811227,0.05064959984225055,0.1938440851738085
