,ZH8811Bbulk,ZH916bulk
HALLMARK_ADIPOGENESIS,-0.05102273243306861,-0.000988255912350757
HALLMARK_ALLOGRAFT_REJECTION,-0.028187919384587628,0.008845952945525795
HALLMARK_ANDROGEN_RESPONSE,-0.01222818759006724,0.03771485559036172
HALLMARK_ANGIOGENESIS,0.014586998240035147,0.01345655009789966
HALLMARK_APICAL_JUNCTION,-0.054139812958980786,-0.013768663301904275
HALLMARK_APICAL_SURFACE,-0.04789135019090581,-0.04397916699596621
HALLMARK_APOPTOSIS,-0.014341538658380894,-0.04942414209160206
HALLMARK_BILE_ACID_METABOLISM,-0.0326585544120916,-0.03954523142270884
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.014672768168311588,-0.01900452535313392
HALLMARK_COAGULATION,-0.05662717390836537,-0.04490714922926253
HALLMARK_COMPLEMENT,-0.0074697530013392325,-0.029326514460569542
HALLMARK_DNA_REPAIR,-0.037059071761719166,0.008745172628795154
HALLMARK_E2F_TARGETS,-0.054845668898181044,-0.015034575401864158
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.009765569307082883,0.010142247771073122
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.01261882592285271,0.005877492796574664
HALLMARK_ESTROGEN_RESPONSE_LATE,0.009022434221443353,-0.010047591253540818
HALLMARK_FATTY_ACID_METABOLISM,0.06983265278208463,-0.03884918705380068
HALLMARK_G2M_CHECKPOINT,-0.03587372115053403,0.07122036985801075
HALLMARK_GLYCOLYSIS,-0.012682326717382994,0.01119684896240129
HALLMARK_HEDGEHOG_SIGNALING,-0.03810386039340338,0.026728240583121652
HALLMARK_HEME_METABOLISM,-0.04435768859877843,-0.0024251591017253123
HALLMARK_HYPOXIA,0.07099249004162124,0.020490548060618424
HALLMARK_IL2_STAT5_SIGNALING,-0.010186616677808477,-0.015703390980348494
HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.05292284590296652,-0.022686618279457893
HALLMARK_INFLAMMATORY_RESPONSE,-0.02370040635014585,0.0365335777470658
HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.048499530949708256,0.013171726125585077
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.0011451465307320784,-0.014621225824302106
HALLMARK_KRAS_SIGNALING_DN,-0.0444230500476939,0.01945290064445981
HALLMARK_KRAS_SIGNALING_UP,-0.06198032428362906,0.004589038851651856
HALLMARK_MITOTIC_SPINDLE,-0.048805298487006966,0.019153644946174452
HALLMARK_MTORC1_SIGNALING,0.009719096986610306,0.03474745316356912
HALLMARK_MYC_TARGETS_V1,-0.02270391766395161,0.04153760907978828
HALLMARK_MYC_TARGETS_V2,-0.048635388079264784,-0.01882362739072275
HALLMARK_MYOGENESIS,-0.0600231837752866,-0.014474938728782208
HALLMARK_NOTCH_SIGNALING,-0.048667764199552946,-0.06910030453141981
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.02781687113682803,-0.007305642991671111
HALLMARK_P53_PATHWAY,0.02323773096622272,0.07271271691980417
HALLMARK_PANCREAS_BETA_CELLS,-0.06720473352312888,0.04459745367590599
HALLMARK_PEROXISOME,-0.07000600191400615,0.0068495971541981775
HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.028756464902048855,0.005030856265594871
HALLMARK_PROTEIN_SECRETION,-0.027028573895638036,0.06628245852318257
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.00912903834093221,0.08779678547669661
HALLMARK_SPERMATOGENESIS,-0.03774090434075095,0.0224531831200661
HALLMARK_TGF_BETA_SIGNALING,-0.10143711529056611,-0.03261288468042008
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.009638600747390098,-0.0017204688844200313
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.03980288373237068,0.07827957732339616
HALLMARK_UV_RESPONSE_DN,-6.92001954379607e-05,-0.007174120049086098
HALLMARK_UV_RESPONSE_UP,-0.013408444338754077,0.020615840058124106
HALLMARK_WNT_BETA_CATENIN_SIGNALING,-0.04852342953226511,0.06825037669876233
HALLMARK_XENOBIOTIC_METABOLISM,-0.02513816738993897,0.035343313386417816
