,UKF243,UKF255,UKF259,UKF260,UKF275,UKF296,UKF304,UKF313,ZH1019T1,ZH881T1,ZH916T1
HALLMARK_ADIPOGENESIS,-0.09790709249675231,-0.1388817139307104,-0.06725615825533575,-0.08709494343696217,0.04811141709194052,0.005862066553450996,0.01611787072829364,-0.04300619641536145,0.058459362786839206,0.03384726383999809,0.033086201752376004
HALLMARK_ALLOGRAFT_REJECTION,-0.010724960360818945,-0.17942362055962421,-0.06037487234782874,-0.03602773878862503,0.050113074678235864,-0.019080849802007558,-0.03820379623671507,-0.06991828288987953,0.024451170008723985,0.0615885293922392,0.007295284932106181
HALLMARK_ANDROGEN_RESPONSE,0.006086785634590323,0.0461861157739132,0.0273908706758391,-0.02981629203528323,0.04469439538613119,0.027819071480465935,-0.025633704339744844,-0.029854320681891165,0.05855034657474464,0.055432015947268744,0.08376860827783714
HALLMARK_ANGIOGENESIS,-0.039427303241598495,-0.19216183169679105,0.07160177827491823,0.021247681557225295,0.009949924378798602,0.015244523117191728,-0.08837937171146643,0.026278957535072273,0.022077641599007568,0.009875462986836586,0.033928474661533974
HALLMARK_APICAL_JUNCTION,-0.08632026097774853,-0.16165438380488492,-0.07806845343028218,-0.0787985562594097,0.06586381528387934,0.02952776074888896,0.06448090279393166,-0.02209342405192894,0.06573593552522017,0.03420000756844507,0.036172896355903456
HALLMARK_APICAL_SURFACE,-0.05585961723923534,-0.15806993035578995,-0.05889969696927223,-0.06322441210700572,0.03048535244210588,0.06058371196176635,-0.03563237586498667,-0.025323080937342708,-0.03670688260747219,-0.0049687586474495855,0.057283942940541364
HALLMARK_APOPTOSIS,-0.037254167110907364,0.13661890990065725,0.05026130105998114,0.0785370872273153,0.01874783210049978,-0.022032591958574085,0.022317938795586627,-0.06541872465813578,-0.016904740188491436,0.04449599731033365,0.00876254880323804
HALLMARK_BILE_ACID_METABOLISM,-0.04404614752775839,-0.2071851822461951,-0.12212984312539021,-0.08185332747977268,0.09973813325376041,0.0377347873357502,-0.028827709804530453,-0.026338886116795076,-0.026260444219333535,-0.010482555398200049,0.010464168338597315
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.07866845599359631,-0.09508887320551836,-0.061128021969610244,-0.07718146794387647,0.019731035057329552,0.01573206462688903,-0.06292214802564752,-0.06753504563498235,0.07067151741780012,-0.053049280520789874,0.03544546499573081
HALLMARK_COAGULATION,-0.10068743199720515,-0.12172407244590258,-0.1018838695260808,0.08180248241670839,0.10276002524316191,-0.004098063601319237,-0.06622938289330975,0.037443049880363226,0.10216570138954287,0.032309285308152164,0.015814951684931907
