,UKF248,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH916T1
HALLMARK_ADIPOGENESIS,0.14984749513659976,0.19986672039584566,0.04790298299990907,0.06928129350445038,0.15657517800658657,0.15993014804141226
HALLMARK_ALLOGRAFT_REJECTION,0.13023823877295748,0.16662740982647548,-0.032483649989935616,0.08875287703059188,0.167369786132579,0.2235897429043443
HALLMARK_ANDROGEN_RESPONSE,0.16683274728876202,0.19429699815193202,0.0010518061132981226,0.06223666787507858,0.06964877629409792,0.24186748201329422
HALLMARK_ANGIOGENESIS,0.007639505331573462,0.13638622787929908,-0.048789816637769504,-0.0899308768603473,-0.06710690000870236,0.11194514212626737
HALLMARK_APICAL_JUNCTION,0.2596747385951594,0.19541542912493065,0.12186089066796578,0.17587565738162914,0.1876490020079785,0.3146754620959721
HALLMARK_APICAL_SURFACE,0.1417901419745563,0.11862881291881329,0.13698481141910038,-0.07150467450589769,0.16549070180109668,0.2909913305414156
HALLMARK_APOPTOSIS,0.10336339916975693,0.054042497427779036,0.08457230222193389,0.0906984644339672,-0.018067254348962378,-0.0023341609776697174
HALLMARK_BILE_ACID_METABOLISM,0.07057818679943742,0.04227185700093631,0.1041419191128974,0.09309804344139917,0.09331076429670694,-0.0025025322486931655
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.03442964695326659,0.07241238865491474,0.07284523875086804,0.05393239830339573,0.07355499968285702,0.014571300611873807
HALLMARK_COAGULATION,0.2377030691175399,0.15409823801802847,0.1570011193397946,0.1207531978650332,0.159112034919294,0.2946827102999928
HALLMARK_COMPLEMENT,0.10380687658470558,0.1970752561017873,-0.05609519484821012,0.13557566246157707,0.15695527531342265,0.0947506765742132
HALLMARK_DNA_REPAIR,0.1350027165803092,0.174180461056498,0.1177994197549393,0.04420188781431867,0.19846911503104886,0.13792962882799192
HALLMARK_E2F_TARGETS,0.10573149846563198,0.04695410970898169,0.08739953208862189,-0.02953289831262736,0.14668221801834058,0.08219206062216021
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.21477019700039476,0.21929104631879215,0.21616984315152404,0.12461155383125018,0.18666664705258834,0.29247949219748953
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.1496269161856989,0.16711146614896968,0.04139526734255902,0.038826823484893365,0.0774783660738817,0.10008722899614625
HALLMARK_ESTROGEN_RESPONSE_LATE,0.08111768967201435,0.05924503308454875,-0.0444250037366217,-0.022035921314227748,0.0856407939221071,-0.001613251916339431
HALLMARK_FATTY_ACID_METABOLISM,0.005751045402371324,0.1646369380886678,-0.029478777134139236,0.015152802275366884,0.04682093201503197,0.014956179836099035
HALLMARK_G2M_CHECKPOINT,0.07560068989554751,0.0741340375634533,0.03385764185663919,0.020906152878294133,0.14855654568372315,0.10873121142088792
