,UKF259,UKF275,UKF296,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.008936260318353744,0.006470854587904995,0.05446725919881351,-0.033058748968465904,0.10133297057634341,0.0455007673145264,0.10144125156444309,0.05551072038015683
HALLMARK_ALLOGRAFT_REJECTION,-0.015803726275396484,0.1274618367881034,0.03266267643256915,-0.0017356219870900465,0.05620528815321383,-0.016486699394804974,0.015396423026822134,-0.04857002118879068
HALLMARK_ANDROGEN_RESPONSE,-0.0508229965981052,0.0688561862245877,0.038313511817410544,-0.021701557664913315,0.09561256048611334,0.12078561418629793,0.10820253212192804,0.037796459714265644
HALLMARK_ANGIOGENESIS,-0.02217676554358506,-0.012543198206374739,0.1307024532113582,0.06270558104170615,-0.012266551194342794,0.0001496688552077553,0.0029564278694102462,-0.027892914551122198
HALLMARK_APICAL_JUNCTION,0.039966542306470565,-0.006721302546575972,0.06620952330085622,-0.029431776896341036,0.1124779165639989,0.06043040372337201,0.10688204091922922,0.0429905979563052
HALLMARK_APICAL_SURFACE,0.028081981830160804,0.09202460465721106,-0.04068737974202526,-0.03611682691505094,0.13528073503912375,0.054416150311709065,0.12229588406349498,-0.04327672553466864
HALLMARK_APOPTOSIS,0.00012326554107653571,0.004969292605407633,0.01529874554347009,-0.10826167878700775,0.06667786668982563,0.06237916993296551,0.022200822204342403,-0.02309474205979598
HALLMARK_BILE_ACID_METABOLISM,-0.004720968895266102,0.0018791396466211695,0.03355009899268752,-0.09192506685371869,0.05465735764366644,0.09123543222032773,0.05890557709993572,0.05438494673277215
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.046455980706368964,-0.02260882514954753,0.07009412965811603,0.056125908761668626,0.10718232036760382,0.06758566798774367,0.1423694571900558,0.07290421706841742
HALLMARK_COAGULATION,-0.00586863731948019,0.0009557203961969364,0.10222432563070843,-0.034966464236498795,0.08561157966807505,0.07283179282612236,0.08415431934327162,0.05712270682371424
