,UKF248,UKF269,UKF313,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH916bulk
HALLMARK_ADIPOGENESIS,0.06085158291390731,0.07764034827265526,0.05003155959841072,0.013803533755174641,-0.011459197304119376,0.08929561879933275,0.023457916687203973
HALLMARK_ALLOGRAFT_REJECTION,0.05046049692966141,0.08150788535826163,0.08503584857111122,0.011339816960351459,0.0939283057811424,0.0593163841868676,0.02471616213965224
HALLMARK_ANDROGEN_RESPONSE,0.07648636933547517,0.029899046127161728,0.02775146619359224,0.02469061106345055,-0.024657212309206332,0.10088026856051886,-0.025504852948427394
HALLMARK_ANGIOGENESIS,0.05172561262347494,0.13766626805209234,-0.054425901260839245,-0.0760654452729309,0.011585605317609528,-0.05812545736499453,0.04577169528137795
HALLMARK_APICAL_JUNCTION,0.0391283887437795,0.07896517034522282,0.06068474710505315,-0.011677732544231713,-0.003690053891021808,0.09716509346350244,0.04533647526150741
HALLMARK_APICAL_SURFACE,-0.002536306992281877,0.038288576110873336,0.06792606259056552,-0.14664120176895243,-0.07023320174509926,0.12556588095684657,0.0005133620803184211
HALLMARK_APOPTOSIS,0.06027570527864722,0.01643862400872595,-0.02953147979873008,-0.027675554242618527,-0.04954231907763892,0.010518449258873621,0.022416449946175566
HALLMARK_BILE_ACID_METABOLISM,-0.008097166864188007,0.08057480763666891,0.0069582049359697765,-0.07329652943307848,0.025238766625587043,0.058864093717018305,-0.008651886272634506
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.019320317960954854,-0.02702281676034557,0.04433202853168173,-0.07474787237272844,-0.007662992684871971,0.10072116998098099,-0.020848905582737134
HALLMARK_COAGULATION,0.047835036433708546,0.046937480003594954,0.07319808586543013,0.04632290803227325,0.0026110193757065935,0.09411069842278497,-0.00037322776194109
HALLMARK_COMPLEMENT,0.04976177021535031,0.10681780938379501,0.03196470983708241,0.019346024962284523,-0.004112160816989807,0.09209028244767624,-0.028644336251776086
HALLMARK_DNA_REPAIR,0.05462348815991581,0.07659612150888452,0.05820581699637468,-0.06887043603045902,-0.01032341898353631,0.10393753136560105,0.01820141799274457
HALLMARK_E2F_TARGETS,0.021709220175618524,0.0642448774751747,0.07293102359699573,-0.04216531989636846,-0.0409593413569039,0.11186280080126595,0.032697904762040944
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.03098391562110304,0.08137045746680957,0.005667397216860801,0.016779756961627496,-0.056249052993254466,0.027740835426077106,0.040059980180039104
