,ZH8811Abulk,ZH881T1
HALLMARK_ADIPOGENESIS,0.012631356413530376,0.10563294110159871
HALLMARK_ALLOGRAFT_REJECTION,-0.007915410482988668,-0.01184332707540444
HALLMARK_ANDROGEN_RESPONSE,-0.010066394318452363,0.013680669823382055
HALLMARK_ANGIOGENESIS,-0.05622589766001564,-0.022627103034649855
HALLMARK_APICAL_JUNCTION,0.0014877499382634576,0.075277794711597
HALLMARK_APICAL_SURFACE,-0.025609634009982347,0.039416637534970496
HALLMARK_APOPTOSIS,-0.02677183731971841,0.00857054824471738
HALLMARK_BILE_ACID_METABOLISM,-0.007987874025369905,0.0438748499220545
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.00043674279387495525,0.08893986575026476
HALLMARK_COAGULATION,-0.01676542118849496,0.013121266242170504
HALLMARK_COMPLEMENT,0.020110070805967602,0.019557335230331537
HALLMARK_DNA_REPAIR,-0.042725632584439587,0.05638369670914402
HALLMARK_E2F_TARGETS,-0.05948193772897847,0.03121168232982145
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.12178747611071129,0.0051142881491042
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.01477096242979933,0.08584554257015896
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.012444213972248222,-0.019136644414997534
HALLMARK_FATTY_ACID_METABOLISM,-0.052743615572119616,0.037479298479767845
HALLMARK_G2M_CHECKPOINT,-0.027664451254398346,0.05185954543987517
HALLMARK_GLYCOLYSIS,-0.06459098998146001,0.020202107855877185
HALLMARK_HEDGEHOG_SIGNALING,0.024464864383723146,0.04689352467219493
HALLMARK_HEME_METABOLISM,0.025756909604727166,0.05468963722795105
HALLMARK_HYPOXIA,-0.05572277832359058,-0.0004741991523762322
HALLMARK_IL2_STAT5_SIGNALING,-0.011461538238094,0.000822070434341398
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.008531465127570192,0.04391693200682898
HALLMARK_INFLAMMATORY_RESPONSE,-0.05874652940520921,0.02591412318096603
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.005726447949638206,0.03865454800841719
HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.10664898521248248,-0.011156174950527708
HALLMARK_KRAS_SIGNALING_DN,0.0009246501906416877,0.05491314910887283
HALLMARK_KRAS_SIGNALING_UP,0.03271021383161716,0.06697980684981805
HALLMARK_MITOTIC_SPINDLE,-0.02094298232542413,0.07613066069412054
HALLMARK_MTORC1_SIGNALING,-0.061061217285455174,0.028005843907547054
HALLMARK_MYC_TARGETS_V1,-0.008848909841452068,0.04121516007503167
HALLMARK_MYC_TARGETS_V2,-0.007292864076438913,0.06927128225920386
HALLMARK_MYOGENESIS,-0.002564090299705782,0.062397572592629305
HALLMARK_NOTCH_SIGNALING,-0.010426341280698354,0.021162495425569673
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.011909040588119108,0.04444566592229861
HALLMARK_P53_PATHWAY,-0.009404096711690159,0.040603212333270695
HALLMARK_PANCREAS_BETA_CELLS,-0.005568564028552704,0.022180950766623336
HALLMARK_PEROXISOME,0.022083390750854383,-0.013630399846698036
HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.007286685893928552,0.028434664515202795
HALLMARK_PROTEIN_SECRETION,-0.023800703091956015,0.04082430201471053
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-0.028599758698672016,-0.028370452020769786
HALLMARK_SPERMATOGENESIS,0.013366428918163904,0.05570116073485052
HALLMARK_TGF_BETA_SIGNALING,0.007253960207953045,0.051704425073737605
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.02708402902168903,-0.01641863226508601
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.02098167714093808,0.053057615656619074
HALLMARK_UV_RESPONSE_DN,-0.0032594538595147977,0.04093345039033792
HALLMARK_UV_RESPONSE_UP,-0.0385626428844463,0.029516282408138476
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.036495862917307755,0.09346955861355112
HALLMARK_XENOBIOTIC_METABOLISM,-0.03359441004822593,0.03008487540748739
