,UKF259,UKF275,ZH1007nec,ZH8811Abulk
HALLMARK_ADIPOGENESIS,-0.03827223985207646,-0.16139904750035783,-0.03251221337962398,-0.07566807376383818
HALLMARK_ALLOGRAFT_REJECTION,-0.11459786479089423,-0.11560313840539625,-0.008368493350558615,-0.06084772376860491
HALLMARK_ANDROGEN_RESPONSE,0.06206054398610259,-0.010507967186414,-0.08744221323997602,-0.07686387449173487
HALLMARK_ANGIOGENESIS,0.08082182156193857,0.04748543144644156,0.06792680054425153,0.026980993888333457
HALLMARK_APICAL_JUNCTION,-0.04771259674883749,-0.05452291674979339,-0.04925550934974037,-0.05946851807330968
HALLMARK_APICAL_SURFACE,-0.11004381665149905,-0.1476647554806019,-0.11939141606591615,-0.04197745027292811
HALLMARK_APOPTOSIS,0.041703528276980976,0.1040051459874263,0.05689568563065747,0.006371296889316341
HALLMARK_BILE_ACID_METABOLISM,-0.06420311447965393,-0.12369736893480078,-0.09195710045851802,-0.06911216966321926
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.05110713743588143,0.09778472893438826,-0.0019438417604856811,-0.028105411118442464
HALLMARK_COAGULATION,-0.10964759774615719,-0.12543535961853747,-0.10173848490602537,-0.09833710817727237
HALLMARK_COMPLEMENT,-0.07839543402595192,0.023532008157574644,0.0835603254428527,0.03255019833002166
HALLMARK_DNA_REPAIR,0.07716040169616561,-0.082788733064567,-0.056681133802889486,-0.044790047753814656
HALLMARK_E2F_TARGETS,-0.038563293332572454,-0.09016959083896645,-0.1261759894433133,-0.01598745007573497
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.10737694644056782,0.1271335602884466,0.01948168378383652,0.07343419394106769
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.012115936682887279,0.074624304130268,0.038400650468361254,0.016867030866745143
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.09644286919189242,-0.13597894650338407,-0.09116669944828883,-0.050246162537502935
HALLMARK_FATTY_ACID_METABOLISM,0.06690595622870509,0.08848725894909891,0.12457580109340109,0.11434972238824559
HALLMARK_G2M_CHECKPOINT,-0.022277481681109847,-0.01927464933035467,-0.051171894785540746,-0.024500124226763377
HALLMARK_GLYCOLYSIS,0.08916952129827312,-0.046460896035366135,-0.010910505166679862,0.017204037919912957
