,UKF259,UKF260,UKF275,UKF296,ZH1019T1,ZH8812bulk,ZH881T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.011761901321765198,0.011260444656340416,0.044883880079120315,0.08672779259332988,-0.0386255062209787,-0.0012646071117579176,0.002458588195266408,0.023999038027374107
HALLMARK_ALLOGRAFT_REJECTION,0.041291091823550986,-0.06838192637290973,0.06997787005300744,0.0050554103409556125,0.032918615581274714,-0.043612108515536915,-0.050639084094061045,-0.07351520404996276
HALLMARK_ANDROGEN_RESPONSE,0.011022583051832447,0.007592969033967182,0.04913866041721869,0.07673638722637313,-0.020058616886638583,0.020857932397984714,0.053752168183968635,0.0670706499074701
HALLMARK_ANGIOGENESIS,-0.06813920068680779,-0.016587535517209578,-0.018189117039467753,0.04941243122299551,0.02216961217007945,-0.01870897773655947,0.01770860288446496,0.11101656894200178
HALLMARK_APICAL_JUNCTION,-0.011755681279547455,0.051943497846322885,-0.013849476554952805,0.03365342302843048,-0.02056062841127108,0.00846152057498179,0.02242128381818123,0.05344632206594267
HALLMARK_APICAL_SURFACE,-0.020419912532406,0.05392124488763873,-0.006666747085454023,-0.02063071957970988,0.03823233162338966,0.010499022936006944,0.07294342381505989,0.08893189511702611
HALLMARK_APOPTOSIS,-0.0014037182798569993,-0.007111055400518478,-0.04834855960331882,0.020598224570908066,-0.04098336475109856,-0.02543048997616931,-0.03691307844543088,-0.02514317045759906
HALLMARK_BILE_ACID_METABOLISM,0.01851902057597102,0.01588647076258551,-0.0379613809375913,0.033980125151374906,0.031083270192529096,0.055211906048819516,0.03978941082307205,0.05546764828847723
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.01782090457150899,0.050053411754239496,-0.05059190953114301,0.05433167821456856,-0.04241312717365653,0.011866020171279766,-0.006337465264982919,0.06815437339672958
HALLMARK_COAGULATION,0.03880549710944794,0.053849589554297514,0.08296918095554606,0.09610553951506644,-0.047067857198125646,0.04244973158770892,0.0008683954803465914,0.06211087137217246
HALLMARK_COMPLEMENT,0.04084200542896739,0.0007662464829771258,-0.03095456943321922,0.06739136693595639,0.08887134415383376,0.019393611925249268,-0.013431239357097304,0.06803312891806851
HALLMARK_DNA_REPAIR,0.008256615891001986,0.03701590431502789,0.06213522514777679,0.09864173439412982,0.0018628854464080625,0.0040014357117494756,0.06431800641294584,0.07081792393261478
HALLMARK_E2F_TARGETS,0.06759717963990283,0.025484545987629004,0.012229060836153487,0.04999841245574261,-8.212153684582616e-05,0.04240031985232404,0.06092620346857683,0.09753281894294519
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.02895963020570795,-0.006221105599790373,-0.03431914273293046,0.10165290265679332,0.03348487445491082,0.017181753025049918,0.012979766481562646,0.06119879618722873
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.0502895739634294,0.057858015466846956,0.058248710482301534,0.06315049937981053,0.007974994664350135,0.06696783020737986,-0.008670128026527776,0.06027237882021782
