,UKF304,UKF334,ZH8812bulk,ZH916inf
HALLMARK_ADIPOGENESIS,-0.027895099297976452,-0.024618871076988215,-0.05688257624016136,0.10505483933080505
HALLMARK_ALLOGRAFT_REJECTION,0.0822728845632941,-0.018424836905661587,-0.044252799082915316,0.048720187064674264
HALLMARK_ANDROGEN_RESPONSE,0.040996931663571,0.011256034786186695,0.021583370712598433,0.05471236010572565
HALLMARK_ANGIOGENESIS,0.02387606558489921,-0.006636566032366787,-0.03632552680032836,-0.13601272748792018
HALLMARK_APICAL_JUNCTION,0.006476955195208343,0.07952539653172445,-0.07924813187933293,0.14778113771254767
HALLMARK_APICAL_SURFACE,0.1066933347336739,0.014813256309838327,0.031247032004942433,0.08295732490935803
HALLMARK_APOPTOSIS,0.061530137474171805,-0.03509510738964903,-0.011249443775908481,0.0069131672054767845
HALLMARK_BILE_ACID_METABOLISM,0.010753747531606232,0.09068502822319723,0.05191912806594477,0.009873918553852492
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.023024525933155786,0.0929094601891308,0.03978241545564954,0.08496385034510742
HALLMARK_COAGULATION,0.03476743854859697,0.05076439237202151,-0.05523934026257966,-0.035805305029058695
HALLMARK_COMPLEMENT,0.06688159779036666,-0.043070512862821486,-0.013004450536986603,0.049188980332965405
HALLMARK_DNA_REPAIR,0.0010716653926652693,0.010882857639471208,0.004721867336032997,0.15372618935675122
HALLMARK_E2F_TARGETS,-0.04308679171915887,0.043183648498235964,-0.06991627659431274,0.010841799095690077
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.040031076618800364,-0.013433229800045708,-0.08640195849647281,0.024065520171693364
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.023798471329776475,0.005158765302171723,-0.014318533536807738,0.12702121290715931
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.0179312926804353,-0.0180937330433171,0.03474556014765276,-0.05922797653841849
HALLMARK_FATTY_ACID_METABOLISM,0.03377259048592142,-0.01130147213579504,0.0351669906799968,0.08197296950508137
HALLMARK_G2M_CHECKPOINT,0.013797374590924618,0.060093044556382376,0.015532266857008334,0.03178602614251518
HALLMARK_GLYCOLYSIS,-0.0411308644162068,-0.02476410902863778,-0.0030498957458468244,0.0728892803016586
HALLMARK_HEDGEHOG_SIGNALING,0.003646198767113812,-0.03602150762505583,-3.7630021658219154e-05,0.14404681989172985
HALLMARK_HEME_METABOLISM,0.04375224866124996,0.035428930511933736,-0.011892465444154598,0.01460608189455329
HALLMARK_HYPOXIA,0.02224820177458372,-0.0008391257861878308,-0.04424898022749553,0.11856826886513414
HALLMARK_IL2_STAT5_SIGNALING,0.01494227431767206,0.03397191508571678,0.041685490966103265,0.03523700453171332
