,UKF251,UKF259,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1
HALLMARK_ADIPOGENESIS,0.11011990308720895,0.044155552875101776,0.027904391051010613,0.09763748734595142,0.0825868068974254,0.1243093409034551,0.006983374976608243
HALLMARK_ALLOGRAFT_REJECTION,-0.10895449454415562,-0.018258332238193894,0.007080279191811225,0.02236948920876351,0.02739499419116243,0.06014325919897444,0.044664550011341196
HALLMARK_ANDROGEN_RESPONSE,-0.10028753411460992,-0.011201701744871485,0.0332547878940962,0.041422892762196996,0.09008522717431709,0.08562904020781233,0.024954604511920827
HALLMARK_ANGIOGENESIS,0.12319098561444418,-0.04931737583771871,0.06528796892255184,-0.19827807574267384,-0.03148971116845123,-0.07592224342867458,0.07094476319772632
HALLMARK_APICAL_JUNCTION,0.06806146382886337,0.018107989847700828,0.043162710968050085,0.02554493834244092,0.099324253058398,0.11678128067160862,0.0383084622208433
HALLMARK_APICAL_SURFACE,0.016186353407134955,0.020024086055135424,0.04708635502081521,0.04643414969190911,0.08032191440268917,0.061880298677660685,0.03428476475328916
HALLMARK_APOPTOSIS,0.04438531502191198,-0.03293606011116382,-0.017920523884565553,-0.02641897053071595,-0.008209702364599813,-0.03218238986161366,-0.0057048359034603995
HALLMARK_BILE_ACID_METABOLISM,0.0007869018283279139,0.04457127940582606,0.08976009699907812,0.11614225658964634,0.032632683442770524,0.10590565706907397,0.021404176861484835
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.07562687619867575,0.03393555870898348,0.07725119688540609,0.05940774225161822,0.09690158887124592,0.09470853825563709,0.007105874162604966
HALLMARK_COAGULATION,-0.02847420506944219,0.005795755382189663,0.013497453239688123,-0.01930264103485902,0.08865797570149143,0.04771920463035824,-0.034765311528083966
HALLMARK_COMPLEMENT,-0.015901153247897176,0.06125385134306073,0.01319979466982975,-0.007789015545213035,0.10100769490336504,0.06026351843930882,0.05882824354711844
HALLMARK_DNA_REPAIR,0.07328664486772092,-0.024797504445447125,0.07309446582283036,0.0986296987625007,0.08826225156448636,0.12623984182587705,0.028076780964022247
