,UKF248,UKF259,UKF269,UKF275,UKF334,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
HALLMARK_ADIPOGENESIS,-0.01252323135548219,-0.018471670049414954,0.08993335832331602,0.04357306752551694,0.07582609497224235,0.10480919250842578,0.03507702929826233,0.07176681013801145,0.05087571230715454,0.004912185018649688
HALLMARK_ALLOGRAFT_REJECTION,0.009557339747440335,-0.00012390984997588287,0.1141874718790656,0.015047602135360922,0.040449787975673376,0.0170491122920156,-0.0016706766810169456,0.0896292562558585,0.06036220265505106,0.008709415534466502
HALLMARK_ANDROGEN_RESPONSE,0.03389161893103095,-0.003276531333534682,0.1169784138545818,0.024958817380294922,0.04585637031966994,0.05460227202518252,0.06141964705926429,0.09173958420625657,0.03447084404616056,0.025103297944143222
HALLMARK_ANGIOGENESIS,-0.02745343532818213,-0.012780181299430607,0.15384955451586071,0.012042108149714414,0.015482134001733797,-0.08598847741223951,-0.03265343739796117,0.05985516442008438,0.052070179933877726,-0.012009015258087412
HALLMARK_APICAL_JUNCTION,0.022516693514608607,-0.014679223043398268,0.13559108316461824,0.02641634084038161,0.01851039431487184,0.15472411597638036,0.057742849965884926,0.07859510969465779,0.05520832044905369,0.08528086037309324
HALLMARK_APICAL_SURFACE,0.028384325594278625,0.003362090909347989,-0.016927183046930108,-0.025957542730534754,-0.007245167892376418,0.17643453502544448,0.036501621367004904,0.07689543239129255,-0.02496733292163716,-0.0014484791289232114
HALLMARK_APOPTOSIS,0.0031923288145265637,-0.055214546409459296,0.04242307734207584,-0.004333893777873131,0.01491071545438926,-0.007424350204885908,0.03820298075987501,-0.01576322140846803,0.028149357675592318,-0.016162457411046122
HALLMARK_BILE_ACID_METABOLISM,0.010525716710092135,-0.01696044045856529,0.15195484537148435,-0.0026175517855867845,0.033151396509069314,0.09753949433175794,0.028848164923193274,0.058406561270144965,0.0316893337443568,-0.020384238090864818
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.006946957081958059,-0.0028150326833228487,0.08247341873626397,0.0324826667839832,-0.0013724693447359723,0.08724716008819426,0.046445447269168535,0.06237575415246101,0.01707921857180355,0.052148150921290534
HALLMARK_COAGULATION,0.025956103647249512,0.001070831677519454,0.1082411850994912,0.08432225763774084,0.048527730686502284,0.08697427685736472,0.026517307173142327,0.08003581812151585,0.04833258564311896,-0.031222905590676628
