,UKF259,UKF260,UKF269,UKF275,UKF296,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.03120872910262802,-0.013632553711547623,0.10288369805542169,0.059235269302857246,0.07085632189045783,-0.029734368836038173,0.15406398142899896,0.11817865559477668,0.08073744153886481,0.16011902735642286,0.03552998677278143
HALLMARK_ALLOGRAFT_REJECTION,-0.0006213999317213056,0.1137846283310622,0.21276750050141005,0.15603894538468455,0.014637652960417476,-0.04558587717696328,0.06479271334408321,0.08394663309628721,0.02888244390884721,0.036336797969023366,0.07818197493200868
HALLMARK_ANDROGEN_RESPONSE,0.021600285732073073,-0.003931431809663795,0.15437521372072405,0.11012261333364234,0.031040910577239133,-0.008105164179805781,0.12032749237168877,0.11774608861081953,0.062354803651509895,-0.09902743286706665,-0.046621902572333944
HALLMARK_ANGIOGENESIS,-0.0642755874006898,0.059807375848196294,0.20479105538563339,-0.10846540044483595,0.09549423463061409,0.13550863407869518,-0.12093142350899502,-0.06347879686069927,0.10371827922403032,-0.28121364619777683,-0.23128254534697243
HALLMARK_APICAL_JUNCTION,0.013684645052518698,0.08592079314582732,0.2242467001339357,0.01199142859945151,0.07262912600157592,0.008042032760066133,0.2082786221399694,0.11058527639654087,0.05960093161166316,0.02525932441899032,-0.04350851242425511
HALLMARK_APICAL_SURFACE,-0.006849434799799142,-0.06975962370003541,-0.06251859971181822,0.0735921085143781,-0.002378316722926741,-0.07320379802282731,0.14664660407255178,0.0917918144915681,0.07020047871133586,-0.0471663443858391,-0.09901008915756923
HALLMARK_APOPTOSIS,0.022655434300496005,0.13375895532086746,0.05895902012214509,-0.025667299169671243,0.048948772653546684,0.014964026966566473,0.13782780273310766,-0.05764019071423124,0.044341176016157814,-0.043608924852227345,-0.017723164251180215
HALLMARK_BILE_ACID_METABOLISM,0.041997827437814,-0.0007400874321960935,0.2082788798673441,0.08504745034046857,0.15739319241634947,0.01741806415896397,0.06755040882806813,0.09060403078940979,0.05372434672468496,0.2667501789413364,0.1026515477617277
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.11055476106759334,0.002210800074126998,0.09918503428759042,-0.06989655452374775,0.09154201791856485,-0.06201719407661799,0.12341626154923528,0.12029248220059284,0.051912221531952824,0.10315016547105418,0.014983108072704488
HALLMARK_COAGULATION,0.04984033148787827,0.18868280968234433,0.1986992951546878,0.04873043694737826,0.13379025217682292,0.02358729163836217,0.18134876529564373,0.05868239749534069,0.06770179041692113,-0.10369902123796171,-0.10193444175942507
